Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0918805,0.0752234,0.0567181,0.0563644,0.0596744,0.194905,0.036904,0.109383,0.0531442,0.040618,0.0630328,0.0301303,0.0706793,0.0224558,0.0963098,0.0618176
0.021,0.085777,0.0434851,0.0463422,0.0395798,0.0373965,0.175069,0.0201193,0.12098,0.0873239,0.0543509,0.0319049,0.0374545,0.0502325,0.0474802,0.0920373,0.0633435
0.022,0.0808942,0.034635,0.0518353,0.0441574,0.0377017,0.135396,0.0338522,0.0990073,0.100141,0.0461111,0.0218341,0.0560703,0.0639655,0.024592,0.0764734,0.0575452
0.023,0.0815045,0.0370764,0.0600751,0.0319504,0.03465,0.132954,0.0268332,0.0904623,0.122419,0.0577078,0.0160358,0.0249423,0.0450446,0.0435129,0.0728113,0.0551038
0.024,0.0522076,0.0517249,0.0307782,0.0563644,0.0331241,0.145772,0.0100485,0.0910727,0.0903757,0.0271902,0.0425861,-0.00923737,0.0551154,0.026423,0.0682336,0.0203137
0.025,0.00246399,0.0239539,0.0289471,0.0627731,0.0505191,0.126851,0.038735,0.0913779,0.0372751,0.00521759,0.0462482,-0.019003,0.0511481,0.0252023,0.0676233,0.0169568
0.026,-0.000892944,0.0416541,0.0258954,0.0282883,0.0544864,0.164693,0.0930563,0.102059,0.0113351,0.0317679,0.0419757,-0.0202237,0.0206305,0.0496164,0.0789148,0.0264172
0.027,0.0177228,0.0199866,0.0442059,0.0401901,0.0645572,0.0999954,0.0854269,0.0745932,0.0732858,0.0717459,0.0483844,-0.0772916,0.0502325,0.0432077,0.0743372,0.019093
0.028,0.0192487,0.0462317,0.0310834,0.0438522,0.0309879,0.123799,0.0832907,0.109994,0.00767303,0.0461111,0.0322101,-0.069357,0.026734,0.0239816,0.0163538,0.0200085
0.029,0.0247418,0.0337195,0.0603803,0.0453781,0.0413638,0.118306,0.0579611,0.0715414,0.0253732,0.0497733,0.0496051,-0.079733,0.00781311,0.0172678,0.025509,0.0428967
0.03,0.0366437,0.0514197,0.0307782,0.0383591,0.0550967,0.138142,0.0463644,0.0944296,0.038801,0.0455008,0.0319049,-0.00404938,0.0349738,0.024592,-0.00378784,0.0181775
0.031,0.0738751,0.0251746,0.0457318,0.029509,0.0575381,0.130513,0.0268332,0.0843588,0.0546701,0.0564871,0.0398395,0.0691928,0.0487067,0.00841766,0.0425989,0.0267224
0.032,0.148033,0.0575232,0.0536664,0.029509,0.0270206,0.131429,0.0466696,0.0868002,0.0464304,0.0369559,0.0673053,0.0823154,0.0429083,0.0493112,0.0413782,0.0636487
0.033,0.110801,0.0666785,0.0319989,0.053923,0.0752383,0.159505,0.0652853,0.0559775,0.04582,0.0271902,0.0508258,0.0725497,0.0294806,0.041987,0.056637,0.0483899
0.034,0.0992047,0.050199,0.0646527,0.046904,0.0828677,0.148824,0.124184,0.0855795,0.0693185,0.0244437,0.0178668,0.126566,0.0459601,0.0786081,0.0163538,0.0459485
0.035,0.0577008,0.0505042,0.0374921,0.0649094,0.0596744,0.147603,0.0616232,0.0907675,0.0317819,0.0653372,0.0505206,0.168985,0.0358893,0.0700632,0.0157434,0.0435071
0.036,0.0601422,0.0483679,0.0600751,0.0340866,0.0489932,0.127461,0.0427023,0.0614706,0.0577219,0.0430594,0.0486896,0.169901,0.0767828,0.0636545,0.00933472,0.0151257
0.037,0.00795715,0.032804,0.0185712,0.0771164,0.0407535,0.11678,0.0308005,0.0654379,0.0308664,0.0555716,0.0550983,0.144876,0.0416876,0.0401559,0.0145227,0.0593762
0.038,-0.00486023,0.0752234,0.0503094,0.052092,0.0511295,0.10854,0.049111,0.0459067,0.0455148,0.0342093,0.0447223,0.086893,0.0184943,0.0190988,0.0212366,0.0462537
0.039,0.00124329,0.0657629,0.061601,0.0621628,0.053876,0.136311,0.0350729,0.0486533,0.0107248,0.0574026,0.0486896,0.0826205,0.0255133,0.0261179,-0.00104126,0.0505261
0.04,0.0204694,0.0434851,0.0631268,0.0639938,0.0557071,0.10854,0.076882,0.0703207,0.0586374,0.0397025,0.0575397,0.0734653,0.0157477,0.0129953,0.0175745,0.0615125
