Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.044,0.0747906,0.0566077,0.0735028,0.0389694,0.0615054,0.0865677,0.0512473,0.00013031,0.038801,0.0775442,0.0578448,0.0527133,0.0520636,0.0572458,0.0648767,0.0465588
0.045,0.0815045,0.0471472,0.0518353,0.0340866,0.0843936,0.112813,0.0170676,-0.0187906,0.00706268,0.0369559,0.0474689,0.0337924,0.0432135,0.0300851,0.0239832,0.0313
0.046,0.0622784,0.0218176,0.058244,0.0249313,0.0914127,0.118611,0.0475851,-0.0129922,0.0043161,0.0482474,0.0483844,0.0633945,0.0572516,0.0596872,0.0331384,0.0490002
0.047,0.0451886,0.0160193,0.0716718,0.0667404,0.0743228,0.123494,0.0393454,0.0147787,0.0201852,0.0564871,0.0483844,0.0685825,0.0557257,0.0789133,0.0490076,0.052052
0.048,0.0656354,0.032804,0.0576337,0.0429367,0.0251895,0.103047,0.0393454,0.00135101,0.0473459,0.0421439,0.0593707,0.0560703,0.0578619,0.0752512,0.0377161,0.0206189
0.049,0.058006,0.0251746,0.0268109,0.0395798,0.074628,0.0996902,0.0259177,-0.0123819,0.0598581,0.0534354,0.0425861,0.0579013,0.0419928,0.0816599,0.0242883,0.0319104
0.05,0.054649,0.0370764,0.0445111,0.0523972,0.0834781,0.139668,0.042092,0.0153891,0.0793893,0.0659476,0.0767657,0.071329,0.0514532,0.0877634,0.0435144,0.0334363
0.051,0.04763,0.0392126,0.0319989,0.0597214,0.0676089,0.0963333,0.0744406,0.00684418,0.089155,0.0314627,0.0517413,0.0533237,0.0468756,0.0935617,0.0264246,0.017262
0.052,0.014671,0.0193762,0.00789001,0.0288986,0.0734073,0.0914505,0.0637595,-0.0190958,0.0720651,0.0387869,0.052962,0.0530185,0.0404669,0.0560251,0.0526697,0.0126843
0.053,-0.00913269,0.0279211,0.0243695,0.0566696,0.0840884,0.0838211,0.0436179,0.000740662,0.0528391,0.045806,0.061507,0.0658359,0.0767828,0.059382,0.0670129,0.019093
0.054,0.0555646,0.0361609,0.0417645,0.0740646,0.0984317,0.110677,0.0637595,0.013558,0.0543649,0.0589285,0.0712726,0.0597324,0.0484015,0.0432077,0.0725061,0.0233655
0.055,0.102867,0.00808472,0.0445111,0.0432419,0.0755435,0.0615433,0.0503317,0.0053183,0.0278146,0.0104056,0.0404498,0.0337924,0.0523688,0.041987,0.0725061,0.001698
0.056,0.157493,0.022428,0.0649579,0.0386642,0.097211,0.109456,0.0619284,-0.0181802,0.0534494,0.0216971,0.068526,0.0212802,0.049317,0.0535837,0.0722009,0.0288586
0.057,0.179161,0.0758337,0.0570233,0.0536179,0.117353,0.128377,0.0552145,-0.023063,0.0601633,0.0430594,0.0691364,0.036539,0.0575568,0.0758615,0.0850183,0.0337415
0.058,0.0534283,0.0456213,0.0448163,0.0237106,0.0914127,0.0755814,0.0127951,-0.0218423,0.0586374,0.023223,0.0453326,0.013956,0.0380255,0.0496164,0.0612146,0.0438123
0.059,0.0366437,0.0709509,0.0695355,0.0328659,0.129254,0.0914505,0.0509421,-0.0129922,0.0189645,0.0601492,0.0541827,0.0292148,0.0487067,0.0572458,0.0389368,0.0508313
0.06,0.105919,0.107572,0.0597699,0.0578903,0.119489,0.0859573,0.0616232,0.0138632,-0.0350516,0.0464163,0.0547931,0.0478305,0.0612189,0.0612131,0.0493127,0.0465588
0.061,0.0644147,0.0788855,0.0588544,0.0472092,0.149091,0.0917557,0.0546042,-0.0123819,0.00523163,0.0482474,0.052962,0.0569858,0.0569464,0.0563303,0.0261194,0.0581555
0.062,0.0131451,0.0871252,0.0521405,0.036528,0.100873,0.0880936,0.0451437,0.0108115,0.0507028,0.0433646,0.0441119,0.0502719,0.0456549,0.0679269,0.0499231,0.0718884
0.063,0.0436627,0.0761389,0.061601,0.0493454,0.102704,0.110066,0.0628439,0.0233237,0.0516183,0.0610648,0.0663898,0.0710239,0.0575568,0.0892892,0.0682336,0.0703625
0.064,0.0427472,0.0724768,0.0426801,0.0411057,0.0828677,0.0954178,0.0503317,0.0141684,0.0247629,0.0299368,0.0444171,0.0594272,0.0444342,0.104548,0.0447351,0.059071
0.065,0.0100934,0.0703406,0.0265057,0.053923,0.0840884,0.0883987,0.0124899,-0.000174866,0.0305612,0.0400076,0.0663898,0.0597324,0.0426032,0.0816599,0.048092,0.0538831
0.066,0.0357281,0.0859045,0.0518353,0.0621628,0.123456,0.0874832,0.0228659,0.0233237,0.0455148,0.0494681,0.0639484,0.0514926,0.0557257,0.0990549,0.0444299,0.0776868
0.067,0.0152814,0.0709509,0.0429852,0.0530075,0.0981265,0.0691727,0.0323264,0.0163046,0.0488718,0.0555716,0.061507,0.0505771,0.0673224,0.114924,0.0157434,0.0578503
