Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.01,9.31924,-2.29516,5.0655,-0.124098,-0.264258,-0.24965,6.99148,5.35139,9.35957,-0.186929,0.242908,0.327312,4.43584,-2.91061,8.48737,0.0037355,-0.0186072,0.0056084,0.714653,-1.39307,-0.116841,-0.600771,0.841356,-1.45583,-5.62344,-7.30669,-3.6462,-0.17474,2.77771,-0.315585,-0.731771,9.41799,-2.91091,0.132322,-0.068568,-0.441094,-0.490129,9.42465,-2.90219,-0.0966804,0.160913,-0.0393832
0.011,9.33462,-2.30477,5.06724,-0.109631,-0.283599,-0.249434,7.64053,5.95414,8.99755,-0.172926,0.22477,0.31049,4.43725,-2.93679,8.49778,0.00518044,-0.0226325,0.00691001,-0.520993,-1.22595,0.448686,-0.583088,0.736486,-1.39493,-6.49512,-7.05007,-3.31206,-0.385013,2.56772,-0.29138,-0.745484,9.41653,-2.88086,0.139628,-0.078253,-0.445433,-0.456757,9.44216,-2.88448,-0.0966553,0.168985,-0.0316594
0.012,9.35,-2.31438,5.06899,-0.0951649,-0.30294,-0.249218,8.28959,6.55689,8.63553,-0.158923,0.206632,0.293667,4.43865,-2.96297,8.50819,0.00662539,-0.0266577,0.00821162,-1.75664,-1.05883,1.01421,-0.565405,0.631616,-1.33403,-7.3668,-6.79345,-2.97792,-0.595285,2.35773,-0.267175,-0.759198,9.41507,-2.85082,0.146934,-0.087938,-0.449771,-0.423386,9.45967,-2.86677,-0.0966302,0.177057,-0.0239355
0.013,9.36538,-2.32399,5.07074,-0.0806985,-0.322282,-0.249003,8.93864,7.15965,8.2735,-0.144921,0.188494,0.276844,4.44006,-2.98915,8.5186,0.00807034,-0.0306829,0.00951324,-2.99229,-0.891709,1.57974,-0.547722,0.526746,-1.27313,-8.23848,-6.53683,-2.64379,-0.805557,2.14774,-0.24297,-0.772911,9.41361,-2.82077,0.154239,-0.097623,-0.45411,-0.390015,9.47718,-2.84906,-0.0966051,0.185129,-0.0162117
0.014,9.37151,-2.33395,5.05518,-0.0653824,-0.33271,-0.247252,8.99522,7.26564,8.08962,-0.109569,0.17094,0.245798,4.44024,-3.01068,8.51434,0.00967917,-0.0338932,0.0102701,-3.82791,-1.17238,1.98846,-0.51981,0.428939,-1.2288,-9.11326,-6.37137,-2.32405,-1.003,1.90385,-0.199086,-0.757337,9.43184,-2.81854,0.15736,-0.10451,-0.459587,-0.345838,9.49081,-2.86969,-0.095268,0.187555,-0.00929414
0.015,9.37302,-2.34409,5.03098,-0.0496415,-0.338681,-0.244732,8.75558,7.12325,7.99481,-0.0635419,0.153678,0.207639,4.43982,-3.02989,8.50275,0.01137,-0.0366961,0.0107546,-4.46352,-1.67696,2.31879,-0.486784,0.334664,-1.19275,-9.98958,-6.2515,-2.01151,-1.19404,1.643,-0.145362,-0.72712,9.45991,-2.83021,0.158388,-0.109998,-0.465634,-0.29626,9.50249,-2.90949,-0.0932749,0.187159,-0.00277967
0.016,9.37454,-2.35422,5.00677,-0.0339005,-0.344652,-0.242213,8.51593,6.98087,7.9,-0.0175149,0.136415,0.169481,4.4394,-3.04909,8.49117,0.0130607,-0.039499,0.0112392,-5.09914,-2.18153,2.64911,-0.453757,0.240389,-1.1567,-10.8659,-6.13162,-1.69897,-1.38507,1.38216,-0.0916376,-0.696902,9.48799,-2.84189,0.159416,-0.115485,-0.47168,-0.246681,9.51417,-2.94929,-0.0912818,0.186763,0.00373479
0.017,9.37605,-2.36436,4.98257,-0.0181596,-0.350624,-0.239693,8.27628,6.83848,7.80519,0.028512,0.119153,0.131323,4.43897,-3.0683,8.47958,0.0147515,-0.0423018,0.0117237,-5.73475,-2.6861,2.97944,-0.420731,0.146114,-1.12066,-11.7422,-6.01174,-1.38643,-1.5761,1.12131,-0.0379135,-0.666684,9.51606,-2.85356,0.160444,-0.120973,-0.477727,-0.197103,9.52585,-2.98908,-0.0892887,0.186367,0.0102493
0.018,9.37324,-2.37287,4.96009,-0.00350434,-0.354324,-0.237144,7.97522,6.5704,7.76564,0.0697853,0.102773,0.0965686,4.43908,-3.0876,8.46568,0.0165738,-0.044527,0.0113975,-6.21829,-3.23901,3.24867,-0.391928,0.0457547,-1.09054,-12.5694,-5.90532,-1.08896,-1.74597,0.86529,0.0197533,-0.640155,9.55285,-2.85938,0.15944,-0.126898,-0.48329,-0.152873,9.53665,-3.03286,-0.0872971,0.1847,0.0166626
0.019,9.35534,-2.37568,4.94367,0.00735085,-0.350077,-0.234494,7.45923,5.86241,7.91949,0.0944214,0.0894811,0.0737252,4.44103,-3.10727,8.44366,0.0188565,-0.0447305,0.00823405,-6.16957,-3.9611,3.30412,-0.377904,-0.0758974,-1.0812,-13.2248,-5.84601,-0.844233,-1.84176,0.626136,0.0912192,-0.626532,9.62011,-2.84469,0.151325,-0.134352,-0.487165,-0.127362,9.54438,-3.09055,-0.0853109,0.178586,0.022722
0.02,9.33743,-2.37849,4.92724,0.018206,-0.345829,-0.231843,6.94325,5.15441,8.07335,0.119057,0.0761889,0.0508818,4.44298,-3.12693,8.42165,0.0211391,-0.0449339,0.00507057,-6.12086,-4.68319,3.35956,-0.363881,-0.19755,-1.07185,-13.8801,-5.78671,-0.599502,-1.93755,0.386983,0.162685,-0.612909,9.68738,-2.83001,0.14321,-0.141805,-0.49104,-0.101852,9.55212,-3.14823,-0.0833247,0.172471,0.0287815
0.021,9.31952,-2.3813,4.91082,0.0290612,-0.341582,-0.229193,6.42726,4.44641,8.2272,0.143693,0.0628968,0.0280384,4.44493,-3.1466,8.39964,0.0234218,-0.0451374,0.00190709,-6.07214,-5.40527,3.415,-0.349858,-0.319202,-1.0625,-14.5355,-5.7274,-0.35477,-2.03335,0.14783,0.234151,-0.599286,9.75465,-2.81532,0.135094,-0.149259,-0.494914,-0.0763415,9.55985,-3.20592,-0.0813385,0.166357,0.0348409
0.022,9.30161,-2.38411,4.89439,0.0399164,-0.337334,-0.226542,5.91127,3.73842,8.38106,0.168329,0.0496047,0.00519505,4.44688,-3.16626,8.37763,0.0257044,-0.0453409,-0.00125639,-6.02343,-6.12736,3.47044,-0.335834,-0.440854,-1.05316,-15.1908,-5.66809,-0.110038,-2.12914,-0.0913231,0.305617,-0.585663,9.82191,-2.80064,0.126979,-0.156713,-0.498789,-0.050831,9.56758,-3.26361,-0.0793523,0.160243,0.0409003
0.023,9.27412,-2.3707,4.86992,0.0482196,-0.326966,-0.224084,5.50653,3.07202,8.52391,0.178261,0.0390316,-0.00578007,4.44128,-3.172,8.36809,0.0264501,-0.0460574,-0.00179731,-5.79418,-6.69645,3.44735,-0.324397,-0.572029,-1.04371,-15.6222,-5.8613,-0.0448523,-2.12724,-0.268939,0.370464,-0.56012,9.85961,-2.79961,0.115709,-0.16458,-0.502353,-0.0406693,9.58957,-3.28966,-0.0776173,0.152622,0.0440648
0.024,9.2439,-2.35265,4.84315,0.0557937,-0.314849,-0.22168,5.13356,2.41751,8.6636,0.183991,0.0292355,-0.0133643,4.43352,-3.17376,8.36212,0.0267566,-0.0469205,-0.00158892,-5.51334,-7.22184,3.40183,-0.313699,-0.705926,-1.03423,-15.9896,-6.12666,-0.0309648,-2.09744,-0.428974,0.43342,-0.53117,9.88885,-2.80249,0.103538,-0.172564,-0.50583,-0.034893,9.61565,-3.30667,-0.0759542,0.14457,0.0464023
0.025,9.21368,-2.3346,4.81638,0.0633678,-0.302732,-0.219277,4.7606,1.763,8.8033,0.189721,0.0194393,-0.0209485,4.42576,-3.17552,8.35614,0.0270631,-0.0477836,-0.00138054,-5.23251,-7.74722,3.3563,-0.303001,-0.839823,-1.02475,-16.357,-6.39202,-0.0170773,-2.06763,-0.589008,0.496376,-0.50222,9.9181,-2.80537,0.0913666,-0.180549,-0.509306,-0.0291166,9.64172,-3.32368,-0.074291,0.136518,0.0487397
0.026,9.18346,-2.31655,4.78961,0.0709419,-0.290615,-0.216874,4.38764,1.10849,8.943,0.195451,0.0096432,-0.0285327,4.418,-3.17728,8.35017,0.0273696,-0.0486467,-0.00117216,-4.95167,-8.27261,3.31078,-0.292303,-0.973719,-1.01527,-16.7244,-6.65738,-0.00318982,-2.03782,-0.749043,0.559332,-0.473271,9.94735,-2.80825,0.0791953,-0.188533,-0.512782,-0.0233403,9.66779,-3.34069,-0.0726279,0.128466,0.0510772
0.027,9.15705,-2.28914,4.76321,0.0776931,-0.276974,-0.213913,4.09429,0.595756,9.04874,0.198788,9.93e-05,-0.0333663,4.4177,-3.17397,8.34978,0.0281301,-0.0497066,-0.00102411,-4.65653,-8.72441,3.20591,-0.280283,-1.09968,-1.004,-16.9607,-7.01504,-0.0301395,-1.98429,-0.883656,0.618746,-0.446152,9.96883,-2.80959,0.066493,-0.196441,-0.515624,-0.00697661,9.69103,-3.3483,-0.0711862,0.121022,0.0531169
0.028,9.13826,-2.243,4.73754,0.0827984,-0.260283,-0.209836,3.96017,0.366567,9.08655,0.19734,-0.00894013,-0.0326989,4.43232,-3.16051,8.36055,0.0297985,-0.0511601,-0.000996724,-4.33277,-9.02904,2.98235,-0.26562,-1.20978,-0.989131,-16.9346,-7.55731,-0.138764,-1.8833,-0.967428,0.671075,-0.422696,9.97481,-2.80787,0.0527287,-0.204196,-0.517195,0.0305617,9.7086,-3.3371,-0.0701873,0.114794,0.0545611
0.029,9.11946,-2.19687,4.71186,0.0879037,-0.243591,-0.20576,3.82605,0.137378,9.12437,0.195892,-0.0179796,-0.0320315,4.44694,-3.14705,8.37132,0.031467,-0.0526137,-0.000969342,-4.00901,-9.33367,2.7588,-0.250957,-1.31988,-0.974268,-16.9085,-8.09959,-0.247388,-1.78231,-1.0512,0.723403,-0.39924,9.98078,-2.80614,0.0389644,-0.211952,-0.518766,0.0681001,9.72618,-3.3259,-0.0691885,0.108565,0.0560054
0.03,9.10067,-2.15073,4.68619,0.093009,-0.2269,-0.201684,3.69192,-0.091811,9.16218,0.194445,-0.027019,-0.0313642,4.46156,-3.13359,8.38208,0.0331354,-0.0540672,-0.000941961,-3.68524,-9.6383,2.53524,-0.236293,-1.42998,-0.959404,-16.8824,-8.64186,-0.356012,-1.68132,-1.13497,0.775732,-0.375784,9.98676,-2.80441,0.0252002,-0.219707,-0.520337,0.105638,9.74375,-3.3147,-0.0681896,0.102337,0.0574496
0.031,9.08188,-2.10459,4.66052,0.0981143,-0.210209,-0.197608,3.5578,-0.321,9.19999,0.192997,-0.0360584,-0.0306968,4.47618,-3.12014,8.39285,0.0348038,-0.0555208,-0.000914579,-3.36148,-9.94293,2.31169,-0.22163,-1.54008,-0.94454,-16.8563,-9.18414,-0.464636,-1.58033,-1.21874,0.82806,-0.352327,9.99273,-2.80269,0.0114359,-0.227462,-0.521908,0.143177,9.76133,-3.3035,-0.0671908,0.0961083,0.0588939
0.032,9.03288,-2.0567,4.65666,0.102081,-0.195968,-0.19479,3.51939,-0.194355,9.16692,0.19597,-0.0457363,-0.0287859,4.49132,-3.11523,8.37706,0.0345785,-0.0546581,-0.00146407,-3.08312,-10.1358,1.97291,-0.213964,-1.60497,-0.93281,-16.4246,-9.70348,-0.745546,-1.43724,-1.25364,0.869354,-0.344957,9.99055,-2.76707,-0.000640936,-0.238116,-0.522834,0.15809,9.76285,-3.28103,-0.0681498,0.0960401,0.059597
0.033,8.9801,-2.00859,4.65553,0.105904,-0.182034,-0.192129,3.49295,-0.0232315,9.12498,0.199497,-0.055494,-0.0267196,4.50653,-3.11139,8.35794,0.0341163,-0.0535058,-0.00208566,-2.81042,-10.3148,1.61973,-0.207173,-1.66421,-0.921472,-15.9423,-10.22,-1.04799,-1.28888,-1.28244,0.909268,-0.339597,9.98734,-2.72722,-0.0125068,-0.249132,-0.52368,0.170175,9.76236,-3.25715,-0.0693535,0.096742,0.0602075
0.034,8.92732,-1.96049,4.65439,0.109728,-0.168099,-0.189469,3.46651,0.147892,9.08305,0.203023,-0.0652517,-0.0246532,4.52174,-3.10754,8.33882,0.0336542,-0.0523536,-0.00270726,-2.53773,-10.4937,1.26655,-0.200382,-1.72346,-0.910134,-15.46,-10.7364,-1.35044,-1.14052,-1.31123,0.949182,-0.334237,9.98414,-2.68737,-0.0243727,-0.260148,-0.524525,0.182259,9.76187,-3.23327,-0.0705573,0.0974439,0.0608179
0.035,8.87454,-1.91238,4.65326,0.113552,-0.154165,-0.186808,3.44006,0.319016,9.04111,0.206549,-0.0750094,-0.0225869,4.53694,-3.1037,8.3197,0.0331921,-0.0512013,-0.00332885,-2.26504,-10.6727,0.913373,-0.193591,-1.7827,-0.898796,-14.9777,-11.2529,-1.65288,-0.992156,-1.34003,0.989096,-0.328877,9.98093,-2.64751,-0.0362385,-0.271164,-0.525371,0.194344,9.76138,-3.20939,-0.071761,0.0981457,0.0614284
