Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.0,8.93781,-0.802527,4.21137,0.0062105,0.0416334,0.0344563,4.47327,3.38277,8.06691,-0.0165469,0.00997099,0.000864962,4.48693,-3.2268,8.18666,-0.0164472,0.00899223,0.0189124,0.748074,-9.49249,-2.63699,-0.0808011,0.0701326,-0.026588,-2.96038,-9.38363,-1.18516,-0.0218403,-0.0383712,-0.00133515,-1.74208,9.63291,-1.15322,-0.0114389,-0.0696517,-0.0648144,0.713976,9.45886,-3.273,0.0253357,0.0318939,0.0376114
0.001,8.94821,-0.802117,4.22168,0.00845566,0.0416113,0.0326113,4.47589,3.38995,8.0484,-0.0177959,0.00886695,0.00100044,4.48785,-3.22431,8.2043,-0.0188049,0.0114236,0.0175572,0.752539,-9.50554,-2.64088,-0.0793792,0.0701978,-0.0279889,-2.94756,-9.38202,-1.18699,-0.021514,-0.0345952,-0.000668666,-1.73413,9.62131,-1.1464,-0.00894624,-0.0736212,-0.0634267,0.716149,9.44681,-3.26467,0.0243547,0.0317838,0.038842
0.002,8.9586,-0.801708,4.23198,0.0107008,0.0415891,0.0307663,4.47851,3.39714,8.02989,-0.0190449,0.0077629,0.00113591,4.48877,-3.22182,8.22193,-0.0211626,0.013855,0.016202,0.757003,-9.51859,-2.64477,-0.0779574,0.0702631,-0.0293898,-2.93474,-9.38041,-1.18881,-0.0211878,-0.0308191,-2.18e-06,-1.72619,9.60971,-1.13958,-0.00645362,-0.0775907,-0.0620391,0.718322,9.43476,-3.25633,0.0233736,0.0316736,0.0400727
0.003,8.96899,-0.801298,4.24228,0.012946,0.041567,0.0289213,4.48113,3.40433,8.01138,-0.0202939,0.00665886,0.00127138,4.4897,-3.21932,8.23956,-0.0235202,0.0162863,0.0148467,0.761468,-9.53163,-2.64866,-0.0765355,0.0703284,-0.0307906,-2.92192,-9.37881,-1.19064,-0.0208615,-0.027043,0.000664308,-1.71825,9.59811,-1.13276,-0.00396099,-0.0815602,-0.0606515,0.720494,9.42271,-3.248,0.0223925,0.0315634,0.0413033
0.004,8.97939,-0.800889,4.25258,0.0151911,0.0415448,0.0270763,4.48375,3.41152,7.99287,-0.0215429,0.00555482,0.00140685,4.49062,-3.21683,8.25719,-0.0258779,0.0187177,0.0134915,0.765932,-9.54468,-2.65255,-0.0751137,0.0703936,-0.0321915,-2.9091,-9.3772,-1.19246,-0.0205353,-0.023267,0.0013308,-1.71031,9.5865,-1.12595,-0.00146837,-0.0855297,-0.0592638,0.722667,9.41066,-3.23967,0.0214115,0.0314532,0.0425339
0.005,8.97315,-0.805678,4.24752,0.0151606,0.0426697,0.0256649,4.4859,3.41373,7.99145,-0.0222645,0.0044136,0.00139929,4.49008,-3.22197,8.26548,-0.0251989,0.018763,0.0131087,0.761857,-9.54994,-2.65636,-0.0742569,0.0702131,-0.0327988,-2.89221,-9.37602,-1.19688,-0.0203771,-0.0197824,0.00138402,-1.71348,9.59709,-1.13125,-0.00160559,-0.0872182,-0.0589161,0.723099,9.40591,-3.24269,0.0203228,0.0322476,0.0420479
0.006,8.9536,-0.814627,4.23017,0.0133096,0.0447123,0.0246005,4.48767,3.41198,8.0037,-0.0225642,0.00324265,0.0012773,4.48837,-3.23321,8.26631,-0.0220907,0.0168996,0.0135037,0.750951,-9.54898,-2.66011,-0.0738521,0.069836,-0.0327712,-2.87207,-9.37516,-1.20336,-0.0203533,-0.016531,0.00094664,-1.72554,9.62543,-1.14624,-0.00384669,-0.0870819,-0.0594003,0.722138,9.407,-3.2548,0.0191479,0.0337657,0.0401886
0.007,8.93405,-0.823576,4.21282,0.0114585,0.0467548,0.023536,4.48944,3.41022,8.01595,-0.0228639,0.00207169,0.00115531,4.48666,-3.24445,8.26713,-0.0189824,0.0150361,0.0138988,0.740044,-9.54802,-2.66387,-0.0734474,0.0694588,-0.0327436,-2.85192,-9.3743,-1.20984,-0.0203295,-0.0132796,0.000509259,-1.73759,9.65376,-1.16124,-0.00608779,-0.0869455,-0.0598844,0.721178,9.4081,-3.26691,0.017973,0.0352838,0.0383294
0.008,8.91451,-0.832525,4.19547,0.00960745,0.0487973,0.0224715,4.49121,3.40846,8.02821,-0.0231636,0.000900737,0.00103332,4.48495,-3.2557,8.26795,-0.0158741,0.0131727,0.0142938,0.729137,-9.54705,-2.66762,-0.0730426,0.0690817,-0.032716,-2.83177,-9.37345,-1.21633,-0.0203057,-0.0100282,7.19e-05,-1.74965,9.6821,-1.17624,-0.00832889,-0.0868092,-0.0603686,0.720217,9.4092,-3.27902,0.0167981,0.0368019,0.0364701
0.009,8.90198,-0.840073,4.18016,0.0082583,0.0508058,0.0215712,4.49117,3.40509,8.03988,-0.0234512,-3e-05,0.00105627,4.48399,-3.26572,8.26843,-0.0132497,0.0114433,0.0145568,0.720655,-9.54563,-2.66957,-0.0728421,0.0686704,-0.0327303,-2.8152,-9.37106,-1.22185,-0.0202247,-0.00688519,-0.00051663,-1.75684,9.70537,-1.1881,-0.0101254,-0.0869098,-0.0608267,0.715166,9.40738,-3.28814,0.0156774,0.0377239,0.0350776
