Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.01,-1.26899,-10.0074,-1.1913,0.0271274,-0.138999,0.0996781,0.623844,9.41396,-2.03328,-0.0198941,-0.012243,-0.0823875,5.12523,-2.7026,7.97044,-0.0762502,-0.0438825,0.0817449,-0.591797,9.71833,-1.30847,0.0424292,0.0180942,-0.0183596,8.4659,1.17795,5.15711,0.022365,-0.1491,0.03195,0.0,0.0,0.0,0.0,0.0,0.0,5.22572,2.12729,8.07021,0.114246,0.00154317,-0.0656508
0.011,-1.28152,-9.98629,-1.21542,0.0220052,-0.133919,0.0974481,0.622077,9.38441,-2.05355,-0.0181126,-0.0150777,-0.0813309,5.12578,-2.70528,7.97777,-0.0754491,-0.0440782,0.0819684,-0.618064,9.71341,-1.3198,0.0411174,0.0173942,-0.0174306,8.46829,1.18896,5.15855,0.0219922,-0.148834,0.0312045,0.0,0.0,0.0,0.0,0.0,0.0,5.23206,2.1527,8.05611,0.112765,0.00323134,-0.0648364
0.012,-1.29406,-9.96518,-1.23954,0.016883,-0.128839,0.0952182,0.620309,9.35487,-2.07382,-0.0163311,-0.0179124,-0.0802743,5.12632,-2.70797,7.9851,-0.0746481,-0.044274,0.082192,-0.644332,9.70849,-1.33112,0.0398055,0.0166942,-0.0165017,8.47069,1.19997,5.15998,0.0216195,-0.148567,0.030459,0.0,0.0,0.0,0.0,0.0,0.0,5.2384,2.17811,8.04202,0.111284,0.0049195,-0.0640219
0.013,-1.30659,-9.94407,-1.26365,0.0117608,-0.123758,0.0929882,0.618542,9.32532,-2.09409,-0.0145497,-0.020747,-0.0792176,5.12687,-2.71065,7.99244,-0.073847,-0.0444697,0.0824155,-0.6706,9.70357,-1.34244,0.0384937,0.0159942,-0.0155727,8.47308,1.21099,5.16142,0.0212467,-0.148301,0.0297135,0.0,0.0,0.0,0.0,0.0,0.0,5.24474,2.20352,8.02792,0.109803,0.00660767,-0.0632075
0.014,-1.29963,-9.94611,-1.29551,0.00500577,-0.11857,0.0887583,0.617178,9.31769,-2.09981,-0.0131448,-0.0219397,-0.0784858,5.13086,-2.71573,7.99415,-0.0742712,-0.0449742,0.0828006,-0.671805,9.70813,-1.33761,0.0377182,0.0162892,-0.0155839,8.47547,1.222,5.16286,0.020874,-0.148035,0.028968,0.0,0.0,0.0,0.0,0.0,0.0,5.23529,2.2504,8.01948,0.109079,0.00622371,-0.0623436
0.015,-1.28294,-9.95973,-1.33123,-0.00256571,-0.113328,0.0835286,0.616015,9.32102,-2.09826,-0.0119282,-0.0223112,-0.0779164,5.13656,-2.722,7.99306,-0.0753081,-0.0456331,0.0832664,-0.660479,9.71744,-1.32469,0.037211,0.0170818,-0.0160653,8.47787,1.23301,5.16429,0.0205013,-0.147769,0.0282225,0.0,0.0,0.0,0.0,0.0,0.0,5.21795,2.30801,8.01388,0.108732,0.00480368,-0.061455
0.016,-1.26624,-9.97335,-1.36695,-0.0101372,-0.108085,0.0782988,0.614853,9.32435,-2.09671,-0.0107117,-0.0226828,-0.0773469,5.14226,-2.72828,7.99196,-0.076345,-0.046292,0.0837322,-0.649152,9.72674,-1.31177,0.0367037,0.0178744,-0.0165466,8.48026,1.24403,5.16573,0.0201285,-0.147502,0.027477,0.0,0.0,0.0,0.0,0.0,0.0,5.20061,2.36562,8.00828,0.108386,0.00338365,-0.0605664
0.017,-1.24954,-9.98697,-1.40268,-0.0177087,-0.102843,0.0730691,0.61369,9.32768,-2.09516,-0.0094951,-0.0230544,-0.0767775,5.14797,-2.73456,7.99087,-0.077382,-0.0469509,0.084198,-0.637826,9.73605,-1.29885,0.0361965,0.018667,-0.0170279,8.48266,1.25504,5.16717,0.0197557,-0.147236,0.0267315,0.0,0.0,0.0,0.0,0.0,0.0,5.18327,2.42323,8.00268,0.10804,0.00196363,-0.0596778
0.018,-1.22973,-9.99668,-1.43688,-0.0239087,-0.0982192,0.0685457,0.612475,9.32871,-2.09341,-0.00826383,-0.0237557,-0.0765112,5.15177,-2.74309,7.98767,-0.0783949,-0.0475397,0.0848459,-0.630733,9.74371,-1.28988,0.035701,0.0194987,-0.0170795,8.48505,1.26605,5.1686,0.019383,-0.14697,0.025986,0.0,0.0,0.0,0.0,0.0,0.0,5.16686,2.46751,7.99997,0.107726,0.000783388,-0.059007
0.019,-1.19905,-9.99271,-1.46577,-0.0253088,-0.0957601,0.0664947,0.611075,9.32167,-2.09094,-0.0069811,-0.0256115,-0.0773056,5.1489,-2.75953,7.97712,-0.0793242,-0.0478832,0.0861312,-0.638455,9.74563,-1.29477,0.0352469,0.0204671,-0.0156269,8.48745,1.27707,5.17004,0.0190102,-0.146704,0.0252405,0.0,0.0,0.0,0.0,0.0,0.0,5.15369,2.46512,8.00738,0.107526,0.000442401,-0.0590982
