Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.0,-0.322668,-10.6292,0.139214,0.444105,0.269949,-0.502451,-0.515342,9.70246,-2.14018,0.148846,0.161217,-0.141493,4.88303,-1.85128,8.1624,-0.118722,0.108089,-0.0980303,0.375238,9.63491,-2.28431,0.0207797,0.330586,-0.015975,8.59518,1.47962,4.94163,0.43239,0.32589,0.007455,0.0,0.0,0.0,0.0,0.0,0.0,5.72703,1.14502,8.79781,-0.0193511,-0.834929,0.185659
0.001,-0.349977,-10.6431,0.0720171,0.440649,0.264533,-0.504447,-0.552451,9.72805,-2.11736,0.147518,0.153017,-0.140634,4.88348,-1.84893,8.16234,-0.114789,0.107327,-0.0921333,0.263119,9.64767,-2.30312,0.0241341,0.321974,-0.0165287,8.58249,1.46022,4.92104,0.437928,0.326316,0.0128865,0.0,0.0,0.0,0.0,0.0,0.0,5.8406,1.07766,8.81759,-0.014183,-0.832042,0.183891
0.002,-0.377286,-10.6569,0.00482012,0.437193,0.259118,-0.506442,-0.58956,9.75364,-2.09455,0.146189,0.144817,-0.139775,4.88394,-1.84657,8.16229,-0.110856,0.106565,-0.0862362,0.151001,9.66043,-2.32193,0.0274885,0.313362,-0.0170824,8.56981,1.44083,4.90045,0.443466,0.326742,0.018318,0.0,0.0,0.0,0.0,0.0,0.0,5.95418,1.0103,8.83738,-0.00901482,-0.829155,0.182123
0.003,-0.404596,-10.6707,-0.0623769,0.433737,0.253702,-0.508438,-0.626669,9.77923,-2.07174,0.144861,0.136617,-0.138917,4.88439,-1.84421,8.16223,-0.106924,0.105803,-0.0803392,0.0388821,9.67319,-2.34074,0.0308429,0.30475,-0.0176361,8.55712,1.42144,4.87986,0.449004,0.327168,0.0237495,0.0,0.0,0.0,0.0,0.0,0.0,6.06775,0.942942,8.85716,-0.00384667,-0.826268,0.180355
0.004,-0.431905,-10.6845,-0.129574,0.430281,0.248287,-0.510433,-0.663778,9.80483,-2.04893,0.143533,0.128417,-0.138058,4.88485,-1.84185,8.16217,-0.102991,0.105041,-0.0744422,-0.0732366,9.68594,-2.35955,0.0341973,0.296138,-0.0181899,8.54443,1.40204,4.85927,0.454542,0.327594,0.029181,0.0,0.0,0.0,0.0,0.0,0.0,6.18133,0.875582,8.87695,0.00132147,-0.823381,0.178586
0.005,-0.474272,-10.6812,-0.192325,0.426596,0.242117,-0.511802,-0.702176,9.80534,-2.03749,0.14131,0.120429,-0.135932,4.90865,-1.88213,8.14948,-0.0989013,0.104364,-0.0697713,-0.187273,9.69958,-2.37683,0.0368886,0.288005,-0.0174868,8.53174,1.38265,4.83868,0.46008,0.32802,0.0346125,0.0,0.0,0.0,0.0,0.0,0.0,6.27582,0.839107,8.89836,0.00537854,-0.816102,0.181636
0.006,-0.528687,-10.664,-0.251518,0.422729,0.235343,-0.512669,-0.741605,9.78579,-2.03514,0.138373,0.11261,-0.132792,4.95114,-1.95652,8.12669,-0.0946864,0.103754,-0.0660814,-0.302844,9.71393,-2.39288,0.0390495,0.280254,-0.0157783,8.51905,1.36326,4.81809,0.465618,0.328446,0.040044,0.0,0.0,0.0,0.0,0.0,0.0,6.35505,0.827342,8.92107,0.00854674,-0.805309,0.188539
0.007,-0.583101,-10.6469,-0.310712,0.418861,0.228569,-0.513535,-0.781034,9.76624,-2.03279,0.135435,0.104791,-0.129651,4.99362,-2.03091,8.10391,-0.0904716,0.103144,-0.0623915,-0.418416,9.72828,-2.40893,0.0412103,0.272504,-0.0140697,8.50636,1.34387,4.7975,0.471156,0.328872,0.0454755,0.0,0.0,0.0,0.0,0.0,0.0,6.43427,0.815577,8.94377,0.0117149,-0.794517,0.195442
0.008,-0.637516,-10.6297,-0.369906,0.414994,0.221796,-0.514402,-0.820463,9.74669,-2.03045,0.132498,0.0969729,-0.126511,5.03611,-2.1053,8.08112,-0.0862567,0.102534,-0.0587016,-0.533987,9.74262,-2.42498,0.0433712,0.264753,-0.0123612,8.49367,1.32447,4.77691,0.476694,0.329298,0.050907,0.0,0.0,0.0,0.0,0.0,0.0,6.5135,0.803812,8.96648,0.0148831,-0.783725,0.202345
0.009,-0.688985,-10.6107,-0.424192,0.41071,0.215387,-0.515205,-0.858684,9.7273,-2.03088,0.130245,0.0893808,-0.123401,5.07472,-2.17264,8.06138,-0.0821956,0.101714,-0.054675,-0.646976,9.75596,-2.43975,0.0452463,0.257265,-0.0106939,8.48098,1.30508,4.75632,0.482232,0.329724,0.0563385,0.0,0.0,0.0,0.0,0.0,0.0,6.59149,0.79664,8.99128,0.0176289,-0.771576,0.209343
