Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.01,-0.607518,9.53846,-2.58451,-0.13505,-0.130581,0.178702,2.43503,-9.37478,-2.32665,-0.212018,0.1456,-0.0533132,5.49199,3.26651,7.82418,-0.00349035,-0.0338371,-0.0519361,6.23679,-3.13067,7.03396,0.0394297,0.0225406,-0.0453245,8.92145,-1.45596,4.33167,-0.245685,0.0770931,-0.0551247,1.46689,9.54842,-1.13696,-0.166945,-0.0331446,-0.141203,-0.281612,-10.0271,-1.29031,-0.0240087,0.343893,0.121798
0.011,-0.608744,9.52561,-2.58037,-0.139205,-0.112762,0.177069,2.43265,-9.36499,-2.32824,-0.210351,0.14487,-0.0513758,5.45507,3.27532,7.82115,-0.00513447,-0.0321213,-0.0480019,6.23396,-3.14171,7.03481,0.0384547,0.0219063,-0.046192,8.95345,-1.45921,4.32,-0.24334,0.0751254,-0.0595255,1.46925,9.5424,-1.1438,-0.166344,-0.033121,-0.139224,-0.308569,-10.0334,-1.27308,-0.0260824,0.340128,0.118882
0.012,-0.609971,9.51277,-2.57624,-0.14336,-0.0949436,0.175435,2.43026,-9.3552,-2.32982,-0.208683,0.14414,-0.0494385,5.41815,3.28412,7.81812,-0.00677858,-0.0304054,-0.0440677,6.23114,-3.15276,7.03565,0.0374796,0.0212721,-0.0470595,8.98545,-1.46246,4.30834,-0.240995,0.0731578,-0.0639262,1.4716,9.53637,-1.15063,-0.165744,-0.0330973,-0.137245,-0.335526,-10.0397,-1.25586,-0.0281562,0.336362,0.115966
0.013,-0.611198,9.49993,-2.5721,-0.147516,-0.0771248,0.173802,2.42787,-9.34541,-2.3314,-0.207016,0.143411,-0.0475011,5.38123,3.29292,7.81509,-0.0084227,-0.0286896,-0.0401336,6.22831,-3.1638,7.0365,0.0365045,0.0206378,-0.047927,9.01745,-1.4657,4.29667,-0.238651,0.0711901,-0.0683269,1.47395,9.53034,-1.15747,-0.165143,-0.0330737,-0.135266,-0.362483,-10.0459,-1.23863,-0.03023,0.332596,0.113049
0.014,-0.59737,9.49166,-2.55952,-0.151623,-0.0620765,0.171893,2.4418,-9.32989,-2.32231,-0.207108,0.143454,-0.044741,5.36301,3.28313,7.81105,-0.0101585,-0.0260219,-0.0370933,6.23131,-3.16479,7.03989,0.0370319,0.0205037,-0.0489096,9.02958,-1.46781,4.28634,-0.236386,0.0668027,-0.0727283,1.47507,9.52454,-1.16493,-0.164228,-0.0320055,-0.133875,-0.378966,-10.0395,-1.22773,-0.0320587,0.328877,0.109139
0.015,-0.576015,9.48569,-2.54273,-0.155706,-0.0484135,0.169845,2.46389,-9.3115,-2.30789,-0.20808,0.143885,-0.0415694,5.35414,3.26405,7.8065,-0.0119403,-0.0228783,-0.0345001,6.23721,-3.16077,7.04455,0.0383104,0.0206197,-0.0499497,9.03178,-1.46934,4.27666,-0.23416,0.0612055,-0.07713,1.47556,9.51886,-1.17271,-0.163155,-0.0304152,-0.132779,-0.390212,-10.0267,-1.21999,-0.0337649,0.32518,0.104732
0.016,-0.554661,9.47971,-2.52593,-0.159789,-0.0347506,0.167797,2.48597,-9.29312,-2.29346,-0.209052,0.144315,-0.0383978,5.34526,3.24497,7.80195,-0.013722,-0.0197347,-0.0319068,6.24311,-3.15674,7.04921,0.039589,0.0207356,-0.0509898,9.03397,-1.47087,4.26698,-0.231935,0.0556083,-0.0815316,1.47606,9.51318,-1.18048,-0.162082,-0.0288248,-0.131682,-0.401458,-10.0139,-1.21225,-0.0354711,0.321483,0.100325
0.017,-0.533306,9.47374,-2.50913,-0.163872,-0.0210876,0.165749,2.50806,-9.27473,-2.27903,-0.210024,0.144745,-0.0352263,5.33639,3.22588,7.7974,-0.0155037,-0.0165911,-0.0293135,6.24902,-3.15271,7.05387,0.0408675,0.0208516,-0.0520299,9.03617,-1.4724,4.25731,-0.22971,0.0500111,-0.0859333,1.47655,9.50749,-1.18826,-0.161009,-0.0272344,-0.130586,-0.412703,-10.0011,-1.20451,-0.0371773,0.317786,0.0959182
0.018,-0.518117,9.47215,-2.48981,-0.167115,-0.00826166,0.163107,2.52204,-9.26181,-2.26683,-0.210429,0.14481,-0.0322041,5.32705,3.21852,7.78882,-0.0177189,-0.0134368,-0.0265315,6.25792,-3.14314,7.05669,0.0419045,0.0212611,-0.0530192,9.03966,-1.4834,4.25519,-0.227325,0.0452947,-0.0897309,1.47458,9.50614,-1.19054,-0.16012,-0.0253841,-0.129209,-0.41774,-9.98708,-1.19479,-0.0391544,0.31395,0.0917277
0.019,-0.524511,9.48589,-2.46165,-0.167418,0.00163442,0.158386,2.50764,-9.26799,-2.26241,-0.208852,0.143598,-0.0297049,5.31608,3.25216,7.76616,-0.0214512,-0.0102448,-0.0230888,6.2773,-3.11416,7.05309,0.042096,0.0226978,-0.0538306,9.04768,-1.52757,4.27955,-0.224384,0.0436613,-0.0914141,1.46396,9.51997,-1.17357,-0.159874,-0.0226241,-0.126848,-0.401045,-9.96865,-1.17812,-0.0420794,0.309624,0.0882945
