Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,-2.22022,8.51218,-1.69139,0.420008,-0.21285,0.156548,0.657214,-9.30514,-2.89257,0.192863,0.157867,-0.0171106,5.42071,3.23477,7.935,-0.411212,0.17857,0.312254,4.15774,-6.93933,4.4253,-0.833492,0.0470313,0.352925,8.87908,-1.60319,3.04335,0.585187,0.00334865,0.33187,2.21476,8.188,-3.25255,0.526087,-0.614569,-0.0293083,-2.43047,-9.55312,-1.95132,-0.051845,-0.260948,0.000951663
0.001,-2.20713,8.5167,-1.79646,0.436904,-0.22423,0.153813,0.622766,-9.34613,-2.81009,0.188192,0.163685,-0.0191797,5.40334,3.16408,7.93806,-0.412528,0.17789,0.311906,4.24456,-6.82079,4.53592,-0.838129,0.0309618,0.37676,8.88414,-1.60048,3.03259,0.582483,0.00390308,0.330013,2.20186,8.22202,-3.23608,0.531701,-0.598942,-0.0231296,-2.39284,-9.54894,-1.97249,-0.049632,-0.254969,0.00532727
0.002,-2.19403,8.52123,-1.90154,0.453801,-0.235611,0.151077,0.588318,-9.38713,-2.72762,0.183521,0.169503,-0.0212487,5.38597,3.09339,7.94112,-0.413844,0.17721,0.311557,4.33138,-6.70224,4.64655,-0.842765,0.0148923,0.400594,8.8892,-1.59776,3.02183,0.579779,0.00445751,0.328156,2.18896,8.25605,-3.2196,0.537314,-0.583315,-0.0169509,-2.35521,-9.54477,-1.99365,-0.0474189,-0.24899,0.00970288
0.003,-2.18094,8.52575,-2.00661,0.470697,-0.246992,0.148342,0.553869,-9.42812,-2.64514,0.17885,0.175321,-0.0233177,5.36859,3.0227,7.94419,-0.415159,0.17653,0.311209,4.41821,-6.58369,4.75717,-0.847402,-0.00117717,0.424429,8.89426,-1.59505,3.01106,0.577075,0.00501194,0.326298,2.17606,8.29007,-3.20312,0.542928,-0.567687,-0.0107722,-2.31758,-9.5406,-2.01481,-0.0452059,-0.24301,0.0140785
0.004,-2.16785,8.53028,-2.11169,0.487594,-0.258373,0.145607,0.519421,-9.46911,-2.56266,0.174179,0.181138,-0.0253867,5.35122,2.952,7.94725,-0.416475,0.17585,0.310861,4.50503,-6.46514,4.86779,-0.852039,-0.0172466,0.448264,8.89932,-1.59233,3.0003,0.574371,0.00556637,0.324441,2.16316,8.32409,-3.18664,0.548541,-0.55206,-0.0045935,-2.27995,-9.53642,-2.03598,-0.0429929,-0.237031,0.0184541
0.005,-2.12533,8.54752,-2.18487,0.501203,-0.269102,0.143315,0.480284,-9.52061,-2.49024,0.169896,0.185025,-0.0280284,5.33797,2.88262,7.97026,-0.416716,0.174508,0.309944,4.5364,-6.38225,4.94761,-0.858798,-0.0336437,0.467819,8.89377,-1.60194,2.9838,0.571761,0.00479667,0.323274,2.17947,8.34188,-3.15038,0.553678,-0.539359,0.00252497,-2.27609,-9.54831,-2.00434,-0.0414366,-0.232177,0.021795
0.006,-2.05927,8.57493,-2.23252,0.512183,-0.27931,0.141377,0.437397,-9.58051,-2.42587,0.165925,0.187366,-0.0311283,5.32801,2.81427,8.00922,-0.416096,0.172635,0.308572,4.52341,-6.32787,5.0028,-0.867256,-0.0503029,0.483951,8.87974,-1.6214,2.96271,0.569227,0.00296765,0.32266,2.21914,8.34668,-3.09828,0.558433,-0.528998,0.0103952,-2.29925,-9.57305,-1.93046,-0.0404058,-0.228225,0.024308
0.007,-1.99321,8.60233,-2.28018,0.523163,-0.289518,0.13944,0.39451,-9.64041,-2.36151,0.161954,0.189708,-0.0342282,5.31805,2.74592,8.04819,-0.415476,0.170762,0.3072,4.51041,-6.2735,5.05798,-0.875715,-0.0669621,0.500083,8.86571,-1.64086,2.94161,0.566693,0.00113864,0.322046,2.25881,8.35148,-3.04619,0.563189,-0.518638,0.0182655,-2.3224,-9.59778,-1.85658,-0.0393749,-0.224272,0.0268211
0.008,-1.92715,8.62975,-2.32784,0.534142,-0.299726,0.137503,0.351623,-9.70031,-2.29714,0.157983,0.192049,-0.0373281,5.30809,2.67757,8.08715,-0.414856,0.168889,0.305829,4.49742,-6.21913,5.11316,-0.884173,-0.0836213,0.516214,8.85168,-1.66032,2.92052,0.564159,-0.000690381,0.321431,2.29848,8.35629,-2.99409,0.567944,-0.508278,0.0261358,-2.34556,-9.62252,-1.78271,-0.0383441,-0.22032,0.0293342
0.009,-1.86054,8.65381,-2.37784,0.544548,-0.309386,0.135614,0.307231,-9.7597,-2.23306,0.154257,0.194118,-0.0404894,5.30033,2.61084,8.12286,-0.413693,0.166775,0.304268,4.471,-6.15443,5.17547,-0.892432,-0.0996123,0.531018,8.8402,-1.67821,2.90205,0.562037,-0.00240753,0.320691,2.3353,8.36082,-2.93868,0.572535,-0.498886,0.0338147,-2.36647,-9.64753,-1.71521,-0.0369836,-0.216713,0.0317589
