Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,0.726183,9.36129,-2.57177,0.0678406,-1.08308,-0.0897988,-6.41052,-10.3158,-4.5857,-0.301105,1.57657,-0.533468,8.79215,0.181435,1.3084,-0.315496,-2.75539,-1.81774,6.20954,-3.24741,7.13037,-0.255406,-0.101401,0.0886857,8.08577,-0.444957,4.20387,-1.17224,-0.0795466,-0.42297,1.64748,9.5183,-1.68084,-0.231693,-0.522498,0.105998,-2.17469,-9.2347,0.766833,-0.188927,1.67851,0.540469
0.001,0.723323,9.35211,-2.59107,0.0696721,-1.08016,-0.0895797,-6.38615,-10.2724,-4.54976,-0.297038,1.48629,-0.534844,8.7692,0.0894509,1.34657,-0.287643,-2.78562,-1.71856,6.19166,-3.26568,7.11447,-0.255262,-0.102081,0.0883011,8.08912,-0.421239,4.19849,-1.17566,-0.0845037,-0.420812,1.63859,9.53226,-1.69031,-0.23297,-0.51839,0.103604,-2.34737,-9.2212,0.678776,-0.199549,1.60526,0.544102
0.002,0.720463,9.34294,-2.61037,0.0715037,-1.07725,-0.0893607,-6.36178,-10.229,-4.51382,-0.292972,1.39601,-0.536221,8.74625,-0.00253328,1.38475,-0.25979,-2.81586,-1.61938,6.17377,-3.28395,7.09857,-0.255117,-0.10276,0.0879165,8.09247,-0.39752,4.19312,-1.17908,-0.0894608,-0.418655,1.62971,9.54621,-1.69977,-0.234248,-0.514282,0.101211,-2.52006,-9.2077,0.590719,-0.210172,1.53201,0.547735
0.003,0.717603,9.33376,-2.62968,0.0733352,-1.07434,-0.0891416,-6.33742,-10.1857,-4.47788,-0.288905,1.30573,-0.537597,8.7233,-0.0945175,1.42292,-0.231936,-2.84609,-1.52019,6.15588,-3.30222,7.08266,-0.254972,-0.10344,0.0875319,8.09583,-0.373802,4.18775,-1.1825,-0.0944179,-0.416498,1.62082,9.56016,-1.70923,-0.235526,-0.510173,0.098817,-2.69274,-9.19421,0.502662,-0.220794,1.45876,0.551368
0.004,0.714743,9.32459,-2.64898,0.0751667,-1.07143,-0.0889225,-6.31305,-10.1423,-4.44194,-0.284838,1.21544,-0.538974,8.70035,-0.186502,1.46109,-0.204083,-2.87632,-1.42101,6.138,-3.3205,7.06676,-0.254828,-0.10412,0.0871474,8.09918,-0.350084,4.18237,-1.18592,-0.099375,-0.41434,1.61193,9.57412,-1.7187,-0.236803,-0.506065,0.0964234,-2.86542,-9.18071,0.414605,-0.231417,1.38552,0.555001
0.005,0.720814,9.31409,-2.66323,0.0759282,-1.06735,-0.0893437,-6.30395,-10.1089,-4.37607,-0.279878,1.12606,-0.539682,8.72462,-0.2958,1.51553,-0.174084,-2.90626,-1.31469,6.12607,-3.32733,7.046,-0.253451,-0.104937,0.0882517,8.10008,-0.333216,4.17911,-1.18827,-0.103532,-0.411377,1.6221,9.55989,-1.72494,-0.239278,-0.500155,0.0933172,-3.01872,-9.17497,0.342368,-0.239746,1.3116,0.559367
0.006,0.734029,9.30254,-2.67342,0.0758336,-1.06233,-0.0902771,-6.30705,-10.0837,-4.28626,-0.274203,1.03739,-0.539855,8.78666,-0.418949,1.58298,-0.14237,-2.93597,-1.20267,6.11891,-3.32501,7.02134,-0.251089,-0.105865,0.0905472,8.099,-0.321829,4.17755,-1.18976,-0.107048,-0.407768,1.64753,9.52312,-1.72861,-0.24271,-0.492805,0.0896409,-3.1565,-9.17543,0.282787,-0.24624,1.23716,0.564319
0.007,0.747244,9.29098,-2.68362,0.075739,-1.05731,-0.0912105,-6.31016,-10.0584,-4.19646,-0.268529,0.948726,-0.540028,8.84871,-0.542099,1.65043,-0.110655,-2.96567,-1.09064,6.11176,-3.32269,6.99669,-0.248727,-0.106793,0.0928426,8.09793,-0.310442,4.17598,-1.19126,-0.110564,-0.40416,1.67296,9.48634,-1.73228,-0.246142,-0.485455,0.0859646,-3.29428,-9.17588,0.223206,-0.252734,1.16272,0.569272
0.008,0.760459,9.27943,-2.69381,0.0756444,-1.0523,-0.0921439,-6.31327,-10.0331,-4.10665,-0.262854,0.860059,-0.540201,8.91075,-0.665248,1.71788,-0.0789402,-2.99537,-0.978616,6.1046,-3.32037,6.97203,-0.246365,-0.107721,0.0951381,8.09686,-0.299055,4.17441,-1.19275,-0.11408,-0.400551,1.69839,9.44957,-1.73595,-0.249574,-0.478105,0.0822883,-3.43206,-9.17634,0.163625,-0.259228,1.08827,0.574224
0.009,0.775569,9.26938,-2.70686,0.0754608,-1.04727,-0.0929675,-6.31645,-10.005,-4.02341,-0.257733,0.771066,-0.540045,8.99883,-0.754341,1.79215,-0.0453291,-3.02605,-0.86005,6.1005,-3.32176,6.94956,-0.243728,-0.108514,0.0970093,8.09864,-0.285893,4.17008,-1.19442,-0.117704,-0.396868,1.7236,9.41652,-1.74094,-0.252959,-0.471059,0.0788687,-3.5686,-9.17444,0.107457,-0.26516,1.01375,0.579038
