Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,-0.944308,9.40843,-2.01903,0.047925,-0.0303893,-0.179737,1.33509,-9.64863,-2.17383,-0.0373665,0.110726,0.0671064,5.52925,3.21026,7.76683,-0.0464003,0.0352952,0.0208403,6.16629,-3.00632,7.14561,0.00296526,-0.0227096,0.0298511,8.75864,-1.50862,4.42258,-0.112043,0.0332802,-0.0488446,1.61987,9.45848,-1.19504,0.0664819,-0.033008,0.137234,-1.9081,-9.81977,-0.85127,-0.000317339,0.0328983,0.0288754
0.001,-0.921733,9.39673,-2.01782,0.0478947,-0.0293299,-0.17901,1.31782,-9.64883,-2.17107,-0.0392306,0.109939,0.0673973,5.53034,3.23511,7.76771,-0.0460163,0.033683,0.0218695,6.17379,-3.01869,7.13138,0.00245228,-0.023294,0.0278417,8.75289,-1.51164,4.4211,-0.113907,0.0297625,-0.0479999,1.61351,9.44279,-1.21914,0.0658881,-0.0348331,0.136337,-1.90391,-9.80385,-0.864894,0.000664065,0.0289893,0.0279868
0.002,-0.899157,9.38502,-2.0166,0.0478643,-0.0282705,-0.178283,1.30055,-9.64902,-2.16831,-0.0410948,0.109153,0.0676881,5.53142,3.25996,7.76859,-0.0456323,0.0320708,0.0228987,6.18128,-3.03106,7.11716,0.0019393,-0.0238784,0.0258323,8.74714,-1.51466,4.41962,-0.115772,0.0262447,-0.0471551,1.60715,9.4271,-1.24324,0.0652942,-0.0366582,0.135439,-1.89973,-9.78793,-0.878518,0.00164547,0.0250802,0.0270982
0.003,-0.876581,9.37332,-2.01538,0.047834,-0.0272111,-0.177556,1.28327,-9.64921,-2.16555,-0.0429589,0.108366,0.0679789,5.53251,3.28481,7.76947,-0.0452483,0.0304586,0.0239279,6.18878,-3.04344,7.10293,0.00142632,-0.0244628,0.0238229,8.74139,-1.51769,4.41815,-0.117636,0.0227269,-0.0463104,1.6008,9.41141,-1.26734,0.0647004,-0.0384833,0.134541,-1.89555,-9.77201,-0.892142,0.00262687,0.0211712,0.0262096
0.004,-0.854005,9.36162,-2.01416,0.0478036,-0.0261517,-0.176829,1.266,-9.64941,-2.16279,-0.0448231,0.10758,0.0682698,5.53359,3.30965,7.77035,-0.0448643,0.0288464,0.0249571,6.19628,-3.05581,7.0887,0.00091334,-0.0250472,0.0218134,8.73564,-1.52071,4.41667,-0.119501,0.0192091,-0.0454657,1.59444,9.39572,-1.29144,0.0641066,-0.0403084,0.133643,-1.89137,-9.75609,-0.905766,0.00360827,0.0172622,0.025321
0.005,-0.843296,9.35133,-2.01981,0.0476556,-0.0246483,-0.17518,1.27888,-9.65458,-2.14611,-0.0448162,0.105418,0.0696958,5.52745,3.3152,7.76866,-0.0447425,0.0276309,0.0257875,6.20114,-3.04604,7.08627,0.000471659,-0.0248477,0.0206375,8.73305,-1.52736,4.41639,-0.121475,0.0154904,-0.0439193,1.60564,9.39204,-1.30566,0.0630976,-0.0418878,0.131152,-1.88792,-9.74952,-0.919642,0.00385708,0.0147597,0.0250573
0.006,-0.84208,9.34217,-2.03095,0.0474135,-0.0227897,-0.172792,1.31589,-9.66374,-2.11828,-0.0433125,0.102154,0.0720301,5.51552,3.30531,7.76489,-0.0448303,0.0267329,0.0264589,6.2039,-3.01857,7.09328,8.70156e-005,-0.024021,0.0201285,8.73298,-1.5369,4.41708,-0.123536,0.0116109,-0.0418115,1.63089,9.39796,-1.31199,0.0617564,-0.0432707,0.127387,-1.88507,-9.75043,-0.93372,0.00351979,0.0133824,0.0252934
0.007,-0.840864,9.33302,-2.0421,0.0471715,-0.020931,-0.170403,1.3529,-9.6729,-2.09046,-0.0418089,0.0988914,0.0743644,5.5036,3.29542,7.76113,-0.0449182,0.0258348,0.0271303,6.20666,-2.9911,7.10029,-0.000297628,-0.0231944,0.0196194,8.73291,-1.54644,4.41777,-0.125598,0.00773143,-0.0397037,1.65614,9.40388,-1.31831,0.0604153,-0.0446535,0.123621,-1.88221,-9.75134,-0.947797,0.00318251,0.0120052,0.0255295
0.008,-0.839649,9.32386,-2.05324,0.0469294,-0.0190723,-0.168015,1.38991,-9.68207,-2.06263,-0.0403052,0.0956283,0.0766987,5.49167,3.28553,7.75737,-0.0450061,0.0249367,0.0278016,6.20942,-2.96362,7.10729,-0.000682271,-0.0223678,0.0191104,8.73285,-1.55599,4.41846,-0.12766,0.00385195,-0.0375959,1.68139,9.4098,-1.32464,0.0590741,-0.0460364,0.119855,-1.87936,-9.75225,-0.961875,0.00284523,0.0106279,0.0257656
0.009,-0.835958,9.31965,-2.06329,0.0467265,-0.0171444,-0.165651,1.42318,-9.69242,-2.03666,-0.0386612,0.0927731,0.0787296,5.48215,3.27493,7.75207,-0.0452201,0.0240483,0.0283626,6.21033,-2.94078,7.11259,-0.000812588,-0.0213131,0.0186906,8.73046,-1.56285,4.41911,-0.129599,1.15909e-005,-0.0355115,1.70493,9.41516,-1.33149,0.0580033,-0.0470532,0.116266,-1.87792,-9.75197,-0.975254,0.00266682,0.00933604,0.0260474
