Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.01,8.40112,-0.349684,5.5525,-0.367429,0.0468592,0.16044,4.28118,2.78703,8.58284,-0.142008,0.0562958,0.0686751,2.76068,-7.45172,6.44947,2.28169,1.43336,-2.37127,0.356961,-11.1266,-1.24305,-0.221111,0.486036,-0.207557,0.532746,-9.96459,-3.3977,-0.541017,-0.087696,0.0430151,2.41577,9.66332,0.661829,0.238758,-0.0611681,-0.138191,0.0161785,9.69721,-2.38952,-0.578944,-1.58926,0.0131833
0.011,8.41039,-0.362368,5.54504,-0.380787,0.0514739,0.155311,4.24845,2.76995,8.61771,-0.138467,0.0495182,0.0627814,2.43273,-7.62349,6.26967,2.31756,1.36446,-2.30013,0.346815,-11.1382,-1.12822,-0.21775,0.46395,-0.211497,0.64094,-10.0987,-3.25032,-0.509993,-0.100823,0.0654366,2.38844,9.74635,0.633458,0.271617,-0.144144,-0.124529,-0.0229131,9.77112,-2.33689,-0.587916,-1.62834,0.0178464
0.012,8.41967,-0.375052,5.53758,-0.394146,0.0560886,0.150181,4.21571,2.75287,8.65258,-0.134925,0.0427406,0.0568878,2.10478,-7.79527,6.08986,2.35343,1.29556,-2.229,0.33667,-11.1497,-1.0134,-0.214389,0.441863,-0.215437,0.749135,-10.2328,-3.10294,-0.478969,-0.11395,0.0878581,2.36111,9.82939,0.605088,0.304476,-0.22712,-0.110868,-0.0620046,9.84503,-2.28425,-0.596888,-1.66742,0.0225094
0.013,8.42894,-0.387736,5.53012,-0.407504,0.0607032,0.145051,4.18298,2.73579,8.68745,-0.131384,0.035963,0.0509941,1.77683,-7.96705,5.91006,2.38931,1.22666,-2.15786,0.326524,-11.1613,-0.898576,-0.211028,0.419777,-0.219377,0.85733,-10.3669,-2.95556,-0.447945,-0.127077,0.11028,2.33378,9.91243,0.576717,0.337335,-0.310096,-0.0972063,-0.101096,9.91894,-2.23161,-0.60586,-1.70651,0.0271725
0.014,8.44753,-0.400193,5.52166,-0.416859,0.0682918,0.139722,4.17919,2.67057,8.69419,-0.127267,0.0303045,0.0450886,1.51872,-8.07096,5.76019,2.37965,1.14715,-2.06539,0.267361,-11.1188,-0.869759,-0.214218,0.406228,-0.221581,0.906493,-10.4616,-2.81781,-0.412239,-0.141895,0.128801,2.29477,9.94208,0.506562,0.369963,-0.385736,-0.0775885,-0.0905582,9.92397,-2.22518,-0.606861,-1.728,0.0330435
0.015,8.47078,-0.412536,5.5127,-0.424213,0.0773672,0.134293,4.18988,2.58127,8.68687,-0.122862,0.0252055,0.0391772,1.29553,-8.14093,5.62528,2.34723,1.06234,-1.96226,0.18369,-11.0494,-0.883946,-0.220684,0.396946,-0.222916,0.926142,-10.5365,-2.68486,-0.374191,-0.157559,0.145373,2.24992,9.94505,0.415514,0.402476,-0.457707,-0.0549925,-0.0552055,9.89454,-2.24185,-0.603876,-1.74069,0.0395184
0.016,8.49402,-0.424879,5.50373,-0.431567,0.0864427,0.128863,4.20056,2.49197,8.67955,-0.118457,0.0201064,0.0332657,1.07234,-8.21091,5.49037,2.31481,0.977522,-1.85912,0.100018,-10.98,-0.898132,-0.22715,0.387664,-0.224251,0.94579,-10.6114,-2.55192,-0.336143,-0.173223,0.161945,2.20507,9.94801,0.324466,0.434989,-0.529679,-0.0323965,-0.0198527,9.86512,-2.25851,-0.600892,-1.75338,0.0459934
0.017,8.51726,-0.437222,5.49477,-0.43892,0.0955182,0.123434,4.21125,2.40267,8.67222,-0.114052,0.0150074,0.0273543,0.849148,-8.28088,5.35546,2.28239,0.892707,-1.75599,0.0163469,-10.9105,-0.912318,-0.233616,0.378383,-0.225586,0.965438,-10.6863,-2.41898,-0.298096,-0.188886,0.178517,2.16022,9.95098,0.233419,0.467501,-0.601651,-0.00980052,0.0155,9.8357,-2.27518,-0.597907,-1.76606,0.0524684
0.018,8.53662,-0.446229,5.48532,-0.446076,0.104715,0.118337,4.21709,2.34169,8.66012,-0.109592,0.0101604,0.0217625,0.64252,-8.3327,5.21637,2.23509,0.811742,-1.64737,-0.064683,-10.8452,-0.935869,-0.239718,0.370627,-0.228138,0.962591,-10.7499,-2.29909,-0.260052,-0.204158,0.193694,2.11002,9.94803,0.136849,0.495576,-0.66528,0.0117808,0.0712014,9.79855,-2.30157,-0.593686,-1.77532,0.0584947
0.019,8.54236,-0.443563,5.47413,-0.452539,0.114334,0.114402,4.20597,2.37982,8.63126,-0.104942,0.00619534,0.0172896,0.493861,-8.32096,5.06268,2.13568,0.744252,-1.5196,-0.136467,-10.7944,-0.992194,-0.244547,0.368211,-0.234946,0.881011,-10.7734,-2.22494,-0.222019,-0.218059,0.203986,2.04109,9.92439,0.0209513,0.508119,-0.69971,0.0298108,0.198123,9.73435,-2.36197,-0.585136,-1.77256,0.0629509
