Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z
0.0,8.17832,-1.63108,4.49672,-0.190974,0.0306432,-0.0789309,4.38063,3.44389,8.06392,0.233952,-0.0853741,-0.142421,8.687,-2.67483,5.56958,-0.0200311,0.50218,-1.87511,-0.174442,-9.77859,-1.87816,-0.203551,0.242648,-0.455263,-1.63732,-10.169,-0.757026,-0.0547351,-0.56159,0.461805,-0.475313,9.24129,-0.714307,-0.133873,-1.09757,-0.0615457,-4.12587,11.0735,0.155805,-0.311147,-1.3669,-0.664053
0.001,8.17519,-1.61917,4.49986,-0.185146,0.0287117,-0.0797933,4.37549,3.4391,8.06156,0.235947,-0.0837691,-0.14251,8.49865,-2.7473,5.56836,0.0129227,0.46738,-1.863,-0.133045,-9.76803,-1.93268,-0.202962,0.219166,-0.454789,-1.55786,-10.1451,-0.837488,-0.0611439,-0.583095,0.455566,-0.468146,9.16223,-0.784932,-0.126236,-1.1038,-0.0633003,-4.05268,10.9707,0.188324,-0.322482,-1.38079,-0.667737
0.002,8.17207,-1.60727,4.503,-0.179317,0.0267802,-0.0806558,4.37034,3.4343,8.0592,0.237943,-0.0821641,-0.142599,8.31031,-2.81976,5.56713,0.0458766,0.432579,-1.85088,-0.0916472,-9.75746,-1.98719,-0.202372,0.195685,-0.454316,-1.4784,-10.1211,-0.91795,-0.0675527,-0.604599,0.449326,-0.460979,9.08317,-0.855557,-0.118599,-1.11004,-0.0650549,-3.97949,10.8679,0.220843,-0.333816,-1.39468,-0.671422
0.003,8.16894,-1.59536,4.50614,-0.173488,0.0248488,-0.0815182,4.3652,3.4295,8.05684,0.239938,-0.0805591,-0.142687,8.12197,-2.89223,5.5659,0.0788304,0.397779,-1.83876,-0.0502498,-9.7469,-2.0417,-0.201782,0.172204,-0.453842,-1.39895,-10.0971,-0.998412,-0.0739615,-0.626104,0.443087,-0.453812,9.00412,-0.926181,-0.110962,-1.11628,-0.0668095,-3.9063,10.7651,0.253362,-0.345151,-1.40858,-0.675106
0.004,8.16582,-1.58346,4.50928,-0.167659,0.0229173,-0.0823806,4.36006,3.42471,8.05448,0.241933,-0.0789541,-0.142776,7.93363,-2.96469,5.56467,0.111784,0.362979,-1.82665,-0.00885232,-9.73633,-2.09621,-0.201193,0.148722,-0.453368,-1.31949,-10.0731,-1.07887,-0.0803703,-0.647608,0.436847,-0.446645,8.92506,-0.996806,-0.103325,-1.12252,-0.0685641,-3.83311,10.6623,0.285881,-0.356485,-1.42247,-0.678791
0.005,8.15222,-1.59782,4.50983,-0.162326,0.0211184,-0.0821115,4.35103,3.41083,8.05302,0.242992,-0.0799369,-0.143357,7.72948,-2.951,5.52856,0.143023,0.322176,-1.80426,0.0561111,-9.73184,-2.12432,-0.200954,0.127893,-0.452308,-1.22965,-10.0448,-1.13827,-0.0841724,-0.664178,0.431247,-0.443318,8.86631,-1.06093,-0.0945563,-1.12151,-0.0716946,-3.77997,10.5694,0.300388,-0.365254,-1.43648,-0.684247
0.006,8.13025,-1.6332,4.5083,-0.157389,0.0194254,-0.080937,4.33888,3.3897,8.05227,0.243301,-0.0829898,-0.144331,7.51268,-2.86837,5.46454,0.17289,0.276571,-1.77364,0.139927,-9.73222,-2.13131,-0.200995,0.109186,-0.450777,-1.13149,-10.013,-1.18081,-0.085889,-0.676801,0.426157,-0.443062,8.8238,-1.11985,-0.0848828,-1.1147,-0.0759257,-3.74289,10.4844,0.300487,-0.37197,-1.45058,-0.691121
0.007,8.10828,-1.66858,4.50677,-0.152452,0.0177325,-0.0797626,4.32673,3.36857,8.05152,0.243611,-0.0860427,-0.145306,7.29589,-2.78574,5.40053,0.202757,0.230966,-1.74303,0.223743,-9.73259,-2.13831,-0.201037,0.0904792,-0.449247,-1.03333,-9.98128,-1.22335,-0.0876056,-0.689423,0.421068,-0.442807,8.7813,-1.17877,-0.0752093,-1.1079,-0.0801568,-3.7058,10.3994,0.300586,-0.378686,-1.46468,-0.697995
0.008,8.0863,-1.70396,4.50524,-0.147515,0.0160395,-0.0785882,4.31459,3.34744,8.05077,0.24392,-0.0890956,-0.14628,7.07909,-2.70311,5.33651,0.232624,0.185361,-1.71242,0.30756,-9.73297,-2.1453,-0.201078,0.0717723,-0.447717,-0.935174,-9.94951,-1.2659,-0.0893222,-0.702046,0.415979,-0.442552,8.7388,-1.23769,-0.0655358,-1.10109,-0.0843879,-3.66871,10.3144,0.300684,-0.385401,-1.47879,-0.704869
0.009,8.06444,-1.73756,4.50145,-0.142878,0.0140196,-0.0778212,4.30286,3.32799,8.05052,0.244284,-0.0918767,-0.147099,6.87516,-2.61876,5.27399,0.260171,0.138845,-1.68035,0.389129,-9.73303,-2.1526,-0.200962,0.0533393,-0.44644,-0.83863,-9.9162,-1.30964,-0.0911652,-0.714015,0.410767,-0.44113,8.69459,-1.29287,-0.0559189,-1.09358,-0.0887774,-3.63377,10.2311,0.297618,-0.391781,-1.49219,-0.712
0.01,8.0434,-1.75687,4.4796,-0.140637,0.0093837,-0.0803139,4.29446,3.32205,8.05428,0.245085,-0.0924833,-0.146675,6.77413,-2.52058,5.22347,0.269165,0.0850446,-1.63657,0.452725,-9.73063,-2.16231,-0.199577,0.0370983,-0.447189,-0.754992,-9.87055,-1.36304,-0.0940194,-0.720759,0.404577,-0.430375,8.63678,-1.31802,-0.0467555,-1.0804,-0.0944336,-3.61604,10.1615,0.269229,-0.395469,-1.49998,-0.721189
0.011,8.02237,-1.77617,4.45775,-0.138396,0.00474783,-0.0828065,4.28606,3.3161,8.05804,0.245885,-0.0930899,-0.146251,6.6731,-2.4224,5.17294,0.278159,0.031244,-1.5928,0.516321,-9.72824,-2.17202,-0.198191,0.0208572,-0.447939,-0.671354,-9.82489,-1.41644,-0.0968736,-0.727503,0.398387,-0.41962,8.57897,-1.34318,-0.037592,-1.06722,-0.10009,-3.59831,10.0919,0.240841,-0.399158,-1.50777,-0.730379
0.012,8.00134,-1.79548,4.4359,-0.136155,0.000111973,-0.0852992,4.27766,3.31016,8.0618,0.246685,-0.0936965,-0.145827,6.57207,-2.32422,5.12241,0.287152,-0.0225565,-1.54902,0.579917,-9.72584,-2.18173,-0.196806,0.00461614,-0.448689,-0.587715,-9.77923,-1.46984,-0.0997277,-0.734247,0.392197,-0.408865,8.52116,-1.36833,-0.0284285,-1.05404,-0.105746,-3.58057,10.0223,0.212452,-0.402847,-1.51556,-0.739568
0.013,7.98031,-1.81479,4.41406,-0.133914,-0.00452389,-0.0877919,4.26927,3.30421,8.06557,0.247486,-0.0943031,-0.145402,6.47104,-2.22605,5.07188,0.296146,-0.0763571,-1.50525,0.643514,-9.72344,-2.19145,-0.195421,-0.0116249,-0.449438,-0.504077,-9.73357,-1.52324,-0.102582,-0.740992,0.386007,-0.39811,8.46334,-1.39349,-0.019265,-1.04086,-0.111402,-3.56284,9.95266,0.184064,-0.406535,-1.52335,-0.748757
0.014,7.96574,-1.80923,4.40107,-0.131289,-0.00742369,-0.0872422,4.28331,3.32246,8.05552,0.248185,-0.0935329,-0.144343,6.44957,-2.15957,5.0072,0.290209,-0.129967,-1.46401,0.681658,-9.70325,-2.23339,-0.194106,-0.0238333,-0.448989,-0.394346,-9.68439,-1.55989,-0.104663,-0.742545,0.381448,-0.399123,8.39357,-1.40985,-0.0115366,-1.02334,-0.116236,-3.53358,9.88577,0.125088,-0.408345,-1.52426,-0.757779
0.015,7.95441,-1.79124,4.39251,-0.128473,-0.00945547,-0.0851713,4.30857,3.35281,8.03856,0.248834,-0.0920743,-0.142966,6.4679,-2.10894,4.93544,0.276807,-0.183482,-1.42404,0.707076,-9.67416,-2.29145,-0.192827,-0.0340252,-0.447939,-0.271568,-9.63345,-1.58816,-0.106358,-0.741504,0.377706,-0.406022,8.31782,-1.42181,-0.00452576,-1.00366,-0.120658,-3.49856,9.82024,0.0508193,-0.409214,-1.52173,-0.766717
0.016,7.94308,-1.77325,4.38395,-0.125657,-0.0114872,-0.0831005,4.33383,3.38316,8.02161,0.249483,-0.0906156,-0.14159,6.48622,-2.05831,4.86368,0.263406,-0.236998,-1.38407,0.732495,-9.64508,-2.34951,-0.191547,-0.0442172,-0.44689,-0.148791,-9.5825,-1.61644,-0.108053,-0.740463,0.373963,-0.41292,8.24207,-1.43376,0.00248509,-0.983975,-0.125081,-3.46353,9.7547,-0.0234497,-0.410084,-1.51919,-0.775655
