Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0,-4.9484,8.18564,-2.20464,0.0235552,-0.0271873,0.00776892,-0.730597,-9.8917,-0.791399,-0.00327461,-0.00218307,-0.0116885,0.290886,9.57754,-1.63906,-0.0130483,0.013893,0.0130483,1.87853,-9.65729,-1.93414,-0.0728295,0.0174495,-0.00163808,4.85111,-0.861244,8.28348,-0.0160768,0.00801098,0.001065,4.36951,0.148668,9.05989,-0.0157068,0.00202117,0.00948394,9.37064,-1.57814,2.38771,-0.0184258,0.0129699,0.0147637
0.001,-4.93107,8.17314,-2.19975,0.0240119,-0.0299057,0.00671478,-0.727338,-9.90048,-0.802393,-0.00197731,-0.00202592,-0.0103308,0.286821,9.58731,-1.63786,-0.0121714,0.0134858,0.0130619,1.86591,-9.63534,-1.94153,-0.073021,0.0183257,-0.0030398,4.85988,-0.816923,8.30627,-0.0160539,0.00746747,0.00128435,4.37943,0.140105,9.0188,-0.0144941,0.00180603,0.00957254,9.38066,-1.57304,2.39223,-0.0191779,0.0115278,0.0161769
0.002,-4.91374,8.16065,-2.19486,0.0244687,-0.032624,0.00566065,-0.724078,-9.90927,-0.813388,-0.000680017,-0.00186878,-0.00897311,0.282756,9.59708,-1.63666,-0.0112946,0.0130785,0.0130756,1.85328,-9.61338,-1.94891,-0.0732125,0.0192018,-0.00444152,4.86866,-0.772602,8.32905,-0.016031,0.00692395,0.0015037,4.38934,0.131542,8.97771,-0.0132813,0.00159089,0.00966115,9.39067,-1.56794,2.39675,-0.0199301,0.0100856,0.0175901
0.003,-4.89641,8.14815,-2.18997,0.0249254,-0.0353423,0.00460651,-0.720819,-9.91805,-0.824382,0.000617278,-0.00171163,-0.00761544,0.278691,9.60685,-1.63546,-0.0104177,0.0126713,0.0130892,1.84066,-9.59142,-1.95629,-0.073404,0.0200779,-0.00584324,4.87743,-0.728282,8.35184,-0.0160081,0.00638044,0.00172304,4.39926,0.122979,8.93662,-0.0120686,0.00137576,0.00974976,9.40069,-1.56283,2.40127,-0.0206822,0.00864351,0.0190032
0.004,-4.87907,8.13565,-2.18507,0.0253821,-0.0380606,0.00355237,-0.717559,-9.92684,-0.835377,0.00191457,-0.00155448,-0.00625776,0.274626,9.61662,-1.63427,-0.00954089,0.012264,0.0131028,1.82804,-9.56946,-1.96368,-0.0735955,0.0209541,-0.00724497,4.8862,-0.683961,8.37463,-0.0159852,0.00583692,0.00194239,4.40918,0.114416,8.89553,-0.0108559,0.00116062,0.00983837,9.4107,-1.55773,2.40579,-0.0214343,0.00720137,0.0204164
0.005,-4.88353,8.13065,-2.18428,0.0265323,-0.0393921,0.00395177,-0.718804,-9.92864,-0.839342,0.00266444,-0.000178278,-0.00620944,0.266755,9.61747,-1.63865,-0.00976922,0.0120579,0.0130156,1.82483,-9.56679,-1.96358,-0.0731706,0.0221731,-0.00772254,4.87392,-0.672569,8.38148,-0.0165916,0.0051916,0.00205114,4.40328,0.11414,8.88787,-0.00999248,0.00118145,0.00867664,9.40711,-1.56915,2.40227,-0.0214971,0.00699113,0.0201579
0.006,-4.90543,8.13165,-2.18677,0.0282372,-0.0396141,0.00551398,-0.723652,-9.92487,-0.837685,0.00297637,0.00217317,-0.00720858,0.255839,9.61118,-1.64749,-0.0108817,0.0120127,0.0128476,1.82917,-9.57954,-1.95751,-0.0722525,0.0236664,-0.00746079,4.8448,-0.687521,8.37559,-0.0177015,0.00446484,0.00207142,4.38473,0.120495,8.90695,-0.00940859,0.00139106,0.00651464,9.39263,-1.59377,2.39231,-0.0210084,0.00776642,0.0185622
0.007,-4.92732,8.13265,-2.18926,0.029942,-0.0398362,0.0070762,-0.728501,-9.92109,-0.836027,0.0032883,0.00452463,-0.00820773,0.244923,9.60489,-1.65633,-0.0119942,0.0119675,0.0126796,1.8335,-9.59229,-1.95143,-0.0713344,0.0251598,-0.00719904,4.81568,-0.702472,8.36971,-0.0188114,0.00373808,0.0020917,4.36618,0.12685,8.92603,-0.00882469,0.00160068,0.00435264,9.37815,-1.6184,2.38234,-0.0205197,0.0085417,0.0169665
0.008,-4.94922,8.13365,-2.19175,0.0316469,-0.0400582,0.00863842,-0.733349,-9.91732,-0.834369,0.00360022,0.00687608,-0.00920688,0.234007,9.5986,-1.66517,-0.0131067,0.0119223,0.0125117,1.83783,-9.60503,-1.94536,-0.0704163,0.0266531,-0.00693729,4.78656,-0.717423,8.36382,-0.0199212,0.00301132,0.00211198,4.34763,0.133205,8.9451,-0.00824079,0.00181029,0.00219064,9.36367,-1.64303,2.37238,-0.020031,0.00931698,0.0153707
0.009,-4.96728,8.1357,-2.19564,0.0332011,-0.040534,0.0100721,-0.737846,-9.91398,-0.834202,0.00375599,0.00895503,-0.0102236,0.225525,9.59258,-1.67411,-0.0142567,0.0117853,0.0124292,1.8441,-9.61881,-1.93988,-0.0695315,0.027862,-0.00675107,4.76187,-0.731666,8.35638,-0.0207429,0.00235943,0.00217991,4.3337,0.140036,8.963,-0.00788041,0.00209441,0.000448057,9.35027,-1.66494,2.36511,-0.0195422,0.0101886,0.0139219
0.01,-4.9547,8.14616,-2.21074,0.0335502,-0.0430399,0.0104776,-0.739535,-9.91421,-0.845957,0.00266246,0.00885398,-0.0113804,0.236518,9.58873,-1.68379,-0.0157064,0.0109149,0.0130307,1.86582,-9.64086,-1.9392,-0.0689133,0.0267954,-0.00716904,4.77262,-0.740243,8.33656,-0.0192589,0.00230648,0.00262912,4.3568,0.150671,8.97142,-0.00930813,0.00297456,0.00206075,9.34553,-1.66519,2.37929,-0.0190535,0.0118309,0.0136482
0.011,-4.94213,8.15663,-2.22584,0.0338993,-0.0455458,0.0108832,-0.741224,-9.91443,-0.857711,0.00156893,0.00875294,-0.0125373,0.24751,9.58488,-1.69347,-0.0171561,0.0100446,0.0136322,1.88754,-9.6629,-1.93852,-0.068295,0.0257288,-0.00758701,4.78337,-0.74882,8.31674,-0.0177749,0.00225354,0.00307833,4.37991,0.161307,8.97984,-0.0107359,0.00385471,0.00367345,9.3408,-1.66544,2.39348,-0.0185648,0.0134732,0.0133745
