Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,0.387175,9.39669,-2.55337,-0.0131546,-0.8215,-0.0202698,-2.63235,-11.3608,-4.35261,-0.985149,6.08782,-1.98457,13.6305,6.02453,2.39626,-1.47304,0.773663,-6.15386,6.04411,-2.65417,7.46101,-0.191323,-0.0574554,0.088395,8.48238,-0.770933,4.44994,-0.584255,0.0690205,-0.592294,1.15664,9.53107,-2.05453,-0.0931243,-0.249034,-0.0689317,-1.84503,-9.77493,1.42156,0.520751,3.34759,0.0924555
0.001,0.396357,9.37449,-2.5503,-0.0128493,-0.823901,-0.0187333,-2.74351,-11.4227,-4.33242,-0.995318,6.14636,-1.96054,13.637,5.91863,2.39381,-1.48667,0.720552,-6.18601,6.04647,-2.64941,7.42439,-0.19192,-0.0602103,0.0894317,8.48924,-0.740149,4.422,-0.586406,0.06586,-0.58814,1.16628,9.52212,-2.03627,-0.0950419,-0.248309,-0.0678299,-1.84785,-9.77876,1.44384,0.508104,3.33534,0.0999963
0.002,0.405539,9.3523,-2.54723,-0.012544,-0.826301,-0.0171968,-2.85467,-11.4845,-4.31223,-1.00549,6.2049,-1.93651,13.6435,5.81273,2.39137,-1.50029,0.667442,-6.21815,6.04882,-2.64465,7.38776,-0.192517,-0.0629651,0.0904684,8.4961,-0.709364,4.39405,-0.588556,0.0626994,-0.583986,1.17591,9.51317,-2.01801,-0.0969595,-0.247584,-0.0667281,-1.85068,-9.78259,1.46611,0.495457,3.32309,0.107537
0.003,0.414721,9.3301,-2.54415,-0.0122386,-0.828702,-0.0156603,-2.96583,-11.5464,-4.29205,-1.01566,6.26344,-1.91248,13.65,5.70682,2.38892,-1.51392,0.614331,-6.25029,6.05118,-2.63988,7.35114,-0.193114,-0.06572,0.0915051,8.50296,-0.67858,4.36611,-0.590707,0.0595388,-0.579832,1.18555,9.50422,-1.99974,-0.0988771,-0.24686,-0.0656263,-1.8535,-9.78643,1.48839,0.48281,3.31083,0.115078
0.004,0.423904,9.30791,-2.54108,-0.0119333,-0.831102,-0.0141238,-3.07699,-11.6083,-4.27186,-1.02583,6.32199,-1.88845,13.6565,5.60092,2.38648,-1.52755,0.561221,-6.28243,6.05354,-2.63512,7.31451,-0.193712,-0.0684749,0.0925418,8.50982,-0.647796,4.33816,-0.592858,0.0563782,-0.575677,1.19518,9.49526,-1.98148,-0.100795,-0.246135,-0.0645245,-1.85632,-9.79026,1.51066,0.470163,3.29858,0.122619
0.005,0.445664,9.31875,-2.56684,-0.0120356,-0.832997,-0.0144759,-3.18016,-11.6772,-4.28401,-1.0311,6.37184,-1.86417,13.6849,5.49916,2.394,-1.54134,0.509115,-6.31182,6.04547,-2.62866,7.31765,-0.19609,-0.0714223,0.0959389,8.53161,-0.636751,4.32957,-0.593742,0.0545029,-0.571782,1.19618,9.50142,-1.96577,-0.102339,-0.245591,-0.0642176,-1.87356,-9.78728,1.50253,0.45401,3.28812,0.132106
0.006,0.477487,9.35602,-2.61566,-0.0124641,-0.834487,-0.0163389,-3.27694,-11.7518,-4.32203,-1.03246,6.41474,-1.83968,13.7307,5.40071,2.40949,-1.55526,0.457813,-6.33901,6.02906,-2.62084,7.35261,-0.199893,-0.0745238,0.101224,8.56533,-0.641498,4.33647,-0.593611,0.0536559,-0.568094,1.19026,9.51966,-1.95211,-0.103584,-0.245192,-0.0645465,-1.90232,-9.77885,1.47007,0.435054,3.2791,0.14315
0.007,0.50931,9.3933,-2.66449,-0.0128925,-0.835976,-0.0182019,-3.37372,-11.8264,-4.36004,-1.03381,6.45764,-1.81519,13.7766,5.30226,2.42499,-1.56918,0.406511,-6.3662,6.01266,-2.61302,7.38757,-0.203696,-0.0776253,0.10651,8.59905,-0.646246,4.34336,-0.593481,0.0528088,-0.564406,1.18435,9.5379,-1.93844,-0.10483,-0.244793,-0.0648754,-1.93109,-9.77042,1.43761,0.416097,3.27008,0.154194
0.008,0.541133,9.43057,-2.71331,-0.013321,-0.837466,-0.0200648,-3.4705,-11.9011,-4.39806,-1.03517,6.50055,-1.79071,13.8224,5.20381,2.44048,-1.5831,0.355209,-6.39339,5.99625,-2.6052,7.42252,-0.2075,-0.0807269,0.111795,8.63278,-0.650993,4.35026,-0.59335,0.0519617,-0.560717,1.17843,9.55615,-1.92478,-0.106075,-0.244394,-0.0652043,-1.95985,-9.76199,1.40515,0.39714,3.26107,0.165238
0.009,0.569895,9.46153,-2.75271,-0.0138561,-0.838852,-0.0216364,-3.57362,-11.9747,-4.42942,-1.03565,6.54109,-1.76623,13.8702,5.1042,2.45653,-1.59694,0.304376,-6.41996,5.98166,-2.59842,7.45313,-0.210667,-0.0837061,0.116795,8.66179,-0.654283,4.35534,-0.593815,0.0505199,-0.557322,1.17633,9.57246,-1.91311,-0.10674,-0.24449,-0.0653002,-1.98332,-9.75199,1.36672,0.378327,3.25243,0.175629
0.01,0.574172,9.442,-2.71663,-0.0152443,-0.8394,-0.0208774,-3.72746,-12.0407,-4.40749,-1.02912,6.56276,-1.74184,13.9339,4.99537,2.47702,-1.61016,0.257304,-6.44155,5.98162,-2.60006,7.44895,-0.208748,-0.0857074,0.119504,8.65313,-0.645912,4.34596,-0.599038,0.0443197,-0.556272,1.20477,9.57338,-1.91748,-0.102762,-0.248547,-0.0635326,-1.96442,-9.72935,1.28049,0.360661,3.24682,0.180787
0.011,0.578449,9.42247,-2.68054,-0.0166326,-0.839949,-0.0201183,-3.8813,-12.1067,-4.38556,-1.0226,6.58443,-1.71745,13.9976,4.88653,2.49751,-1.62339,0.210231,-6.46315,5.98158,-2.60169,7.44476,-0.206828,-0.0877086,0.122213,8.64447,-0.637542,4.33658,-0.60426,0.0381194,-0.555221,1.23321,9.57429,-1.92185,-0.098783,-0.252603,-0.061765,-1.94552,-9.70672,1.19427,0.342995,3.24121,0.185945
0.012,0.582726,9.40294,-2.64446,-0.0180208,-0.840497,-0.0193592,-4.03514,-12.1726,-4.36364,-1.01607,6.60609,-1.69306,14.0612,4.77769,2.518,-1.63661,0.163159,-6.48474,5.98154,-2.60333,7.44058,-0.204909,-0.0897099,0.124923,8.63581,-0.629172,4.3272,-0.609483,0.0319192,-0.55417,1.26165,9.57521,-1.92622,-0.0948043,-0.25666,-0.0599973,-1.92662,-9.68409,1.10804,0.325329,3.23561,0.191103
0.013,0.587004,9.3834,-2.60838,-0.019409,-0.841046,-0.0186002,-4.18898,-12.2386,-4.34171,-1.00954,6.62776,-1.66867,14.1249,4.66886,2.53849,-1.64983,0.116086,-6.50634,5.9815,-2.60497,7.4364,-0.20299,-0.0917111,0.127632,8.62715,-0.620802,4.31782,-0.614706,0.025719,-0.553119,1.29009,9.57612,-1.93059,-0.0908257,-0.260717,-0.0582297,-1.90772,-9.66146,1.02181,0.307663,3.23,0.196261
0.014,0.59125,9.36024,-2.63243,-0.0191646,-0.84079,-0.0204434,-4.35064,-12.3042,-4.32633,-1.00258,6.63782,-1.64505,14.1885,4.58016,2.56388,-1.6632,0.071424,-6.52287,5.98429,-2.63558,7.4045,-0.202562,-0.0920445,0.127006,8.6003,-0.616782,4.32544,-0.61874,0.0231097,-0.550159,1.30211,9.57519,-1.92056,-0.0914668,-0.265905,-0.0561218,-1.9013,-9.6439,0.980355,0.29001,3.22235,0.204084
0.015,0.595482,9.33527,-2.68654,-0.0181039,-0.840132,-0.0235877,-4.51621,-12.3697,-4.31422,-0.99541,6.64207,-1.62182,14.2519,4.50153,2.59172,-1.67664,0.0279668,-6.53688,5.9885,-2.6807,7.35875,-0.202879,-0.0915439,0.124711,8.56437,-0.614937,4.34154,-0.622179,0.0222958,-0.546244,1.30593,9.57335,-1.90334,-0.0944178,-0.271659,-0.0538438,-1.90111,-9.62889,0.961283,0.272363,3.21368,0.213238
0.016,0.599714,9.31029,-2.74066,-0.0170432,-0.839474,-0.0267321,-4.68178,-12.4352,-4.30212,-0.988236,6.64633,-1.59859,14.3154,4.4229,2.61956,-1.69009,-0.0154903,-6.55089,5.99271,-2.72581,7.313,-0.203197,-0.0910434,0.122417,8.52843,-0.613093,4.35765,-0.625618,0.0214818,-0.54233,1.30975,9.57151,-1.88611,-0.0973687,-0.277414,-0.0515658,-1.90093,-9.61388,0.94221,0.254716,3.20501,0.222393
0.017,0.603946,9.28532,-2.79477,-0.0159825,-0.838815,-0.0298764,-4.84734,-12.5007,-4.29001,-0.981062,6.65058,-1.57536,14.3789,4.34427,2.6474,-1.70353,-0.0589475,-6.5649,5.99693,-2.77092,7.26724,-0.203515,-0.0905428,0.120123,8.49249,-0.611249,4.37376,-0.629058,0.0206679,-0.538415,1.31357,9.56966,-1.86889,-0.10032,-0.283168,-0.0492878,-1.90075,-9.59886,0.923138,0.237068,3.19634,0.231548
0.018,0.606128,9.26679,-2.84393,-0.0150425,-0.837577,-0.0325619,-5.00642,-12.5776,-4.27675,-0.971985,6.65061,-1.55232,14.4371,4.26953,2.67177,-1.71625,-0.101754,-6.57658,6.00406,-2.8085,7.23037,-0.204048,-0.0905278,0.118198,8.47878,-0.616792,4.38657,-0.632507,0.0191795,-0.533995,1.31438,9.56594,-1.86003,-0.102809,-0.287641,-0.0478611,-1.89554,-9.59745,0.888979,0.219396,3.18863,0.240068
0.019,0.601136,9.27083,-2.87576,-0.0145248,-0.83431,-0.0336418,-5.14278,-12.6948,-4.25944,-0.956251,6.63585,-1.52996,14.4769,4.20838,2.68402,-1.72648,-0.142286,-6.5801,6.02143,-2.81974,7.2246,-0.205334,-0.0922124,0.117562,8.54288,-0.648191,4.38786,-0.635991,0.0153301,-0.527808,1.30467,9.55564,-1.88047,-0.103683,-0.287629,-0.049414,-1.87276,-9.64362,0.802017,0.201636,3.18426,0.246368
0.02,0.596143,9.27487,-2.9076,-0.0140072,-0.831043,-0.0347216,-5.27914,-12.812,-4.24213,-0.940517,6.62109,-1.50759,14.5168,4.14723,2.69628,-1.73671,-0.182818,-6.58363,6.0388,-2.83099,7.21882,-0.206621,-0.093897,0.116926,8.60698,-0.67959,4.38914,-0.639475,0.0114807,-0.52162,1.29495,9.54535,-1.9009,-0.104557,-0.287617,-0.0509668,-1.84998,-9.6898,0.715055,0.183875,3.17989,0.252668
0.021,0.591151,9.27891,-2.93943,-0.0134896,-0.827776,-0.0358014,-5.4155,-12.9292,-4.22482,-0.924783,6.60633,-1.48523,14.5566,4.08608,2.70853,-1.74694,-0.223349,-6.58715,6.05616,-2.84223,7.21305,-0.207908,-0.0955816,0.116291,8.67108,-0.710989,4.39042,-0.642959,0.00763133,-0.515433,1.28523,9.53505,-1.92134,-0.105432,-0.287605,-0.0525196,-1.82719,-9.73597,0.628094,0.166115,3.17552,0.258968
0.022,0.586159,9.28295,-2.97126,-0.012972,-0.824509,-0.0368812,-5.55185,-13.0464,-4.2075,-0.909049,6.59157,-1.46287,14.5965,4.02493,2.72078,-1.75717,-0.263881,-6.59067,6.07353,-2.85347,7.20727,-0.209195,-0.0972662,0.115655,8.73519,-0.742388,4.3917,-0.646444,0.00378194,-0.509246,1.27551,9.52476,-1.94177,-0.106306,-0.287593,-0.0540724,-1.80441,-9.78215,0.541132,0.148355,3.17115,0.265269
0.023,0.61184,9.284,-2.97591,-0.0144776,-0.819331,-0.039327,-5.6494,-13.1408,-4.23356,-0.893375,6.56765,-1.44399,14.6044,3.95572,2.73592,-1.76644,-0.301439,-6.58821,6.05374,-2.88534,7.22869,-0.20991,-0.096571,0.116298,8.7285,-0.736853,4.3729,-0.646004,0.00139649,-0.506996,1.28824,9.51134,-1.97349,-0.106422,-0.285672,-0.0543912,-1.78368,-9.79447,0.454379,0.138464,3.16567,0.272465
0.024,0.646284,9.28419,-2.97281,-0.0165614,-0.813607,-0.0421631,-5.73585,-13.2286,-4.27201,-0.877718,6.54111,-1.4261,14.6032,3.88421,2.75189,-1.77542,-0.338149,-6.58405,6.02334,-2.9231,7.25787,-0.210462,-0.0951959,0.117306,8.70158,-0.720765,4.34836,-0.644444,-0.000570695,-0.505871,1.30738,9.49704,-2.00843,-0.106322,-0.283206,-0.0543575,-1.76354,-9.79713,0.367684,0.130821,3.15988,0.279917
0.025,0.680727,9.28439,-2.9697,-0.0186452,-0.807883,-0.0449991,-5.8223,-13.3165,-4.31045,-0.862061,6.51457,-1.40822,14.602,3.8127,2.76786,-1.78441,-0.374858,-6.57989,5.99294,-2.96087,7.28706,-0.211015,-0.0938207,0.118314,8.67467,-0.704678,4.32382,-0.642884,-0.00253788,-0.504746,1.32651,9.48273,-2.04337,-0.106222,-0.28074,-0.0543237,-1.7434,-9.79979,0.28099,0.123178,3.15408,0.28737
0.026,0.715171,9.28458,-2.96659,-0.020729,-0.802159,-0.0478352,-5.90876,-13.4043,-4.3489,-0.846404,6.48803,-1.39033,14.6008,3.74119,2.78382,-1.7934,-0.411567,-6.57573,5.96254,-2.99863,7.31624,-0.211567,-0.0924455,0.119322,8.64775,-0.688591,4.29928,-0.641324,-0.00450507,-0.503621,1.34565,9.46842,-2.07832,-0.106122,-0.278274,-0.0542899,-1.72326,-9.80245,0.194296,0.115535,3.14828,0.294822
