Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.01,-1.74096,-9.46185,-2.63491,-0.179358,0.0877371,0.0607068,8.55725,0.36527,4.69493,-0.014951,-0.0446819,0.0583012,-1.55781,9.32146,-0.966736,-0.0498383,-0.280696,-0.0441779,2.10427,-9.32286,-1.89889,-0.157183,0.0376259,0.1278,4.36208,0.981384,8.55665,-0.0478739,0.00536475,-0.00426634,-1.12416,9.46703,-2.07583,-0.115633,-0.155642,-0.177269,3.7585,3.79344,8.10034,-0.0150254,0.0148662,-0.0154017
0.011,-1.7412,-9.4701,-2.63414,-0.178749,0.0870567,0.0580835,8.54798,0.364504,4.69991,-0.0151038,-0.0452211,0.0592338,-1.53614,9.32391,-0.990315,-0.0469728,-0.277609,-0.0421811,2.07808,-9.33236,-1.86583,-0.155212,0.0369266,0.1278,4.35933,1.01458,8.56762,-0.0497309,0.00482636,-0.00292921,-1.10678,9.44389,-2.08593,-0.115463,-0.153494,-0.176846,3.7366,3.78034,8.09133,-0.0194472,0.0124309,-0.0177639
0.012,-1.74145,-9.47835,-2.63338,-0.17814,0.0863763,0.0554603,8.53871,0.363737,4.70489,-0.0152567,-0.0457603,0.0601664,-1.51447,9.32636,-1.01389,-0.0441072,-0.274521,-0.0401843,2.05189,-9.34186,-1.83278,-0.153242,0.0362273,0.1278,4.35659,1.04778,8.5786,-0.0515879,0.00428798,-0.00159208,-1.0894,9.42074,-2.09602,-0.115292,-0.151345,-0.176423,3.7147,3.76725,8.08232,-0.0238691,0.00999563,-0.020126
0.013,-1.74169,-9.4866,-2.63261,-0.177531,0.085696,0.052837,8.52943,0.362971,4.70988,-0.0154095,-0.0462995,0.0610991,-1.4928,9.3288,-1.03747,-0.0412416,-0.271433,-0.0381875,2.0257,-9.35135,-1.79972,-0.151272,0.035528,0.1278,4.35384,1.08098,8.58957,-0.0534449,0.00374959,-0.000254943,-1.07203,9.3976,-2.10612,-0.115121,-0.149197,-0.176,3.69281,3.75416,8.0733,-0.0282909,0.00756036,-0.0224882
0.014,-1.72512,-9.47831,-2.63924,-0.176885,0.085308,0.0518401,8.51543,0.359874,4.71516,-0.0135932,-0.0445938,0.0620717,-1.49122,9.32471,-1.04681,-0.0368779,-0.267124,-0.0370255,2.01679,-9.36661,-1.81185,-0.152398,0.0386649,0.129342,4.35242,1.08018,8.59604,-0.0535793,0.0031268,0.00166746,-1.05662,9.3913,-2.09717,-0.115995,-0.149664,-0.175839,3.6746,3.76534,8.08192,-0.0299179,0.00670985,-0.0251011
0.015,-1.70014,-9.46176,-2.64956,-0.176221,0.0850663,0.0516562,8.49905,0.355612,4.72059,-0.0107923,-0.0417657,0.0630645,-1.49967,9.31735,-1.04902,-0.0317651,-0.262203,-0.0362809,2.01651,-9.38474,-1.84659,-0.155072,0.0437199,0.131655,4.35165,1.06239,8.60025,-0.0528526,0.00246181,0.0038825,-1.0422,9.39342,-2.0787,-0.117391,-0.151438,-0.175809,3.65824,3.78868,8.09935,-0.0301473,0.00665172,-0.0278394
0.016,-1.67516,-9.4452,-2.65988,-0.175556,0.0848246,0.0514724,8.48268,0.35135,4.72602,-0.00799149,-0.0389376,0.0640572,-1.50813,9.30999,-1.05124,-0.0266524,-0.257283,-0.0355363,2.01624,-9.40288,-1.88132,-0.157747,0.0487748,0.133968,4.35088,1.0446,8.60446,-0.0521258,0.00179681,0.00609754,-1.02779,9.39554,-2.06023,-0.118787,-0.153212,-0.175778,3.64189,3.81201,8.11679,-0.0303768,0.00659359,-0.0305777
0.017,-1.65018,-9.42864,-2.6702,-0.174891,0.0845829,0.0512886,8.46631,0.347088,4.73145,-0.00519064,-0.0361094,0.0650499,-1.51658,9.30263,-1.05345,-0.0215396,-0.252362,-0.0347917,2.01596,-9.42101,-1.91605,-0.160421,0.0538298,0.136281,4.35011,1.02681,8.60868,-0.0513991,0.00113182,0.00831258,-1.01337,9.39767,-2.04177,-0.120183,-0.154986,-0.175748,3.62553,3.83534,8.13422,-0.0306063,0.00653546,-0.033316
0.018,-1.63425,-9.41869,-2.67796,-0.174173,0.0839339,0.0511976,8.45498,0.345513,4.73195,-0.00233566,-0.0336746,0.0659082,-1.52219,9.29788,-1.05826,-0.0160027,-0.247702,-0.0334324,2.02418,-9.43245,-1.94288,-0.162471,0.0577501,0.137266,4.35045,0.999446,8.60933,-0.0509958,0.000537668,0.0100892,-1.00615,9.39551,-2.02874,-0.120957,-0.156588,-0.175778,3.62312,3.85447,8.14457,-0.031573,0.00649667,-0.0353395
0.019,-1.65,-9.43186,-2.67673,-0.173264,0.0818596,0.0514315,8.46131,0.353341,4.71519,0.000708778,-0.0326163,0.0662962,-1.51784,9.30223,-1.07214,-0.00898125,-0.243949,-0.0299217,2.06213,-9.42045,-1.94209,-0.162337,0.0576989,0.133601,4.35463,0.938591,8.5975,-0.0517245,0.00019145,0.0103315,-1.02411,9.37839,-2.03476,-0.119554,-0.157587,-0.176017,3.66951,3.85889,8.13011,-0.0351199,0.00652553,-0.0348615
