Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,-2.22763,-9.41023,-2.15947,-0.165438,-0.0496924,0.0372296,8.53376,0.268358,4.59707,-0.15123,-0.188089,-0.00245365,-1.09977,9.72593,-0.362627,0.0173875,0.0634318,-0.0473282,1.98569,-9.49762,-1.12799,-0.110347,-0.022508,0.19809,4.43478,0.785752,8.59085,0.0192037,-0.0161846,-0.0334679,-1.23579,9.54839,-2.26844,-0.109667,-0.0341504,-0.159651,3.84831,3.64562,8.20455,-0.0592735,0.0428414,-0.00343644
0.001,-2.2195,-9.42227,-2.16489,-0.166157,-0.0464114,0.0367583,8.56097,0.267941,4.62136,-0.151044,-0.186162,-0.00415727,-1.10601,9.74104,-0.373933,0.0135156,0.0619441,-0.0489712,1.9904,-9.48608,-1.13527,-0.109017,-0.0226959,0.197268,4.44661,0.762703,8.57161,0.0164824,-0.0162775,-0.0319781,-1.2427,9.55385,-2.24749,-0.109289,-0.0353644,-0.157933,3.84155,3.63703,8.17867,-0.0589933,0.0436155,-0.00377232
0.002,-2.21138,-9.4343,-2.17031,-0.166876,-0.0431303,0.036287,8.58819,0.267524,4.64565,-0.150858,-0.184235,-0.0058609,-1.11225,9.75615,-0.385239,0.0096437,0.0604564,-0.0506141,1.99511,-9.47455,-1.14256,-0.107686,-0.0228838,0.196447,4.45844,0.739654,8.55236,0.0137611,-0.0163704,-0.0304882,-1.24961,9.55931,-2.22655,-0.108911,-0.0365783,-0.156214,3.83479,3.62844,8.15279,-0.0587131,0.0443897,-0.0041082
0.003,-2.20326,-9.44634,-2.17573,-0.167595,-0.0398492,0.0358157,8.6154,0.267107,4.66994,-0.150673,-0.182309,-0.00756453,-1.11849,9.77126,-0.396545,0.00577177,0.0589687,-0.0522571,1.99983,-9.46301,-1.14984,-0.106356,-0.0230717,0.195625,4.47027,0.716605,8.53312,0.0110399,-0.0164632,-0.0289983,-1.25653,9.56477,-2.20561,-0.108533,-0.0377922,-0.154496,3.82803,3.61985,8.12691,-0.0584328,0.0451638,-0.00444408
0.004,-2.19513,-9.45837,-2.18115,-0.168314,-0.0365682,0.0353444,8.64262,0.26669,4.69423,-0.150487,-0.180382,-0.00926815,-1.12472,9.78637,-0.407851,0.00189985,0.0574811,-0.0539,2.00454,-9.45148,-1.15712,-0.105026,-0.0232596,0.194804,4.4821,0.693556,8.51388,0.00831862,-0.0165561,-0.0275085,-1.26344,9.57022,-2.18467,-0.108155,-0.0390061,-0.152777,3.82127,3.61126,8.10103,-0.0581526,0.0459379,-0.00477996
0.005,-2.18583,-9.47048,-2.1884,-0.168854,-0.0335516,0.0343293,8.648,0.252572,4.7007,-0.148527,-0.180994,-0.0110034,-1.11737,9.78313,-0.39097,-0.00327174,0.0561452,-0.0553167,2.01382,-9.45067,-1.16074,-0.10483,-0.0235523,0.19403,4.48217,0.68869,8.51588,0.00533441,-0.0167068,-0.0268353,-1.27431,9.57405,-2.18044,-0.10949,-0.0402012,-0.150885,3.80948,3.60238,8.0987,-0.0583331,0.0463542,-0.00596134
0.006,-2.1756,-9.48265,-2.1971,-0.169252,-0.0307467,0.0328791,8.63592,0.227493,4.69291,-0.145147,-0.183637,-0.0127638,-1.09915,9.7652,-0.351539,-0.00948305,0.0549308,-0.0565524,2.02674,-9.45846,-1.16143,-0.105539,-0.023929,0.193294,4.47284,0.698372,8.53489,0.00213984,-0.0169037,-0.0268154,-1.28834,9.57657,-2.18959,-0.112194,-0.0413811,-0.148855,3.79366,3.59326,8.11523,-0.0588824,0.0464842,-0.0078191
0.007,-2.16536,-9.49482,-2.20581,-0.169649,-0.0279418,0.0314289,8.62384,0.202414,4.68512,-0.141767,-0.186281,-0.0145243,-1.08092,9.74727,-0.312109,-0.0156944,0.0537164,-0.057788,2.03967,-9.46624,-1.16212,-0.106249,-0.0243056,0.192559,4.46351,0.708053,8.5539,-0.00105473,-0.0171007,-0.0267956,-1.30238,9.57908,-2.19874,-0.114899,-0.042561,-0.146824,3.77784,3.58415,8.13175,-0.0594316,0.0466143,-0.00967686
0.008,-2.15512,-9.50698,-2.21452,-0.170047,-0.0251369,0.0299786,8.61177,0.177335,4.67734,-0.138387,-0.188924,-0.0162848,-1.06269,9.72934,-0.272678,-0.0219057,0.052502,-0.0590237,2.0526,-9.47402,-1.16282,-0.106959,-0.0246822,0.191823,4.45418,0.717735,8.5729,-0.0042493,-0.0172976,-0.0267757,-1.31641,9.5816,-2.20789,-0.117603,-0.043741,-0.144793,3.76202,3.57504,8.14828,-0.0599809,0.0467444,-0.0115346
0.009,-2.14646,-9.51808,-2.22203,-0.17029,-0.0226929,0.0286562,8.59967,0.157566,4.67097,-0.135433,-0.191533,-0.0177695,-1.04526,9.71472,-0.234315,-0.0279287,0.0509611,-0.06022,2.06378,-9.47986,-1.16432,-0.107599,-0.0248822,0.191169,4.44506,0.726165,8.58765,-0.00716355,-0.0175975,-0.0266321,-1.32598,9.58034,-2.21544,-0.119854,-0.0453116,-0.142638,3.74734,3.56941,8.16515,-0.0603034,0.0468088,-0.0132766
0.01,-2.1505,-9.52065,-2.22,-0.169305,-0.0231367,0.0283559,8.58746,0.180272,4.67594,-0.135883,-0.193867,-0.0170483,-1.03416,9.72654,-0.204494,-0.0324458,0.0468083,-0.0611012,2.06104,-9.47006,-1.17236,-0.107676,-0.0236695,0.191165,4.43769,0.724579,8.56828,-0.00783526,-0.018721,-0.025498,-1.29983,9.54887,-2.21018,-0.118475,-0.0500076,-0.139496,3.74179,3.59168,8.1848,-0.0588127,0.0463478,-0.0140926
0.011,-2.15453,-9.52321,-2.21796,-0.168319,-0.0235805,0.0280557,8.57525,0.202979,4.68092,-0.136334,-0.196201,-0.016327,-1.02306,9.73837,-0.174672,-0.0369628,0.0426555,-0.0619823,2.05831,-9.46026,-1.18039,-0.107752,-0.0224567,0.191161,4.43031,0.722994,8.54892,-0.00850696,-0.0198446,-0.0243638,-1.27368,9.5174,-2.20493,-0.117096,-0.0547035,-0.136353,3.73623,3.61395,8.20445,-0.0573219,0.0458869,-0.0149085
0.012,-2.15856,-9.52578,-2.21592,-0.167333,-0.0240242,0.0277555,8.56304,0.225685,4.68589,-0.136784,-0.198536,-0.0156058,-1.01196,9.7502,-0.144851,-0.0414798,0.0385026,-0.0628635,2.05557,-9.45046,-1.18842,-0.107829,-0.021244,0.191158,4.42293,0.721408,8.52956,-0.00917867,-0.0209681,-0.0232297,-1.24753,9.48593,-2.19967,-0.115717,-0.0593995,-0.13321,3.73067,3.63622,8.22411,-0.0558311,0.0454259,-0.0157244
0.013,-2.1626,-9.52834,-2.21388,-0.166348,-0.024468,0.0274552,8.55083,0.248392,4.69087,-0.137235,-0.20087,-0.0148846,-1.00085,9.76202,-0.11503,-0.0459968,0.0343498,-0.0637447,2.05283,-9.44067,-1.19646,-0.107906,-0.0200313,0.191154,4.41556,0.719823,8.5102,-0.00985038,-0.0220916,-0.0220956,-1.22138,9.45446,-2.19441,-0.114337,-0.0640955,-0.130067,3.72511,3.65848,8.24376,-0.0543404,0.0449649,-0.0165403
