Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0,8.57264,-1.81599,3.10092,-1.24063,-0.0772178,-0.380845,0.421883,-10.0307,-1.60101,-0.0460127,0.211153,0.570659,0.310655,9.91591,5.36533,2.32088,-5.76054,2.99534,10.7637,5.05912,7.47968,-4.00201,5.75867,-4.41608,-2.31828,8.35559,-3.02402,-0.815186,-2.74634,0.356088,4.43734,1.88025,8.96964,-0.232848,0.0911777,0.135276,-1.0514,-10.0203,-0.727692,-0.109353,0.514456,0.094042
0.001,8.56407,-1.81147,3.09341,-1.23695,-0.0793943,-0.384069,0.408419,-10.0247,-1.59344,-0.0439759,0.212737,0.57107,0.317185,9.92991,5.37763,2.31023,-5.74656,2.99565,10.7174,5.01652,7.46267,-3.98223,5.7442,-4.40541,-2.28694,8.34485,-3.00266,-0.813853,-2.75036,0.352069,4.43589,1.87158,8.96252,-0.232761,0.0917804,0.134987,-1.06609,-10.0127,-0.730851,-0.107929,0.513166,0.0964587
0.002,8.55603,-1.80694,3.08608,-1.23321,-0.0816955,-0.387454,0.394625,-10.019,-1.58597,-0.0418787,0.214343,0.571534,0.323183,9.94451,5.38998,2.29942,-5.73242,2.99618,10.67,4.97346,7.44561,-3.9621,5.72952,-4.39456,-2.25451,8.33423,-2.9808,-0.81248,-2.75477,0.347964,4.43454,1.86295,8.95579,-0.232692,0.0924005,0.134705,-1.08127,-10.0056,-0.733906,-0.106477,0.511844,0.0989483
0.003,8.54856,-1.8024,3.07898,-1.22939,-0.0841308,-0.391005,0.380537,-10.0136,-1.57867,-0.0397244,0.215955,0.572046,0.32843,9.95951,5.40214,2.28846,-5.71809,2.99692,10.6216,4.93016,7.42848,-3.94163,5.71458,-4.3835,-2.22096,8.32369,-2.95843,-0.811051,-2.75959,0.343784,4.43324,1.85441,8.94942,-0.232641,0.0930345,0.134431,-1.09688,-9.99914,-0.736782,-0.104999,0.510483,0.101504
0.004,8.54171,-1.79786,3.07215,-1.22549,-0.0867105,-0.394723,0.366194,-10.0084,-1.57161,-0.0375165,0.217558,0.572603,0.332707,9.97472,5.41388,2.27737,-5.70354,2.99784,10.5721,4.88682,7.41128,-3.92085,5.69936,-4.3722,-2.18628,8.31318,-2.93559,-0.809551,-2.7648,0.339539,4.43194,1.84602,8.94338,-0.232608,0.0936791,0.134167,-1.11289,-9.99321,-0.739399,-0.103502,0.509075,0.104118
0.005,8.5355,-1.7933,3.06565,-1.22151,-0.0894452,-0.39861,0.351629,-10.0034,-1.56484,-0.0352585,0.219138,0.573202,0.33582,9.98992,5.42499,2.26618,-5.68874,2.99893,10.5215,4.84362,7.39398,-3.89976,5.68381,-4.3606,-2.15045,8.30265,-2.91227,-0.807969,-2.77042,0.33524,4.4306,1.83783,8.93767,-0.232594,0.0943309,0.133915,-1.12925,-9.98783,-0.741685,-0.101989,0.507613,0.106785
0.006,8.52994,-1.78871,3.05949,-1.21742,-0.0923476,-0.402666,0.33686,-9.99841,-1.55838,-0.0329549,0.220682,0.573839,0.337649,10.0049,5.43531,2.25488,-5.67367,3.0002,10.4699,4.80072,7.37657,-3.87839,5.6679,-4.3487,-2.11353,8.29205,-2.8885,-0.806314,-2.77645,0.330896,4.42915,1.82985,8.93225,-0.232597,0.0949875,0.133675,-1.14591,-9.98298,-0.74357,-0.100464,0.506089,0.109498
0.007,8.52502,-1.78401,3.05366,-1.21323,-0.0954323,-0.406887,0.321894,-9.99349,-1.5522,-0.0306111,0.222175,0.574509,0.338145,10.0196,5.44475,2.24349,-5.65832,3.00162,10.4171,4.75828,7.35903,-3.85677,5.65161,-4.33648,-2.07562,8.2813,-2.86429,-0.804605,-2.78289,0.32652,4.42757,1.82209,8.92711,-0.232616,0.0956471,0.133449,-1.16284,-9.9786,-0.744994,-0.0989325,0.504494,0.11225
0.008,8.52072,-1.77915,3.04814,-1.20893,-0.0987145,-0.41127,0.306733,-9.98854,-1.54629,-0.0282328,0.223606,0.575207,0.337274,10.0337,5.45324,2.23204,-5.64267,3.00319,10.3634,4.71643,7.3413,-3.83492,5.63492,-4.32393,-2.03684,8.27033,-2.83966,-0.80287,-2.78972,0.322124,4.42582,1.81453,8.92224,-0.232648,0.096308,0.133237,-1.17996,-9.97461,-0.745897,-0.0973988,0.502819,0.115038
0.009,8.51702,-1.77407,3.04291,-1.20451,-0.10221,-0.415811,0.291379,-9.98351,-1.54061,-0.0258255,0.224962,0.575927,0.335009,10.0471,5.46071,2.22054,-5.62671,3.0049,10.3086,4.67529,7.32338,-3.81286,5.6178,-4.31103,-1.99733,8.25908,-2.81464,-0.801136,-2.79694,0.317721,4.42388,1.80716,8.91762,-0.23269,0.0969687,0.13304,-1.19725,-9.97096,-0.746218,-0.0958677,0.501055,0.117854
0.01,8.51392,-1.7687,3.03799,-1.19997,-0.105933,-0.420506,0.27584,-9.97839,-1.53513,-0.0233947,0.226232,0.576665,0.331358,10.0597,5.46712,2.20901,-5.61043,3.00674,10.2528,4.63496,7.30524,-3.79063,5.60024,-4.29778,-1.9572,8.24748,-2.78926,-0.79943,-2.80454,0.31332,4.42173,1.79997,8.91325,-0.232742,0.0976289,0.132858,-1.21465,-9.96759,-0.745915,-0.0943444,0.49919,0.120694
0.011,8.51142,-1.76299,3.03341,-1.1953,-0.109899,-0.425347,0.260138,-9.97317,-1.52982,-0.0209455,0.227406,0.577415,0.326405,10.0713,5.47257,2.19745,-5.59385,3.0087,10.1962,4.59546,7.2869,-3.76825,5.58222,-4.28419,-1.91657,8.23554,-2.76363,-0.797781,-2.81249,0.308932,4.41941,1.79299,8.9091,-0.232802,0.0982901,0.132693,-1.23212,-9.96445,-0.744969,-0.0928342,0.497216,0.123553
0.012,8.50957,-1.75686,3.02922,-1.1905,-0.114121,-0.430328,0.244299,-9.9679,-1.52463,-0.0184833,0.228476,0.578169,0.320265,10.0817,5.47716,2.18591,-5.57696,3.01077,10.1389,4.55678,7.2684,-3.74576,5.56373,-4.27026,-1.87559,8.22324,-2.73787,-0.796221,-2.82076,0.304564,4.41697,1.78623,8.90518,-0.232871,0.098955,0.132546,-1.24963,-9.96151,-0.743377,-0.0913428,0.495119,0.126426
