Time,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.01,9.57903,1.48438,2.10357,-0.0172825,-0.0371549,0.00786904,-1.05762,-9.83312,-0.917007,-0.049764,0.0326493,0.0125751,-1.80544,9.58942,-0.782899,0.00753304,0.00653099,-0.0135312,5.01867,-1.17237,8.29241,-0.0183828,0.00403256,-0.00285539,-1.12873,9.80378,-1.1439,-0.0232802,0.0361202,0.00995699,4.53317,1.58696,8.86531,-0.0173832,-0.00163654,0.0117357,-2.70268,-9.72142,0.201405,-0.0298687,0.00359657,-0.0122028
0.011,9.57208,1.48522,2.10109,-0.0172836,-0.0369736,0.00787508,-1.05931,-9.82908,-0.918461,-0.0496457,0.0326807,0.0127479,-1.80327,9.58454,-0.779243,0.00735434,0.00667627,-0.0134742,5.01846,-1.17041,8.28762,-0.0181523,0.00424818,-0.00278811,-1.12913,9.7994,-1.14361,-0.0232735,0.035849,0.00981133,4.53121,1.5871,8.86038,-0.0173321,-0.00166853,0.0117024,-2.70154,-9.71526,0.20179,-0.0296954,0.00354402,-0.0123052
0.012,9.56543,1.48615,2.0988,-0.0172822,-0.0367851,0.00788108,-1.06092,-9.82524,-0.919893,-0.0495371,0.0327156,0.0129135,-1.8011,9.57997,-0.775798,0.00718869,0.00683345,-0.0134199,5.01822,-1.16868,8.28315,-0.0179377,0.00446584,-0.00272253,-1.12972,9.79519,-1.14336,-0.0232595,0.0356007,0.00967677,4.52947,1.58726,8.85578,-0.0172742,-0.00169602,0.0116672,-2.70055,-9.70931,0.20227,-0.0295329,0.00349961,-0.0124095
0.013,9.55913,1.48719,2.09671,-0.0172736,-0.0365859,0.0078866,-1.06245,-9.82156,-0.921308,-0.0494383,0.032755,0.0130683,-1.79891,9.57567,-0.772552,0.00702913,0.00700264,-0.0133676,5.01793,-1.16717,8.27899,-0.0177374,0.00468397,-0.00265912,-1.13048,9.7912,-1.14317,-0.0232402,0.035375,0.00954806,4.52796,1.58744,8.85152,-0.0172089,-0.00171994,0.0116291,-2.69974,-9.70359,0.202894,-0.0293748,0.00346204,-0.0125174
0.014,9.55321,1.48833,2.09486,-0.0172542,-0.0363736,0.00789161,-1.0639,-9.81803,-0.922705,-0.0493493,0.0327992,0.0132097,-1.7967,9.57161,-0.769498,0.00686987,0.00718369,-0.0133168,5.01757,-1.16584,8.27514,-0.0175499,0.00490073,-0.00259808,-1.1314,9.78745,-1.14304,-0.0232167,0.0351714,0.00942064,4.52667,1.58764,8.84762,-0.0171359,-0.00174112,0.0115874,-2.69912,-9.69809,0.203693,-0.0292161,0.00342918,-0.0126302
0.015,9.54763,1.48955,2.09326,-0.017223,-0.0361483,0.00789704,-1.06524,-9.81463,-0.924071,-0.0492697,0.0328481,0.0133373,-1.7945,9.56776,-0.76663,0.00670794,0.00737577,-0.0132671,5.01711,-1.16466,8.27155,-0.0173742,0.0051136,-0.00253894,-1.13242,9.78391,-1.14297,-0.0231877,0.0349895,0.00929162,4.5256,1.58787,8.84407,-0.0170556,-0.00176017,0.0115418,-2.6987,-9.69284,0.204661,-0.0290544,0.00339688,-0.0127482
0.016,9.54231,1.49083,2.09194,-0.0171806,-0.0359118,0.00790459,-1.06648,-9.81134,-0.925379,-0.0491986,0.0329002,0.0134525,-1.79234,9.56411,-0.763949,0.00654263,0.0075775,-0.0132183,5.01655,-1.1636,8.26819,-0.0172098,0.00531949,-0.00248071,-1.13352,9.78058,-1.14294,-0.0231502,0.0348291,0.00915942,4.52473,1.58815,8.84085,-0.0169687,-0.00177749,0.0114922,-2.69846,-9.68786,0.20576,-0.0288898,0.00335933,-0.0128703
0.017,9.53719,1.49213,2.09094,-0.0171286,-0.0356667,0.00791617,-1.0676,-9.80815,-0.926602,-0.049135,0.0329543,0.0135571,-1.79026,9.56065,-0.761457,0.00637379,0.00778739,-0.0131702,5.01587,-1.16262,8.26501,-0.017056,0.00551519,-0.00242223,-1.13465,9.77741,-1.14294,-0.0231009,0.03469,0.00902279,4.52405,1.5885,8.83794,-0.0168762,-0.00179344,0.0114386,-2.69839,-9.68316,0.206945,-0.0287231,0.00331029,-0.0129954
0.018,9.53218,1.4934,2.09027,-0.017068,-0.0354153,0.00793345,-1.0686,-9.80505,-0.927713,-0.0490781,0.0330089,0.0136531,-1.78827,9.55736,-0.759152,0.00620117,0.00800401,-0.0131223,5.01508,-1.16168,8.26198,-0.0169127,0.00569773,-0.00236241,-1.13576,9.77437,-1.14295,-0.0230365,0.0345717,0.00888055,4.52355,1.58893,8.83533,-0.0167792,-0.00180841,0.0113811,-2.69846,-9.67877,0.20817,-0.0285551,0.00324384,-0.0131225
0.019,9.52722,1.49459,2.08991,-0.0169991,-0.0351585,0.00795682,-1.06947,-9.80204,-0.928693,-0.0490278,0.0330625,0.013742,-1.7864,9.55424,-0.757028,0.00602412,0.00822637,-0.0130741,5.01417,-1.16076,8.25907,-0.01678,0.00586576,-0.00230021,-1.13684,9.77141,-1.14298,-0.0229564,0.0344736,0.00873205,4.52319,1.58945,8.83298,-0.0166794,-0.00182279,0.0113197,-2.69867,-9.67468,0.209399,-0.0283876,0.00315596,-0.0132502
0.02,9.52226,1.49564,2.08981,-0.0169209,-0.0348958,0.00798478,-1.07023,-9.7991,-0.929538,-0.048985,0.0331135,0.0138253,-1.78461,9.55128,-0.755069,0.00584132,0.00845404,-0.0130244,5.0132,-1.15987,8.25624,-0.0166594,0.00602021,-0.00223476,-1.13786,9.7685,-1.14305,-0.022863,0.0343945,0.00857738,4.52296,1.59,8.8309,-0.016579,-0.00183701,0.0112548,-2.699,-9.67085,0.210603,-0.0282238,0.00304539,-0.0133766
0.021,9.51728,1.4965,2.08988,-0.0168319,-0.0346259,0.00801503,-1.0709,-9.79625,-0.930245,-0.0489512,0.0331602,0.0139045,-1.78286,9.54847,-0.753251,0.0056512,0.00868686,-0.0129717,5.01223,-1.15902,8.25349,-0.0165528,0.00616305,-0.00216525,-1.13883,9.76558,-1.14318,-0.02276,0.0343327,0.00841692,4.52283,1.59054,8.82905,-0.016481,-0.00185154,0.0111869,-2.69946,-9.66726,0.211757,-0.0280678,0.00291203,-0.0135001
0.022,9.51224,1.49707,2.09002,-0.0167304,-0.0343472,0.00804525,-1.07151,-9.79347,-0.930814,-0.0489279,0.0332008,0.0139808,-1.7811,9.54582,-0.751553,0.00545214,0.00892466,-0.0129145,5.01131,-1.15823,8.2508,-0.016462,0.00629618,-0.00209085,-1.13975,9.76262,-1.14341,-0.0226513,0.0342867,0.00825107,4.52277,1.59102,8.82742,-0.0163882,-0.00186685,0.0111162,-2.70004,-9.66386,0.212836,-0.0279235,0.00275573,-0.0136187
0.023,9.50712,1.49733,2.09016,-0.0166153,-0.0340591,0.00807394,-1.07209,-9.79078,-0.93125,-0.0489162,0.0332345,0.0140554,-1.7793,9.54332,-0.749951,0.0052437,0.00916715,-0.0128512,5.01048,-1.15749,8.24816,-0.0163879,0.00642142,-0.00201129,-1.1406,9.75958,-1.14376,-0.0225404,0.0342554,0.00808086,4.52274,1.59139,8.82599,-0.0163026,-0.00188313,0.0110434,-2.70074,-9.66061,0.213818,-0.0277936,0.00257706,-0.0137314
0.024,9.50195,1.4973,2.09029,-0.0164868,-0.033762,0.0081014,-1.07268,-9.78817,-0.931572,-0.0489166,0.0332615,0.0141281,-1.77747,9.54095,-0.748414,0.00502801,0.00941369,-0.0127798,5.00975,-1.15681,8.2456,-0.0163286,0.00654031,-0.00192753,-1.14141,9.75649,-1.14419,-0.0224295,0.0342379,0.00790883,4.52272,1.59162,8.82473,-0.0162254,-0.0019,0.0109692,-2.70158,-9.6575,0.214682,-0.0276786,0.00237827,-0.0138395
