Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0,-4.99876,9.43683,2.5305,0.342905,2.08864,-0.374236,-2.14095,-9.28305,0.2139,-0.0472797,-2.72497,-0.316856,-1.31864,10.0429,1.49262,0.668998,0.834577,0.452571,3.11813,-6.95803,-5.7851,-0.610538,-4.73046,-0.0665082,5.61131,-0.630643,8.02715,0.140393,0.101614,-0.0216494,4.85055,5.94041,6.45998,2.94891,2.6791,5.93433,8.89496,2.6836,3.37744,2.38904,0.446803,1.51867
0.001,-4.91399,9.38606,2.58736,0.346402,2.06313,-0.371505,-2.30141,-9.33,0.24179,-0.0461638,-2.74987,-0.309182,-1.28824,10.0503,1.46991,0.669815,0.811248,0.456769,2.92787,-6.98511,-5.73968,-0.597011,-4.81552,-0.0953443,5.6269,-0.601852,8.03158,0.127744,0.0933183,-0.0116324,4.21584,5.41408,6.31127,2.97898,2.71147,5.92553,8.86701,2.72898,3.35288,2.37017,0.443041,1.50602
0.002,-4.82922,9.33529,2.64421,0.349899,2.03761,-0.368775,-2.46187,-9.37694,0.269679,-0.0450479,-2.77478,-0.301508,-1.25784,10.0577,1.44721,0.670632,0.787919,0.460968,2.73761,-7.01218,-5.69426,-0.583484,-4.90058,-0.12418,5.64248,-0.573061,8.03601,0.115096,0.0850228,-0.00161539,3.58113,4.88775,6.16257,3.00906,2.74385,5.91673,8.83906,2.77437,3.32833,2.35129,0.439278,1.49338
0.003,-4.74444,9.28452,2.70106,0.353396,2.0121,-0.366044,-2.62233,-9.42389,0.297568,-0.0439319,-2.79968,-0.293834,-1.22745,10.0651,1.4245,0.671448,0.764591,0.465167,2.54736,-7.03926,-5.64884,-0.569956,-4.98564,-0.153017,5.65807,-0.544269,8.04044,0.102448,0.0767273,0.00840161,2.94643,4.36142,6.01386,3.03914,2.77622,5.90793,8.81112,2.81975,3.30377,2.33242,0.435516,1.48073
0.004,-4.65967,9.23376,2.75792,0.356892,1.98659,-0.363314,-2.78279,-9.47084,0.325457,-0.042816,-2.82459,-0.28616,-1.19705,10.0725,1.40179,0.672265,0.741262,0.469365,2.3571,-7.06633,-5.60342,-0.556429,-5.0707,-0.181853,5.67365,-0.515478,8.04487,0.0897997,0.0684318,0.0184186,2.31172,3.83509,5.86515,3.06922,2.80859,5.89913,8.78317,2.86514,3.27922,2.31354,0.431754,1.46809
0.005,-4.58541,9.20307,2.78083,0.359193,1.96529,-0.361523,-2.95295,-9.51455,0.327901,-0.0340146,-2.85167,-0.281206,-1.1757,10.086,1.39821,0.673807,0.716936,0.474318,2.16753,-7.0445,-5.62714,-0.546525,-5.14919,-0.210418,5.6761,-0.512116,8.04345,0.0770801,0.0600968,0.0271121,1.85399,3.6574,5.89133,3.11637,2.78523,5.9135,8.74791,2.90976,3.2737,2.29765,0.431505,1.45335
0.006,-4.51956,9.18846,2.77659,0.360536,1.94734,-0.360485,-3.13086,-9.55569,0.309988,-0.0190648,-2.8805,-0.278427,-1.16158,10.1044,1.40992,0.675929,0.691813,0.479874,1.97851,-6.98355,-5.70616,-0.539521,-5.22243,-0.238768,5.66803,-0.529097,8.03734,0.0643035,0.0517302,0.0347469,1.53784,3.75862,6.05743,3.17719,2.71729,5.9464,8.70681,2.95377,3.28342,2.28416,0.434066,1.43693
0.007,-4.45371,9.17384,2.77235,0.361879,1.9294,-0.359447,-3.30878,-9.59682,0.292075,-0.00411493,-2.90933,-0.275648,-1.14746,10.1228,1.42164,0.678052,0.666689,0.485431,1.78949,-6.9226,-5.78518,-0.532517,-5.29567,-0.267117,5.65996,-0.546079,8.03124,0.0515268,0.0433635,0.0423816,1.2217,3.85984,6.22352,3.23801,2.64934,5.97931,8.6657,2.99778,3.29313,2.27066,0.436628,1.42052
0.008,-4.38786,9.15922,2.76812,0.363222,1.91146,-0.358408,-3.48669,-9.63796,0.274162,0.0108349,-2.93815,-0.272869,-1.13334,10.1412,1.43336,0.680174,0.641566,0.490987,1.60047,-6.86165,-5.86421,-0.525513,-5.36891,-0.295466,5.65189,-0.56306,8.02514,0.0387502,0.0349969,0.0500163,0.90555,3.96107,6.38962,3.29883,2.5814,6.01221,8.62459,3.04179,3.30285,2.25717,0.43919,1.4041
0.009,-4.32296,9.14373,2.76494,0.364447,1.89388,-0.356904,-3.66167,-9.67296,0.248531,0.0257693,-2.96671,-0.27042,-1.1189,10.1563,1.44551,0.682194,0.616847,0.496507,1.41105,-6.80305,-5.94801,-0.51993,-5.44107,-0.324376,5.64322,-0.576646,8.01862,0.0258539,0.0270309,0.0578182,0.643101,4.07612,6.54605,3.36638,2.51166,6.05063,8.57884,3.08943,3.30579,2.24436,0.441271,1.38761
