Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.011,-4.22075,8.65746,-1.78916,-0.125918,-0.262397,-0.164212,3.46493,-9.37022,-2.23115,-0.137707,0.593594,0.20742,0.550827,9.38497,-2.6734,-0.0854987,0.0375152,-0.095795,3.88197,-8.73485,-2.96576,-0.197807,0.379465,0.172117,5.10627,-1.74502,8.10402,-0.0536705,-0.0258396,0.0865873,3.71353,1.60271,9.2051,0.105283,0.158019,-0.0556132,8.96708,-0.203724,3.61228,-0.256718,-0.0969804,0.176637
0.012,-4.22876,8.64841,-1.81052,-0.132763,-0.269014,-0.161268,3.52096,-9.42049,-2.09166,-0.126588,0.60451,0.203079,0.5613,9.36095,-2.71423,-0.0860148,0.0408205,-0.0977069,3.86918,-8.73346,-3.04375,-0.196103,0.374571,0.177642,5.08255,-1.76334,8.1012,-0.05085,-0.0237443,0.0856463,3.68586,1.63777,9.23651,0.104435,0.158761,-0.0443952,8.97079,-0.197451,3.6085,-0.254224,-0.0965169,0.174056
0.013,-4.23677,8.63935,-1.83187,-0.139608,-0.275631,-0.158323,3.57699,-9.47076,-1.95216,-0.115469,0.615425,0.198739,0.571774,9.33693,-2.75506,-0.0865309,0.0441258,-0.0996187,3.8564,-8.73207,-3.12174,-0.194398,0.369678,0.183167,5.05884,-1.78166,8.09838,-0.0480295,-0.0216489,0.0847054,3.65818,1.67282,9.26792,0.103588,0.159503,-0.0331772,8.97451,-0.191178,3.60473,-0.251731,-0.0960535,0.171475
0.014,-4.23254,8.62826,-1.85763,-0.146679,-0.280303,-0.153898,3.59392,-9.49339,-1.82556,-0.107937,0.612339,0.194383,0.578809,9.33492,-2.75021,-0.0871629,0.0475696,-0.100162,3.85864,-8.73423,-3.14983,-0.193873,0.361948,0.186885,5.05162,-1.77298,8.10715,-0.0458307,-0.0201412,0.0823255,3.63404,1.70739,9.28246,0.102282,0.159099,-0.0214907,8.97346,-0.187839,3.60636,-0.251088,-0.0963114,0.16867
0.015,-4.22219,8.61615,-1.88559,-0.153862,-0.284003,-0.148733,3.59129,-9.5022,-1.70542,-0.102199,0.602252,0.19002,0.584125,9.34392,-2.72253,-0.087853,0.0510826,-0.10002,3.86838,-8.73815,-3.15295,-0.193937,0.3528,0.189699,5.05265,-1.7508,8.12171,-0.0439426,-0.0189273,0.0792262,3.61166,1.74171,9.28856,0.100748,0.158123,-0.00956991,8.97002,-0.185967,3.6107,-0.251371,-0.0969301,0.165754
0.016,-4.21184,8.60404,-1.91354,-0.161046,-0.287702,-0.143568,3.58866,-9.51101,-1.58528,-0.0964608,0.592164,0.185657,0.589441,9.35291,-2.69484,-0.088543,0.0545956,-0.0998783,3.87813,-8.74208,-3.15608,-0.194002,0.343652,0.192514,5.05367,-1.72862,8.13627,-0.0420545,-0.0177133,0.0761269,3.58928,1.77602,9.29466,0.0992132,0.157146,0.00235088,8.96659,-0.184095,3.61503,-0.251654,-0.0975488,0.162837
0.017,-4.20149,8.59194,-1.9415,-0.16823,-0.291402,-0.138403,3.58603,-9.51982,-1.46513,-0.0907224,0.582077,0.181293,0.594757,9.36191,-2.66716,-0.089233,0.0581086,-0.0997366,3.88788,-8.746,-3.1592,-0.194066,0.334504,0.195328,5.0547,-1.70644,8.15084,-0.0401664,-0.0164994,0.0730275,3.5669,1.81034,9.30076,0.0976788,0.15617,0.0142717,8.96315,-0.182223,3.61937,-0.251938,-0.0981676,0.159921
0.018,-4.19812,8.58166,-1.96691,-0.175281,-0.294958,-0.133599,3.58057,-9.52973,-1.36018,-0.0853043,0.569264,0.175952,0.603663,9.36858,-2.65098,-0.0898771,0.0606252,-0.0991632,3.89346,-8.7487,-3.16159,-0.19417,0.324718,0.197449,5.05355,-1.6863,8.15899,-0.0381057,-0.0156747,0.0701826,3.54529,1.83932,9.30571,0.0964937,0.154906,0.0258902,8.95791,-0.176143,3.62589,-0.252776,-0.0990512,0.157325
0.019,-4.21921,8.57777,-1.98342,-0.181866,-0.298007,-0.130057,3.56525,-9.54353,-1.30841,-0.0810072,0.546911,0.167185,0.625138,9.36713,-2.67505,-0.0903603,0.0596543,-0.0970786,3.88447,-8.74711,-3.16141,-0.194409,0.312697,0.197146,5.04479,-1.6733,8.14473,-0.035441,-0.0162125,0.0682279,3.52637,1.84961,9.30659,0.0965315,0.152639,0.0364506,8.94636,-0.155335,3.64002,-0.255557,-0.100862,0.15585
0.02,-4.24029,8.57388,-1.99992,-0.188451,-0.301057,-0.126515,3.54992,-9.55733,-1.25664,-0.07671,0.524557,0.158418,0.646612,9.36568,-2.69912,-0.0908436,0.0586835,-0.0949939,3.87547,-8.74552,-3.16122,-0.194649,0.300676,0.196843,5.03603,-1.6603,8.13047,-0.0327763,-0.0167504,0.0662732,3.50745,1.85989,9.30747,0.0965693,0.150372,0.047011,8.93481,-0.134527,3.65416,-0.258338,-0.102673,0.154375
0.021,-4.26138,8.56998,-2.01643,-0.195037,-0.304107,-0.122973,3.5346,-9.57112,-1.20487,-0.0724128,0.502204,0.149651,0.668086,9.36422,-2.72319,-0.0913268,0.0577127,-0.0929092,3.86648,-8.74393,-3.16104,-0.194888,0.288654,0.196539,5.02727,-1.6473,8.1162,-0.0301116,-0.0172882,0.0643185,3.48853,1.87018,9.30835,0.0966071,0.148104,0.0575714,8.92325,-0.113719,3.66829,-0.261119,-0.104484,0.1529
