Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.013,-0.586234,9.84257,-0.862627,-0.0475238,0.00276199,-0.0295976,0.164538,9.5759,-0.813887,-0.024,0.0130751,0.00193003,0.553845,-9.85789,-1.15273,-0.0554858,0.0332391,0.00274331,3.97759,-0.0511006,8.81731,-0.01568,0.00843676,0.00121843,3.89927,1.16658,9.21385,-0.0195976,0.00843368,0.0155213,8.26098,-0.674176,5.31937,0.00718303,-0.0208709,0.013353
0.014,-0.592857,9.84449,-0.856824,-0.0467458,0.00218642,-0.0262032,0.183919,9.56897,-0.815844,-0.0230544,0.0137092,0.00168408,0.528352,-9.86436,-1.15171,-0.0557258,0.0338358,0.00354823,3.98084,-0.045865,8.81872,-0.0149843,0.00861024,0.00139994,3.88729,1.16506,9.20535,-0.0188045,0.00830875,0.0150363,8.26182,-0.671135,5.29979,0.00883021,-0.0202024,0.0132762
0.015,-0.606086,9.84514,-0.838423,-0.0468228,0.0011733,-0.0220751,0.205978,9.5723,-0.81323,-0.0211419,0.0142825,0.000443209,0.507018,-9.8631,-1.15352,-0.056183,0.0339004,0.00536777,3.98336,-0.0394942,8.82561,-0.0144633,0.00933893,0.00153068,3.87229,1.15603,9.20076,-0.0181677,0.00774327,0.0145512,8.2629,-0.66675,5.27118,0.0109102,-0.0193462,0.0128438
0.016,-0.619314,9.84579,-0.820022,-0.0468999,0.000160181,-0.017947,0.228037,9.57563,-0.810615,-0.0192294,0.0148559,-0.000797657,0.485684,-9.86183,-1.15533,-0.0566402,0.0339651,0.0071873,3.98587,-0.0331235,8.83249,-0.0139424,0.0100676,0.00166142,3.8573,1.147,9.19616,-0.0175309,0.0071778,0.0140661,8.26398,-0.662366,5.24257,0.0129902,-0.01849,0.0124114
0.017,-0.632543,9.84645,-0.801621,-0.046977,-0.000852938,-0.013819,0.250096,9.57897,-0.808,-0.0173169,0.0154292,-0.00203852,0.464349,-9.86056,-1.15713,-0.0570974,0.0340297,0.00900684,3.98839,-0.0267527,8.83938,-0.0134214,0.0107963,0.00179216,3.84231,1.13797,9.19157,-0.0168941,0.00661232,0.013581,8.26506,-0.657981,5.21396,0.0150702,-0.0176337,0.0119791
0.018,-0.648146,9.84897,-0.787547,-0.0460992,-0.00197483,-0.0102265,0.264397,9.57736,-0.805142,-0.015768,0.015546,-0.00324856,0.452351,-9.85556,-1.15478,-0.0581902,0.0339751,0.0104859,3.99088,-0.0253939,8.84751,-0.0130043,0.0114759,0.00165351,3.83052,1.13213,9.18746,-0.0165508,0.00626004,0.013096,8.27131,-0.656098,5.1928,0.0165608,-0.0170438,0.0118445
0.019,-0.67206,9.85802,-0.78862,-0.0418796,-0.0034774,-0.0085088,0.251547,9.55846,-0.801429,-0.0154916,0.0140649,-0.00435071,0.473028,-9.83746,-1.13785,-0.0615075,0.033503,0.0107732,3.9933,-0.0415768,8.85997,-0.0129512,0.0119839,0.000572014,3.82993,1.13746,9.18504,-0.0172349,0.00665395,0.0126109,8.29563,-0.662972,5.19773,0.0159883,-0.0173859,0.012752
0.02,-0.695973,9.86707,-0.789692,-0.0376599,-0.00497998,-0.0067911,0.238697,9.53956,-0.797716,-0.0152152,0.0125838,-0.00545287,0.493706,-9.81936,-1.12093,-0.0648248,0.0330309,0.0110605,3.99571,-0.0577597,8.87243,-0.0128981,0.0124918,-0.000509484,3.82934,1.14279,9.18263,-0.017919,0.00704785,0.0121258,8.31996,-0.669846,5.20266,0.0154159,-0.017728,0.0136595
0.021,-0.719886,9.87613,-0.790764,-0.0334403,-0.00648255,-0.00507339,0.225848,9.52066,-0.794003,-0.0149388,0.0111026,-0.00655502,0.514383,-9.80126,-1.10401,-0.0681422,0.0325589,0.0113479,3.99813,-0.0739426,8.88489,-0.0128449,0.0129997,-0.00159098,3.82876,1.14812,9.18021,-0.0186031,0.00744175,0.0116407,8.34428,-0.67672,5.20758,0.0148434,-0.0180701,0.0145671
0.022,-0.7438,9.88518,-0.791836,-0.0292206,-0.00798513,-0.00335569,0.212998,9.50176,-0.790291,-0.0146625,0.00962153,-0.00765717,0.53506,-9.78316,-1.08709,-0.0714595,0.0320868,0.0116352,4.00055,-0.0901254,8.89735,-0.0127918,0.0135076,-0.00267248,3.82817,1.15345,9.1778,-0.0192872,0.00783565,0.0111557,8.36861,-0.683594,5.21251,0.0142709,-0.0184121,0.0154746
0.023,-0.742723,9.88426,-0.777748,-0.0247088,-0.00702679,0.000201292,0.218685,9.50383,-0.791579,-0.0142824,0.0102034,-0.00763634,0.550765,-9.76723,-1.11403,-0.0709353,0.0312332,0.0113303,3.97462,-0.101454,8.87658,-0.0124818,0.013958,-0.00165741,3.83543,1.13407,9.19409,-0.0203476,0.00756615,0.0126703,8.35488,-0.673895,5.22034,0.0143558,-0.0180064,0.0150134
0.024,-0.734506,9.88048,-0.759328,-0.0201136,-0.00536533,0.00428378,0.229668,9.51188,-0.794297,-0.0138726,0.0113748,-0.00729467,0.565049,-9.75192,-1.15351,-0.0693135,0.0302706,0.0108562,3.9406,-0.111396,8.84632,-0.0120983,0.014392,-4.33E-05,3.84492,1.10763,9.21571,-0.0215155,0.00710711,0.0147563,8.33028,-0.65946,5.229,0.0146286,-0.0173871,0.0141611
0.025,-0.726289,9.8767,-0.740909,-0.0155183,-0.00370388,0.00836628,0.240651,9.51993,-0.797014,-0.0134629,0.0125461,-0.00695299,0.579333,-9.73661,-1.19299,-0.0676918,0.029308,0.010382,3.90657,-0.121338,8.81606,-0.0117149,0.0148259,0.00157077,3.85442,1.08119,9.23734,-0.0226835,0.00664807,0.0168423,8.30567,-0.645026,5.23767,0.0149013,-0.0167677,0.0133087
0.026,-0.718072,9.87292,-0.72249,-0.0109231,-0.00204242,0.0124488,0.251634,9.52799,-0.799731,-0.0130532,0.0137175,-0.00661132,0.593617,-9.7213,-1.23246,-0.06607,0.0283454,0.0099079,3.87254,-0.13128,8.78581,-0.0113314,0.0152599,0.00318486,3.86391,1.05474,9.25897,-0.0238514,0.00618903,0.0189283,8.28107,-0.630591,5.24633,0.0151741,-0.0161484,0.0124564
0.027,-0.718672,9.86491,-0.711909,-0.00693261,-0.000850503,0.0161274,0.257364,9.5314,-0.798,-0.0127929,0.0147689,-0.00722389,0.606294,-9.70148,-1.24236,-0.0648252,0.0285792,0.00942881,3.84903,-0.12931,8.77398,-0.0109143,0.0146742,0.0038376,3.87117,1.04353,9.27164,-0.0242984,0.00617563,0.0206731,8.2675,-0.61846,5.24926,0.0155343,-0.0152778,0.0119273
0.028,-0.736907,9.84843,-0.717004,-0.00415161,-0.00059766,0.0189984,0.252588,9.52554,-0.787372,-0.0128317,0.0155804,-0.00974497,0.615758,-9.67263,-1.1931,-0.0643345,0.0312058,0.0089398,3.84653,-0.103516,8.79899,-0.0104298,0.0120493,0.00256761,3.87396,1.06277,9.26642,-0.0233035,0.00705351,0.0217356,8.276,-0.610934,5.24072,0.0160694,-0.0139046,0.0120445
0.029,-0.755142,9.83195,-0.7221,-0.00137062,-0.000344817,0.0218694,0.247812,9.51968,-0.776744,-0.0128704,0.0163919,-0.0122661,0.625222,-9.64378,-1.14383,-0.0638437,0.0338324,0.00845079,3.84403,-0.0777216,8.82401,-0.00994536,0.00942443,0.00129763,3.87674,1.08202,9.2612,-0.0223086,0.00793139,0.022798,8.2845,-0.603408,5.23218,0.0166045,-0.0125315,0.0121617
0.03,-0.773377,9.81546,-0.727195,0.00141038,-9.20E-05,0.0247404,0.243036,9.51382,-0.766116,-0.0129092,0.0172033,-0.0147871,0.634686,-9.61493,-1.09456,-0.0633529,0.0364591,0.00796178,3.84153,-0.0519272,8.84903,-0.00946088,0.00679953,2.76E-05,3.87952,1.10126,9.25598,-0.0213138,0.00880927,0.0238604,8.293,-0.595882,5.22365,0.0171395,-0.0111584,0.0122789
0.031,-0.791612,9.79898,-0.732291,0.00419138,0.000160868,0.0276114,0.23826,9.50796,-0.755488,-0.0129479,0.0180148,-0.0173082,0.64415,-9.58607,-1.0453,-0.0628621,0.0390857,0.00747278,3.83903,-0.0261328,8.87405,-0.0089764,0.00417463,-0.00124233,3.88231,1.1205,9.25076,-0.0203189,0.00968716,0.0249228,8.3015,-0.588357,5.21512,0.0176746,-0.00978527,0.0123961
0.032,-0.810479,9.81341,-0.731535,0.00878135,-2.62E-05,0.0297276,0.240126,9.51297,-0.772877,-0.0129135,0.0178153,-0.0169802,0.617303,-9.61258,-1.05678,-0.0621958,0.0387007,0.00657809,3.84081,-0.049141,8.87741,-0.0105927,0.00559526,-0.00192082,3.87464,1.127,9.25172,-0.0190958,0.0105007,0.022792,8.29168,-0.580376,5.23986,0.0167277,-0.00923007,0.0132037
0.033,-0.829425,9.83169,-0.730049,0.0135974,-0.000268345,0.0317495,0.242823,9.51934,-0.793769,-0.0128699,0.0174893,-0.0162961,0.585917,-9.646,-1.07585,-0.0615074,0.0379392,0.00563269,3.84312,-0.0782495,8.87806,-0.0124717,0.00752159,-0.00252537,3.86566,1.1319,9.25346,-0.0178442,0.0113062,0.020262,8.27957,-0.572338,5.26877,0.0155955,-0.00877711,0.0140975
0.034,-0.848371,9.84998,-0.728562,0.0184135,-0.000510449,0.0337713,0.245519,9.52572,-0.814661,-0.0128263,0.0171633,-0.015612,0.55453,-9.67941,-1.09492,-0.0608191,0.0371777,0.0046873,3.84543,-0.107358,8.87872,-0.0143506,0.00944791,-0.00312993,3.85668,1.1368,9.25519,-0.0165926,0.0121117,0.0177321,8.26747,-0.5643,5.29768,0.0144634,-0.00832414,0.0149914
0.035,-0.867316,9.86827,-0.727075,0.0232296,-0.000752553,0.0357932,0.248216,9.53209,-0.835553,-0.0127827,0.0168374,-0.0149279,0.523144,-9.71283,-1.114,-0.0601308,0.0364162,0.0037419,3.84774,-0.136467,8.87937,-0.0162295,0.0113742,-0.00373448,3.8477,1.14171,9.25693,-0.0153409,0.0129171,0.0152021,8.25536,-0.556262,5.32659,0.0133312,-0.00787118,0.0158853
0.036,-0.875488,9.88317,-0.719469,0.0281826,-0.00135388,0.0382263,0.248667,9.54623,-0.836597,-0.0124561,0.0160251,-0.014447,0.519534,-9.73783,-1.12122,-0.0602803,0.0349738,0.00331417,3.84951,-0.143686,8.87546,-0.0178178,0.0115379,-0.00400061,3.82837,1.15144,9.25282,-0.0149327,0.0124948,0.0136802,8.24613,-0.554104,5.34433,0.012972,-0.00797163,0.0163555
0.037,-0.870192,9.89386,-0.704212,0.0333068,-0.00240425,0.0411734,0.24631,9.57007,-0.81283,-0.0117757,0.0146051,-0.0142202,0.550643,-9.75229,-1.11362,-0.0614772,0.0326803,0.00353351,3.8506,-0.123545,8.86585,-0.0190428,0.00949831,-0.00384372,3.79611,1.16723,9.24139,-0.0155786,0.0105378,0.0134184,8.2405,-0.559297,5.34813,0.0135792,-0.00876386,0.0162963
0.038,-0.864895,9.90454,-0.688956,0.0384311,-0.00345462,0.0441206,0.243953,9.59391,-0.789064,-0.0110953,0.013185,-0.0139934,0.581753,-9.76676,-1.10602,-0.062674,0.0303867,0.00375285,3.85169,-0.103404,8.85624,-0.0202678,0.0074587,-0.00368682,3.76385,1.18301,9.22997,-0.0162245,0.00858068,0.0131565,8.23488,-0.56449,5.35192,0.0141863,-0.00955608,0.0162371
0.039,-0.859599,9.91521,-0.673699,0.0435553,-0.00450499,0.0470678,0.241595,9.61775,-0.765297,-0.0104149,0.0117649,-0.0137666,0.612862,-9.78122,-1.09843,-0.0638709,0.0280932,0.0039722,3.85278,-0.0832632,8.84663,-0.0214928,0.00541909,-0.00352993,3.73159,1.1988,9.21855,-0.0168705,0.0066236,0.0128947,8.22925,-0.569684,5.35572,0.0147934,-0.0103483,0.0161778
0.04,-0.854302,9.92589,-0.658443,0.0486795,-0.00555536,0.0500149,0.239238,9.64159,-0.74153,-0.00973453,0.0103448,-0.0135398,0.643972,-9.79569,-1.09083,-0.0650677,0.0257996,0.00419154,3.85386,-0.0631222,8.83702,-0.0227179,0.00337948,-0.00337304,3.69933,1.21458,9.20712,-0.0175164,0.00466653,0.0126328,8.22363,-0.574877,5.35951,0.0154005,-0.0111405,0.0161186
0.041,-0.817835,9.9234,-0.674134,0.0494682,-0.00492497,0.0529577,0.244953,9.6628,-0.734327,-0.0125445,0.0114903,-0.0141037,0.626389,-9.78602,-1.085,-0.0656477,0.0274546,0.00380136,3.84405,-0.0675383,8.84903,-0.0234846,0.00346527,-0.00292861,3.73302,1.20111,9.18636,-0.01723,0.00517317,0.0122471,8.23272,-0.603538,5.34302,0.0148937,-0.00830155,0.0154503
0.042,-0.781368,9.9209,-0.689826,0.050257,-0.00429459,0.0559005,0.250667,9.684,-0.727124,-0.0153545,0.0126357,-0.0146675,0.608805,-9.77635,-1.07917,-0.0662277,0.0291097,0.00341119,3.83423,-0.0719544,8.86105,-0.0242514,0.00355106,-0.00248419,3.76672,1.18763,9.16559,-0.0169435,0.00567982,0.0118613,8.24182,-0.6322,5.32652,0.0143869,-0.00546257,0.0147819
0.043,-0.744901,9.9184,-0.705517,0.0510457,-0.0036642,0.0588433,0.256382,9.70521,-0.719921,-0.0181645,0.0137811,-0.0152314,0.591222,-9.76668,-1.07334,-0.0668077,0.0307647,0.00302101,3.82441,-0.0763704,8.87306,-0.0250182,0.00363684,-0.00203977,3.80041,1.17415,9.14482,-0.0166571,0.00618646,0.0114756,8.25092,-0.660861,5.31003,0.0138801,-0.00262359,0.0141135
0.044,-0.708434,9.91591,-0.721209,0.0518344,-0.00303382,0.0617861,0.262096,9.72642,-0.712718,-0.0209744,0.0149266,-0.0157952,0.573639,-9.75701,-1.06751,-0.0673877,0.0324198,0.00263084,3.81459,-0.0807865,8.88508,-0.025785,0.00372263,-0.00159535,3.83411,1.16067,9.12405,-0.0163707,0.0066931,0.0110898,8.26001,-0.689523,5.29353,0.0133734,0.000215387,0.0134452
0.045,-0.696136,9.92065,-0.742863,0.0516099,-0.00244567,0.0621778,0.255834,9.72495,-0.71499,-0.0231503,0.0165095,-0.0154006,0.555651,-9.75048,-1.07037,-0.0662825,0.0334482,0.00325198,3.81943,-0.0730354,8.89336,-0.026757,0.00405072,-0.00112867,3.83149,1.14863,9.13294,-0.0157379,0.00627752,0.0124185,8.26366,-0.692893,5.28286,0.0137041,0.00121028,0.0127409
0.046,-0.703174,9.93119,-0.769288,0.0505748,-0.0018913,0.0605285,0.23999,9.70535,-0.724844,-0.0248187,0.0184425,-0.0142393,0.53734,-9.74646,-1.08018,-0.0638291,0.0339753,0.00468217,3.83599,-0.0555504,8.89864,-0.0278934,0.00457264,-0.000644191,3.79982,1.13773,9.16555,-0.0148281,0.00512417,0.0151187,8.26295,-0.67603,5.27685,0.0147049,0.000729903,0.0120079
0.047,-0.710212,9.94173,-0.795712,0.0495397,-0.00133693,0.0588792,0.224146,9.68575,-0.734697,-0.0264872,0.0203755,-0.0130779,0.519029,-9.74244,-1.08999,-0.0613757,0.0345025,0.00611236,3.85255,-0.0380655,8.90393,-0.0290297,0.00509456,-0.000159711,3.76815,1.12683,9.19816,-0.0139183,0.00397081,0.0178189,8.26225,-0.659167,5.27085,0.0157057,0.000249527,0.0112749
0.048,-0.717249,9.95227,-0.822137,0.0485046,-0.000782563,0.05723,0.208302,9.66615,-0.74455,-0.0281557,0.0223084,-0.0119165,0.500718,-9.73842,-1.0998,-0.0589224,0.0350296,0.00754255,3.86912,-0.0205805,8.90922,-0.030166,0.00561649,0.00032477,3.73648,1.11593,9.23077,-0.0130085,0.00281745,0.0205191,8.26154,-0.642304,5.26484,0.0167065,-0.000230849,0.0105419
0.049,-0.723733,9.95985,-0.845091,0.0474267,-2.65E-05,0.0559838,0.195257,9.65262,-0.751775,-0.0295102,0.0241331,-0.0107876,0.486928,-9.73854,-1.10922,-0.0568691,0.035209,0.00849237,3.88709,-0.00311873,8.91159,-0.0312876,0.00597293,0.000786205,3.70769,1.10504,9.25693,-0.0121638,0.00179798,0.0226717,8.2631,-0.625747,5.26034,0.0176088,-0.000643426,0.0101288
