Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.044,0.0686871,0.0282263,0.0585492,0.0600265,0.0511295,0.0557449,0.0292746,0.0419394,0.0616891,0.0485526,0.0727985,0.0679721,0.0584723,0.0587717,0.0517542,0.0795178
0.045,0.0589215,0.0306677,0.0222333,0.05728,0.0105411,0.0880936,0.0564352,0.0480429,0.0452097,0.0506888,0.0541827,0.0603427,0.0462653,0.0526682,0.048092,0.0636487
0.046,0.0708234,0.0459265,0.0588544,0.0563644,0.0633365,0.146992,0.0414816,0.0541464,0.0687082,0.0339041,0.0267169,0.0582065,0.03711,0.0480905,0.0615198,0.0566296
0.047,0.0537335,0.0404334,0.0527509,0.0411057,0.031293,0.156148,0.0408713,0.044686,0.056196,0.042449,0.0398395,0.0624789,0.0364996,0.0508371,0.0371057,0.0490002
0.048,0.068382,0.0251746,0.0365765,0.041716,0.0575381,0.110982,0.0341574,0.0443808,0.0330026,0.0345145,0.0377032,0.0853671,0.042298,0.0560251,0.0499231,0.0438123
0.049,0.0430524,0.0495886,0.0625165,0.0505661,0.0563174,0.0728348,0.0341574,0.0581137,0.051008,0.0427542,0.0361774,0.0527133,0.0560309,0.0337473,0.0557214,0.0288586
0.05,0.0338971,0.0538611,0.063432,0.0462936,0.0529605,0.0761917,0.0314108,0.0410239,0.0296457,0.0494681,0.0499103,0.0676669,0.0404669,0.0474802,0.0682336,0.0456433
0.051,0.0247418,0.0508093,0.0484784,0.0475143,0.0383121,0.115559,0.0250021,0.0596396,0.0384958,0.0366507,0.0300739,0.0279941,0.0514532,0.0667062,0.0523645,0.0438123
0.052,0.0265729,0.0395178,0.0561078,0.0438522,0.0502139,0.103658,0.0457541,0.0495688,0.0360544,0.0409232,0.0273273,0.0484409,0.0444342,0.059382,0.0609094,0.0386243
0.053,0.0491559,0.055387,0.0402386,0.0484299,0.0514346,0.0447586,0.0451437,0.0501791,0.0516183,0.0491629,0.045943,0.0392856,0.0517584,0.0447336,0.0477869,0.0367932
0.054,0.0595319,0.032804,0.0524457,0.0633835,0.0581485,0.0343826,0.0521628,0.0544516,0.0403268,0.0540457,0.0416705,0.0148715,0.0621344,0.0502267,0.0401575,0.0319104
0.055,0.0461041,0.0352454,0.0457318,0.0649094,0.0425845,0.0526932,0.0753561,0.0636069,0.061384,0.0455008,0.0602863,-0.0125943,0.0624396,0.0566354,0.0630457,0.0309949
0.056,0.0512921,0.0175452,0.0579388,0.0655197,0.0377017,0.0612381,0.0448386,0.0477377,0.0403268,0.0641165,0.0636432,-0.00771149,0.0557257,0.0377145,0.0761682,0.0673108
