Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0,-0.782401,-9.58363,-1.13322,0.0847265,-0.144006,0.363938,8.69289,-0.947079,4.47271,0.169209,0.168855,-0.321201,-2.90685,10.0304,-1.43779,0.373673,-0.07517,-0.447687,2.34832,-9.2895,-1.83769,0.060782,0.0526694,0.0224035,1.85659,-3.63351,10.4584,-0.0517787,0.390558,-0.106199,1.82075,9.94033,-0.637963,0.171514,-0.589501,0.482931,3.57014,4.96739,7.24933,-0.147777,-0.00331514,0.00392506
0.001,-0.831056,-9.57562,-1.17159,0.0934374,-0.137977,0.368292,8.69883,-0.923818,4.45292,0.167094,0.164615,-0.315286,-2.90815,10.0453,-1.44801,0.364113,-0.0531082,-0.453115,2.32053,-9.29961,-1.86364,0.0613483,0.0519562,0.0218744,1.90136,-3.6222,10.3444,-0.0765831,0.393488,-0.119889,1.87187,9.96534,-0.640993,0.182993,-0.617785,0.504007,3.5979,4.9437,7.25819,-0.145059,-0.0140858,0.00269821
0.002,-0.879712,-9.5676,-1.20996,0.102148,-0.131948,0.372646,8.70477,-0.900558,4.43314,0.164979,0.160375,-0.30937,-2.90945,10.0602,-1.45822,0.354554,-0.0310463,-0.458542,2.29273,-9.30973,-1.88959,0.0619146,0.051243,0.0213454,1.94613,-3.61089,10.2304,-0.101387,0.396419,-0.133579,1.92299,9.99034,-0.644022,0.194472,-0.646069,0.525084,3.62565,4.92002,7.26704,-0.142341,-0.0248564,0.00147137
0.003,-0.928368,-9.55959,-1.24832,0.110859,-0.125918,0.376999,8.7107,-0.877297,4.41336,0.162864,0.156135,-0.303455,-2.91075,10.075,-1.46843,0.344994,-0.00898438,-0.46397,2.26494,-9.31984,-1.91554,0.0624809,0.0505298,0.0208163,1.9909,-3.59958,10.1164,-0.126192,0.399349,-0.14727,1.97411,10.0153,-0.647051,0.205951,-0.674353,0.546161,3.65341,4.89633,7.27589,-0.139622,-0.0356271,0.000244522
0.004,-0.977023,-9.55158,-1.28669,0.11957,-0.119889,0.381353,8.71664,-0.854036,4.39358,0.16075,0.151895,-0.297539,-2.91206,10.0899,-1.47865,0.335435,0.0130775,-0.469397,2.23714,-9.32995,-1.94149,0.0630472,0.0498166,0.0202873,2.03568,-3.58827,10.0024,-0.150996,0.40228,-0.16096,2.02523,10.0403,-0.650081,0.21743,-0.702637,0.567237,3.68117,4.87264,7.28474,-0.136904,-0.0463977,-0.000982324
0.005,-1.01831,-9.54665,-1.31266,0.125953,-0.111731,0.385752,8.71844,-0.850136,4.36227,0.160034,0.147705,-0.291335,-2.89952,10.0974,-1.47472,0.326195,0.0310236,-0.475451,2.21944,-9.33577,-1.96332,0.0620417,0.0484409,0.0197557,2.14374,-3.53556,9.84468,-0.178432,0.398569,-0.174895,2.01276,10.0417,-0.663024,0.232409,-0.731103,0.586151,3.7245,4.86842,7.28918,-0.137478,-0.0520912,-0.000212418
0.006,-1.05369,-9.54418,-1.3287,0.130475,-0.10187,0.390186,8.71693,-0.861723,4.32173,0.160437,0.143555,-0.2849,-2.8759,10.099,-1.45948,0.317211,0.0456771,-0.482005,2.2098,-9.33815,-1.98187,0.0597787,0.0465352,0.0192222,2.30245,-3.44972,9.65194,-0.207973,0.389546,-0.189027,1.94943,10.0242,-0.683899,0.250187,-0.759714,0.603333,3.7803,4.87977,7.2901,-0.140684,-0.053723,0.00215489
0.007,-1.08908,-9.54171,-1.34475,0.134997,-0.0920088,0.39462,8.71542,-0.87331,4.28119,0.160841,0.139405,-0.278466,-2.85229,10.1006,-1.44424,0.308227,0.0603306,-0.488559,2.20017,-9.34052,-2.00041,0.0575157,0.0446295,0.0186886,2.46115,-3.36389,9.45921,-0.237513,0.380523,-0.203159,1.88609,10.0067,-0.704774,0.267965,-0.788326,0.620515,3.83609,4.89112,7.29101,-0.143891,-0.0553548,0.0045222
0.008,-1.12447,-9.53924,-1.36079,0.139519,-0.0821478,0.399054,8.7139,-0.884898,4.24064,0.161244,0.135255,-0.272031,-2.82868,10.1021,-1.429,0.299243,0.0749841,-0.495114,2.19053,-9.3429,-2.01895,0.0552527,0.0427237,0.018155,2.61986,-3.27805,9.26648,-0.267054,0.371499,-0.21729,1.82275,9.98924,-0.72565,0.285744,-0.816937,0.637698,3.89189,4.90246,7.29193,-0.147098,-0.0569865,0.0068895
0.009,-1.16074,-9.53737,-1.37439,0.143973,-0.0726162,0.403574,8.7103,-0.891956,4.20295,0.161416,0.131486,-0.265201,-2.80269,10.1042,-1.41416,0.290335,0.0878106,-0.501376,2.18452,-9.34572,-2.03822,0.0531277,0.0409142,0.0177762,2.78888,-3.19156,9.08005,-0.295795,0.362729,-0.2308,1.74045,9.96906,-0.747442,0.303398,-0.845274,0.654011,3.95234,4.91681,7.2921,-0.150501,-0.0584404,0.00950497
