Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.01,-1.28358,-10.2304,0.770244,-0.101886,-1.60354,-0.563052,7.68834,0.000521585,5.2851,1.59624,0.348826,0.822713,-0.405981,9.54294,-2.41142,-0.147222,1.27869,-0.235121,0.554742,-9.91925,-1.07861,-0.344941,-1.01165,-0.656701,4.37613,-0.0330593,8.58154,0.022865,0.0827148,0.0218417,-0.930218,9.24824,-2.81546,-0.0359562,0.350514,-0.211451,5.37927,4.4154,7.86087,0.856279,0.638781,0.507387
0.011,-1.27546,-10.2254,0.730425,-0.101797,-1.61064,-0.567289,7.70565,-0.00245749,5.27531,1.60602,0.351449,0.831244,-0.447739,9.51277,-2.4097,-0.151242,1.28595,-0.23775,0.554182,-9.90351,-1.11246,-0.345793,-1.01212,-0.651966,4.38668,-0.0421207,8.58074,0.0245109,0.083591,0.0230974,-0.958998,9.24525,-2.83868,-0.0352112,0.348418,-0.212145,5.37786,4.42563,7.83227,0.852337,0.640771,0.514763
0.012,-1.26734,-10.2204,0.690607,-0.101708,-1.61774,-0.571526,7.72295,-0.00543656,5.26552,1.61581,0.354072,0.839776,-0.489497,9.48259,-2.40799,-0.155262,1.29321,-0.240379,0.553623,-9.88776,-1.1463,-0.346644,-1.01259,-0.64723,4.39722,-0.0511822,8.57993,0.0261568,0.0844672,0.0243531,-0.987778,9.24225,-2.8619,-0.0344662,0.346322,-0.21284,5.37644,4.43586,7.80367,0.848396,0.642762,0.52214
0.013,-1.25922,-10.2153,0.650789,-0.10162,-1.62484,-0.575763,7.74026,-0.00841564,5.25573,1.6256,0.356695,0.848307,-0.531254,9.45242,-2.40627,-0.159282,1.30047,-0.243009,0.553063,-9.87201,-1.18015,-0.347496,-1.01307,-0.642495,4.40776,-0.0602436,8.57913,0.0278026,0.0853435,0.0256088,-1.01656,9.23926,-2.88513,-0.0337212,0.344226,-0.213535,5.37503,4.44608,7.77507,0.844454,0.644752,0.529516
0.014,-1.24523,-10.2183,0.617208,-0.100529,-1.62999,-0.579207,7.74981,0.00491174,5.25841,1.634,0.360054,0.855281,-0.592201,9.43809,-2.42786,-0.158501,1.30753,-0.243904,0.557086,-9.86289,-1.22311,-0.350906,-1.01204,-0.63721,4.40741,-0.0854605,8.57727,0.0296118,0.0867701,0.023966,-1.02863,9.2401,-2.88656,-0.0340667,0.343445,-0.21449,5.37972,4.40988,7.73778,0.845549,0.64518,0.53775
0.015,-1.2283,-10.2252,0.586746,-0.0989387,-1.63415,-0.582254,7.75547,0.0263924,5.26732,1.64169,0.36378,0.861475,-0.662742,9.43168,-2.4611,-0.155318,1.31448,-0.243932,0.5634,-9.85707,-1.27064,-0.355596,-1.01028,-0.63165,4.40162,-0.118755,8.57488,0.0315025,0.0884721,0.0208741,-1.03235,9.24285,-2.87709,-0.0349576,0.343322,-0.215575,5.38747,4.35045,7.69613,0.849162,0.644828,0.546412
0.016,-1.21137,-10.2322,0.556285,-0.0973479,-1.63832,-0.585301,7.76113,0.047873,5.27624,1.64939,0.367507,0.86767,-0.733283,9.42528,-2.49435,-0.152135,1.32144,-0.24396,0.569714,-9.85126,-1.31816,-0.360285,-1.00851,-0.62609,4.39582,-0.15205,8.57249,0.0333932,0.090174,0.0177822,-1.03607,9.2456,-2.86763,-0.0358484,0.343199,-0.21666,5.39522,4.29103,7.65449,0.852775,0.644475,0.555074
0.017,-1.19445,-10.2391,0.525823,-0.0957571,-1.64248,-0.588348,7.76679,0.0693536,5.28516,1.65708,0.371233,0.873865,-0.803824,9.41887,-2.52759,-0.148952,1.32839,-0.243988,0.576028,-9.84545,-1.36569,-0.364975,-1.00674,-0.62053,4.39002,-0.185344,8.5701,0.035284,0.0918759,0.0146902,-1.03979,9.24835,-2.85817,-0.0367392,0.343076,-0.217745,5.40297,4.23161,7.61284,0.856388,0.644122,0.563736
0.018,-1.1687,-10.2484,0.498432,-0.0942098,-1.6466,-0.591753,7.77229,0.0855286,5.28987,1.66502,0.374705,0.880329,-0.862206,9.41359,-2.55575,-0.147673,1.33472,-0.244309,0.586093,-9.83808,-1.41227,-0.370209,-1.00536,-0.61544,4.38882,-0.207754,8.56775,0.0376245,0.0940255,0.0119653,-1.0427,9.25091,-2.84789,-0.0376122,0.343269,-0.218811,5.40789,4.18707,7.58182,0.860828,0.644086,0.572549
0.019,-1.11208,-10.2659,0.481786,-0.0928145,-1.65057,-0.596411,7.77726,0.0831338,5.27986,1.6738,0.377283,0.887739,-0.878029,9.41225,-2.56613,-0.153056,1.33883,-0.245657,0.609283,-9.82527,-1.45556,-0.377346,-1.00536,-0.611992,4.4037,-0.192066,8.56557,0.041539,0.0977424,0.0105252,-1.04277,9.25283,-2.83478,-0.0384229,0.344568,-0.219808,5.40288,4.19466,7.588,0.868159,0.645158,0.581887
