Time,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.01,-0.906373,9.62478,-0.510157,0.0971563,0.13682,-0.0600013,5.01246,2.54757,8.40167,-0.220219,0.0089821,0.127061,-1.12606,9.50428,-1.6259,0.104092,0.129741,-0.301541,9.88915,0.0371404,2.98683,-0.0404092,0.208008,-0.0477106,-1.81614,-9.56676,-2.16507,-0.0991204,-0.0362457,0.191722,5.04059,-2.12165,7.96706,0.217645,-0.0113227,-0.116877,-1.01171,-9.94119,-1.24284,0.0491157,0.0999701,0.0704222
0.011,-0.851893,9.59605,-0.449075,0.0981834,0.136386,-0.0610636,4.99851,2.53733,8.41062,-0.219148,0.00820447,0.126188,-1.1091,9.49446,-1.61188,0.103714,0.133344,-0.304901,9.86113,0.0654911,2.98266,-0.0400931,0.215021,-0.0470818,-1.78457,-9.55576,-2.16807,-0.100571,-0.038276,0.194952,5.12875,-2.08607,7.9592,0.218143,-0.0111209,-0.114428,-1.03448,-9.95885,-1.23027,0.0495478,0.0991413,0.0679205
0.012,-0.797412,9.56732,-0.387994,0.0992105,0.135953,-0.0621258,4.98456,2.52709,8.41958,-0.218077,0.00742684,0.125315,-1.09213,9.48464,-1.59786,0.103336,0.136946,-0.308261,9.83311,0.0938419,2.9785,-0.0397771,0.222034,-0.0464531,-1.75301,-9.54477,-2.17106,-0.102022,-0.0403063,0.198182,5.21691,-2.0505,7.95133,0.218642,-0.0109191,-0.111979,-1.05726,-9.97651,-1.21771,0.0499799,0.0983125,0.0654189
0.013,-0.742932,9.53859,-0.326913,0.100238,0.13552,-0.0631881,4.97061,2.51685,8.42853,-0.217006,0.00664921,0.124442,-1.07517,9.47481,-1.58384,0.102959,0.140548,-0.311621,9.80509,0.122193,2.97433,-0.039461,0.229046,-0.0458243,-1.72145,-9.53377,-2.17406,-0.103473,-0.0423365,0.201411,5.30507,-2.01493,7.94346,0.21914,-0.0107173,-0.109531,-1.08003,-9.99417,-1.20514,0.050412,0.0974837,0.0629173
0.014,-0.696553,9.51166,-0.29202,0.0994484,0.133566,-0.0642577,4.9751,2.52342,8.42125,-0.2169,0.0055991,0.123801,-1.04394,9.47021,-1.5752,0.103831,0.144403,-0.314654,9.79892,0.128233,2.99418,-0.0368196,0.234416,-0.0453619,-1.70783,-9.51622,-2.18614,-0.102906,-0.044668,0.204016,5.33922,-2.00742,7.94094,0.216636,-0.00922914,-0.107003,-1.08205,-10.0084,-1.20274,0.0501959,0.0970038,0.0619587
0.015,-0.654226,9.48563,-0.27022,0.097751,0.130852,-0.0653308,4.98881,2.5384,8.40585,-0.217278,0.00441275,0.123275,-1.00559,9.46822,-1.56926,0.10533,0.148386,-0.317525,9.80368,0.123118,3.02605,-0.0330156,0.238964,-0.0449826,-1.70319,-9.49539,-2.20275,-0.101331,-0.0471501,0.206308,5.34635,-2.01395,7.94108,0.212632,-0.00709785,-0.104435,-1.07369,-10.021,-1.20543,0.0496555,0.0966984,0.0617717
0.016,-0.611899,9.4596,-0.248421,0.0960535,0.128138,-0.066404,5.00251,2.55338,8.39046,-0.217655,0.00322641,0.12275,-0.967241,9.46624,-1.56331,0.106828,0.152368,-0.320395,9.80845,0.118003,3.05792,-0.0292116,0.243511,-0.0446034,-1.69855,-9.47455,-2.21937,-0.0997556,-0.0496322,0.2086,5.35348,-2.02048,7.94123,0.208628,-0.00496656,-0.101868,-1.06533,-10.0336,-1.20812,0.0491152,0.096393,0.0615847
0.017,-0.569571,9.43357,-0.226621,0.0943561,0.125423,-0.0674772,5.01622,2.56836,8.37506,-0.218032,0.00204006,0.122225,-0.92889,9.46425,-1.55736,0.108326,0.156351,-0.323265,9.81321,0.112888,3.08978,-0.0254075,0.248059,-0.0442242,-1.69391,-9.45372,-2.23598,-0.0981802,-0.0521143,0.210892,5.36062,-2.02701,7.94137,0.204624,-0.00283528,-0.0993002,-1.05696,-10.0461,-1.2108,0.0485748,0.0960876,0.0613976
0.018,-0.533436,9.42095,-0.20995,0.0929103,0.124686,-0.0687381,5.02678,2.5855,8.3611,-0.218056,0.000954978,0.121796,-0.892654,9.46194,-1.54816,0.110274,0.159844,-0.325557,9.81137,0.110727,3.11859,-0.021255,0.252311,-0.0442348,-1.68945,-9.43972,-2.25291,-0.0973149,-0.0537925,0.213479,5.35731,-2.02467,7.94701,0.200459,-0.00121249,-0.0964031,-1.05199,-10.0544,-1.21901,0.0480899,0.0958091,0.0614008
0.019,-0.518972,9.45529,-0.211225,0.0923454,0.130868,-0.0706559,5.02632,2.6102,8.3522,-0.216846,0.000224325,0.121704,-0.863826,9.45853,-1.5276,0.113794,0.161623,-0.325825,9.78642,0.118907,3.13669,-0.0158826,0.255529,-0.0456096,-1.68557,-9.44961,-2.27095,-0.0989351,-0.0526567,0.217099,5.31744,-1.9913,7.97188,0.195726,-0.00136944,-0.0923527,-1.05887,-10.0473,-1.24651,0.0477986,0.0956249,0.06207
0.02,-0.504508,9.48963,-0.2125,0.0917804,0.13705,-0.0725737,5.02586,2.6349,8.34329,-0.215636,-0.000506327,0.121613,-0.834997,9.45511,-1.50703,0.117314,0.163403,-0.326093,9.76147,0.127087,3.15478,-0.0105102,0.258747,-0.0469845,-1.68169,-9.45951,-2.28898,-0.100555,-0.0515209,0.220719,5.27758,-1.95793,7.99675,0.190993,-0.00152639,-0.0883023,-1.06575,-10.0403,-1.27402,0.0475073,0.0954407,0.0627391
0.021,-0.490044,9.52397,-0.213776,0.0912155,0.143232,-0.0744915,5.0254,2.6596,8.33439,-0.214427,-0.00123698,0.121522,-0.806168,9.4517,-1.48646,0.120835,0.165182,-0.326361,9.73652,0.135266,3.17288,-0.00513778,0.261964,-0.0483594,-1.67782,-9.46941,-2.30702,-0.102175,-0.0503852,0.224339,5.23771,-1.92455,8.02161,0.186261,-0.00168334,-0.0842519,-1.07263,-10.0333,-1.30153,0.047216,0.0952565,0.0634082
0.022,-0.47558,9.55831,-0.215051,0.0906505,0.149413,-0.0764093,5.02495,2.6843,8.32548,-0.213217,-0.00196763,0.12143,-0.777339,9.44828,-1.46589,0.124355,0.166962,-0.326629,9.71157,0.143446,3.19097,0.000234617,0.265182,-0.0497342,-1.67394,-9.47931,-2.32505,-0.103796,-0.0492494,0.227959,5.19785,-1.89118,8.04648,0.181528,-0.00184029,-0.0802015,-1.07951,-10.0263,-1.32903,0.0469247,0.0950723,0.0640773
0.023,-0.438041,9.58715,-0.21687,0.0899269,0.152618,-0.0773306,5.02244,2.68695,8.34137,-0.212038,-0.00165037,0.120211,-0.767353,9.45086,-1.43863,0.127331,0.167223,-0.326078,9.71578,0.139137,3.23269,0.00165725,0.2661,-0.0515537,-1.66087,-9.49622,-2.33678,-0.104824,-0.042897,0.228528,5.16791,-1.87613,8.05568,0.173529,-0.00310169,-0.0726388,-1.06609,-10.0089,-1.32088,0.0452599,0.0946973,0.0639189
0.024,-0.393909,9.61443,-0.218844,0.0891578,0.154972,-0.0779671,5.01934,2.68331,8.36435,-0.210869,-0.00103371,0.118669,-0.762751,9.45515,-1.40946,0.130152,0.167051,-0.325293,9.72832,0.13126,3.28115,0.00195139,0.266361,-0.0535001,-1.64517,-9.51513,-2.3467,-0.105683,-0.0350542,0.228227,5.14081,-1.86631,8.0604,0.164597,-0.00467866,-0.0640726,-1.04688,-9.98847,-1.30254,0.0432026,0.0942678,0.0635241
0.025,-0.349776,9.6417,-0.220818,0.0883888,0.157325,-0.0786036,5.01624,2.67967,8.38732,-0.209699,-0.000417049,0.117128,-0.758149,9.45945,-1.38028,0.132973,0.166879,-0.324509,9.74085,0.123383,3.32961,0.00224552,0.266622,-0.0554466,-1.62947,-9.53403,-2.35663,-0.106541,-0.0272114,0.227925,5.1137,-1.85649,8.06513,0.155665,-0.00625563,-0.0555063,-1.02766,-9.96807,-1.2842,0.0411454,0.0938383,0.0631293
0.026,-0.305644,9.66898,-0.222792,0.0876197,0.159679,-0.0792401,5.01315,2.67603,8.4103,-0.208529,0.000199614,0.115586,-0.753547,9.46374,-1.35111,0.135794,0.166706,-0.323724,9.75339,0.115506,3.37808,0.00253966,0.266882,-0.0573931,-1.61377,-9.55294,-2.36655,-0.1074,-0.0193685,0.227624,5.0866,-1.84668,8.06985,0.146734,-0.00783259,-0.0469401,-1.00845,-9.94767,-1.26586,0.0390881,0.0934089,0.0627345
0.027,-0.280895,9.68596,-0.242521,0.0882094,0.161231,-0.0792918,5.0108,2.66415,8.42383,-0.207297,0.000515199,0.114588,-0.749129,9.47659,-1.32655,0.138594,0.16602,-0.323436,9.75748,0.111627,3.40998,0.00373529,0.267375,-0.0590015,-1.59594,-9.57664,-2.36519,-0.107482,-0.0114837,0.227395,5.04829,-1.849,8.08266,0.136688,-0.00988194,-0.0383513,-0.987817,-9.93127,-1.25346,0.0367641,0.0926444,0.0622921
0.028,-0.294915,9.68236,-0.297758,0.0915166,0.161179,-0.0781736,5.00996,2.63578,8.41846,-0.205941,0.00022863,0.114676,-0.74508,9.50654,-1.31123,0.141354,0.164306,-0.324143,9.74467,0.115743,3.40877,0.00673392,0.26833,-0.059934,-1.57386,-9.60992,-2.34128,-0.106011,-0.00351474,0.227311,4.98756,-1.87562,8.11167,0.124417,-0.0128761,-0.0297175,-0.964355,-9.92289,-1.25296,0.0339067,0.0912099,0.0617545
0.029,-0.308936,9.67876,-0.352996,0.0948237,0.161127,-0.0770554,5.00912,2.60741,8.4131,-0.204585,-5.79e-05,0.114764,-0.74103,9.5365,-1.2959,0.144114,0.162592,-0.32485,9.73185,0.119859,3.40756,0.00973255,0.269285,-0.0608665,-1.55179,-9.6432,-2.31736,-0.104539,0.00445419,0.227228,4.92684,-1.90224,8.14067,0.112145,-0.0158702,-0.0210836,-0.940892,-9.91451,-1.25246,0.0310492,0.0897753,0.0612169
