Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0,-0.842059,9.8325,-0.893807,0.0154581,0.159171,-0.0527642,0.300158,9.68601,-0.820583,-0.0385402,0.0641643,-0.054315,0.41331,-9.82651,-1.11366,-0.09585,-0.00763222,-0.0286369,3.88692,-0.238425,8.8814,0.00574684,0.0253387,-0.000864468,3.77066,1.39107,9.08206,-0.0168234,-0.00229244,0.00980159,8.67896,-1.48136,4.4239,0.361274,-0.0632729,0.0983681
0.001,-0.832644,9.84279,-0.877558,0.0155724,0.159422,-0.0521566,0.290086,9.68326,-0.811044,-0.0382986,0.0649342,-0.0537253,0.443007,-9.83467,-1.11121,-0.0938459,-0.00797721,-0.0270151,3.89987,-0.237102,8.86851,0.0058621,0.0242948,-0.00156822,3.80331,1.41642,9.10304,-0.0161811,-0.00110412,0.011826,8.65704,-1.46541,4.40639,0.363264,-0.0643264,0.098184
0.002,-0.82323,9.85308,-0.861308,0.0156867,0.159673,-0.051549,0.280014,9.68052,-0.801506,-0.038057,0.065704,-0.0531356,0.472703,-9.84284,-1.10877,-0.0918418,-0.0083222,-0.0253934,3.91281,-0.235779,8.85562,0.00597735,0.0232509,-0.00227198,3.83596,1.44176,9.12401,-0.0155387,8.42E-05,0.0138505,8.63513,-1.44945,4.38888,0.365254,-0.06538,0.0979999
0.003,-0.813815,9.86337,-0.845058,0.0158011,0.159924,-0.0509414,0.269942,9.67777,-0.791968,-0.0378154,0.0664739,-0.0525459,0.502399,-9.85101,-1.10632,-0.0898378,-0.00866718,-0.0237717,3.92575,-0.234456,8.84273,0.00609261,0.022207,-0.00297574,3.86861,1.46711,9.14499,-0.0148964,0.00127252,0.015875,8.61321,-1.4335,4.37136,0.367244,-0.0664335,0.0978158
0.004,-0.804401,9.87366,-0.828809,0.0159154,0.160175,-0.0503338,0.25987,9.67503,-0.78243,-0.0375737,0.0672437,-0.0519562,0.532095,-9.85918,-1.10387,-0.0878337,-0.00901217,-0.02215,3.93869,-0.233133,8.82985,0.00620786,0.0211631,-0.00367949,3.90126,1.49245,9.16597,-0.0142541,0.00246085,0.0178994,8.59129,-1.41755,4.35385,0.369234,-0.0674871,0.0976317
0.005,-0.792677,9.87095,-0.815247,0.0157634,0.160355,-0.0493229,0.264907,9.66562,-0.789579,-0.0367806,0.0679886,-0.0528357,0.542368,-9.85269,-1.10769,-0.0865532,-0.00889611,-0.0219016,3.94183,-0.233827,8.82318,0.00672175,0.0205865,-0.00341088,3.92817,1.48798,9.18105,-0.0140827,0.00158922,0.0176792,8.58634,-1.4061,4.33004,0.369081,-0.0689787,0.0971822
0.006,-0.779106,9.85783,-0.803837,0.0153983,0.160476,-0.0479892,0.282029,9.65087,-0.810079,-0.0355463,0.0687134,-0.0548905,0.537102,-9.83448,-1.11653,-0.0858516,-0.0084112,-0.022752,3.93712,-0.236133,8.82148,0.00755456,0.0203838,-0.00236436,3.95048,1.45966,9.1914,-0.0142882,-0.000930369,0.0156632,8.59496,-1.39826,4.30119,0.367212,-0.0708208,0.0965206
0.007,-0.765534,9.8447,-0.792426,0.0150332,0.160598,-0.0466556,0.299152,9.63613,-0.830579,-0.0343119,0.0694382,-0.0569454,0.531836,-9.81627,-1.12537,-0.08515,-0.0079263,-0.0236023,3.93242,-0.238439,8.81979,0.00838736,0.0201811,-0.00131784,3.97279,1.43133,9.20176,-0.0144937,-0.00344996,0.0136473,8.60359,-1.39042,4.27234,0.365343,-0.0726629,0.095859
0.008,-0.751963,9.83158,-0.781015,0.0146681,0.16072,-0.0453219,0.316274,9.62138,-0.851079,-0.0330776,0.070163,-0.0590002,0.52657,-9.79806,-1.1342,-0.0844484,-0.0074414,-0.0244526,3.92771,-0.240746,8.81809,0.00922016,0.0199784,-0.000271318,3.9951,1.40301,9.21212,-0.0146991,-0.00596954,0.0116313,8.61221,-1.38257,4.24348,0.363475,-0.074505,0.0951973
0.009,-0.741933,9.81903,-0.769331,0.0143467,0.160717,-0.0441558,0.329542,9.60877,-0.86723,-0.031953,0.0709324,-0.0605873,0.520707,-9.77997,-1.14161,-0.0838326,-0.00703324,-0.0250787,3.92296,-0.242392,8.81764,0.00997788,0.0199601,0.000659852,4.01181,1.38187,9.22064,-0.0149087,-0.00808574,0.0100691,8.61968,-1.37362,4.21927,0.361806,-0.0760709,0.0945475
0.01,-0.760234,9.81102,-0.755459,0.0143745,0.159715,-0.0443297,0.311967,9.61321,-0.84859,-0.0317066,0.0720582,-0.0584323,0.510071,-9.76282,-1.13762,-0.0839024,-0.00723897,-0.0239104,3.91788,-0.238757,8.82709,0.0101349,0.0214169,0.000668223,3.98371,1.41824,9.21453,-0.0151512,-0.00697477,0.0121375,8.61799,-1.35574,4.23214,0.361739,-0.0754275,0.0939921
0.011,-0.778536,9.80301,-0.741588,0.0144023,0.158713,-0.0445037,0.294392,9.61765,-0.829951,-0.0314601,0.0731841,-0.0562773,0.499434,-9.74568,-1.13362,-0.0839721,-0.0074447,-0.0227422,3.91279,-0.235121,8.83654,0.0102919,0.0228737,0.000676594,3.95561,1.4546,9.20841,-0.0153938,-0.00586381,0.0142059,8.6163,-1.33787,4.24502,0.361671,-0.074784,0.0934367
0.012,-0.796837,9.795,-0.727716,0.0144302,0.157711,-0.0446776,0.276817,9.62209,-0.811311,-0.0312136,0.07431,-0.0541224,0.488798,-9.72853,-1.12962,-0.0840419,-0.00765043,-0.0215739,3.90771,-0.231486,8.84598,0.010449,0.0243304,0.000684964,3.92751,1.49097,9.2023,-0.0156363,-0.00475284,0.0162743,8.61461,-1.32,4.25789,0.361603,-0.0741406,0.0928813
0.013,-0.815138,9.78699,-0.713845,0.014458,0.156709,-0.0448516,0.259242,9.62654,-0.792672,-0.0309672,0.0754358,-0.0519674,0.478162,-9.71139,-1.12562,-0.0841117,-0.00785617,-0.0204057,3.90262,-0.22785,8.85543,0.010606,0.0257872,0.000693335,3.89941,1.52733,9.19619,-0.0158788,-0.00364188,0.0183427,8.61292,-1.30212,4.27077,0.361535,-0.0734972,0.0923259
0.014,-0.827483,9.78785,-0.706921,0.014432,0.156699,-0.0450916,0.254213,9.62288,-0.802228,-0.031155,0.0754014,-0.0513152,0.471709,-9.71865,-1.12176,-0.084135,-0.00824801,-0.0195698,3.90001,-0.222456,8.8612,0.0114065,0.026099,-0.000311594,3.88833,1.51402,9.17904,-0.0158026,-0.00310068,0.0187341,8.62307,-1.297,4.26913,0.361882,-0.0738447,0.0924229
0.015,-0.836849,9.79315,-0.703472,0.014379,0.157184,-0.0453648,0.255456,9.61519,-0.825883,-0.03156,0.0747869,-0.0514144,0.467349,-9.7381,-1.11796,-0.084135,-0.00873291,-0.0189002,3.89863,-0.216183,8.86513,0.0125287,0.0258383,-0.00182317,3.88576,1.47586,9.15637,-0.0155669,-0.00284436,0.0182869,8.63915,-1.29825,4.26023,0.362436,-0.0746877,0.0928462
0.016,-0.846215,9.79845,-0.700022,0.014326,0.157669,-0.045638,0.2567,9.60749,-0.849538,-0.031965,0.0741724,-0.0515137,0.462989,-9.75756,-1.11416,-0.084135,-0.00921782,-0.0182305,3.89725,-0.20991,8.86906,0.0136509,0.0255775,-0.00333476,3.88319,1.4377,9.1337,-0.0153313,-0.00258804,0.0178397,8.65522,-1.2995,4.25134,0.36299,-0.0755307,0.0932694
0.017,-0.855581,9.80375,-0.696572,0.0142731,0.158154,-0.0459111,0.257944,9.59979,-0.873192,-0.03237,0.0735579,-0.0516129,0.458628,-9.77701,-1.11036,-0.084135,-0.00970272,-0.0175608,3.89587,-0.203637,8.87299,0.0147731,0.0253168,-0.00484634,3.88063,1.39954,9.11103,-0.0150956,-0.00233172,0.0173925,8.6713,-1.30076,4.24244,0.363545,-0.0763737,0.0936927
0.018,-0.85763,9.80878,-0.69623,0.0140487,0.158887,-0.0458329,0.253413,9.59445,-0.886406,-0.0331105,0.0731832,-0.0512604,0.453021,-9.79175,-1.1093,-0.0840161,-0.00943475,-0.0168815,3.89551,-0.196635,8.87589,0.0155259,0.0250219,-0.0057594,3.88223,1.37246,9.09787,-0.0154954,-0.00213225,0.0168352,8.68269,-1.30374,4.23238,0.363697,-0.0767858,0.0941016
