Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0,-0.732062,9.81877,-0.512271,-0.0219911,0.0672868,-0.0339939,0.249875,9.63791,-0.678676,-0.0175888,0.0358239,-0.00938976,0.398452,-9.81611,-1.38745,-0.0796494,0.0137698,-0.00296941,3.92443,0.0146498,8.80484,-0.0114942,0.00879601,0.0036999,3.91851,1.05159,9.25997,-0.0141998,-0.00508836,-0.000709924,7.962,-0.894224,5.55687,0.00164224,0.0569529,0.0144222
0.001,-0.760512,9.83403,-0.532973,-0.0184558,0.0676989,-0.0312089,0.252244,9.62953,-0.655747,-0.0167564,0.0360123,-0.0109896,0.405297,-9.78567,-1.38003,-0.0782624,0.01333,-0.00150344,3.92873,0.0123288,8.80584,-0.0109713,0.00954611,0.00422949,3.90122,1.04514,9.26578,-0.0154675,-0.00475263,-7.43E-05,7.94393,-0.887305,5.58655,0.00178267,0.0547517,0.014493
0.002,-0.788962,9.84929,-0.553675,-0.0149205,0.0681109,-0.028424,0.254612,9.62116,-0.632818,-0.0159241,0.0362007,-0.0125894,0.412141,-9.75522,-1.3726,-0.0768754,0.0128903,-3.75E-05,3.93303,0.0100078,8.80683,-0.0104484,0.0102962,0.00475908,3.88394,1.03868,9.27158,-0.0167351,-0.00441691,0.000561325,7.92587,-0.880385,5.61623,0.0019231,0.0525504,0.0145638
0.003,-0.817412,9.86455,-0.574377,-0.0113852,0.0685229,-0.0256391,0.256981,9.61278,-0.609889,-0.0150917,0.036389,-0.0141892,0.418986,-9.72478,-1.36517,-0.0754884,0.0124505,0.00142849,3.93732,0.00768687,8.80782,-0.00992549,0.0110463,0.00528868,3.86665,1.03223,9.27738,-0.0180027,-0.00408118,0.00119695,7.9078,-0.873465,5.64592,0.00206353,0.0503491,0.0146346
0.004,-0.845862,9.87981,-0.595079,-0.00784983,0.0689349,-0.0228541,0.25935,9.6044,-0.58696,-0.0142593,0.0365774,-0.0157891,0.425831,-9.69433,-1.35774,-0.0741014,0.0120107,0.00289446,3.94162,0.00536591,8.80881,-0.00940259,0.0117964,0.00581827,3.84936,1.02578,9.28318,-0.0192704,-0.00374545,0.00183257,7.88974,-0.866545,5.6756,0.00220396,0.0481479,0.0147054
0.005,-0.845294,9.88111,-0.597719,-0.00478431,0.0689688,-0.0208813,0.26196,9.60579,-0.586696,-0.0138849,0.0373367,-0.0165008,0.43533,-9.6772,-1.35298,-0.0734772,0.0120925,0.00441049,3.93397,-0.004419,8.80802,-0.00957392,0.0123094,0.0058515,3.83824,1.04406,9.27993,-0.0197147,-0.00388443,0.00319301,7.87595,-0.869281,5.69046,0.00218962,0.0471814,0.0147309
0.006,-0.821513,9.87126,-0.585907,-0.00209461,0.0687002,-0.0195582,0.264762,9.61499,-0.604565,-0.0138769,0.0385528,-0.0165022,0.446953,-9.67072,-1.35034,-0.0734631,0.0125915,0.00596658,3.91677,-0.0201751,8.80579,-0.0103006,0.0126328,0.00548764,3.83205,1.08211,9.26944,-0.0195005,-0.00440318,0.0051333,7.86559,-0.879741,5.69347,0.00205145,0.0472026,0.0147201
0.007,-0.797731,9.86141,-0.574096,0.000595082,0.0684315,-0.018235,0.267565,9.62418,-0.622433,-0.0138689,0.0397689,-0.0165035,0.458575,-9.66425,-1.34771,-0.0734489,0.0130905,0.00752266,3.89957,-0.0359311,8.80357,-0.0110274,0.0129561,0.00512379,3.82586,1.12017,9.25895,-0.0192863,-0.00492193,0.00707359,7.85523,-0.890201,5.69648,0.00191329,0.0472239,0.0147094
0.008,-0.77395,9.85155,-0.562285,0.00328478,0.0681629,-0.0169119,0.270368,9.63338,-0.640301,-0.0138609,0.040985,-0.0165048,0.470197,-9.65777,-1.34507,-0.0734348,0.0135895,0.00907875,3.88237,-0.0516872,8.80135,-0.0117541,0.0132794,0.00475993,3.81967,1.15823,9.24845,-0.019072,-0.00544068,0.00901388,7.84486,-0.900661,5.69949,0.00177513,0.0472452,0.0146987
0.009,-0.754969,9.84492,-0.548544,0.00598875,0.0678606,-0.015866,0.272631,9.64153,-0.65743,-0.0138928,0.0420527,-0.0165063,0.479205,-9.65163,-1.34373,-0.0733878,0.014112,0.0103999,3.86665,-0.0657021,8.79934,-0.0123767,0.0134931,0.00448609,3.81472,1.19399,9.23691,-0.0188794,-0.00583718,0.0108852,7.83444,-0.910439,5.7004,0.00173535,0.0471746,0.0148808
