Time,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
0.012,-0.150529,9.86371,-0.764986,0.0332201,0.10893,-0.00465334,0.671245,9.41063,-1.5991,0.0208253,0.068849,-0.0942209,0.636916,-9.62441,-0.927882,-0.0260972,0.0603506,0.0294987,4.12775,-0.803468,8.67351,0.0663892,0.0482597,-0.0307544,3.90607,1.64647,9.14029,-0.020714,0.00706105,0.00737347,7.37646,-1.07395,5.89613,0.180864,-0.161889,0.0700311
0.013,-0.178822,9.8691,-0.765855,0.0353547,0.108525,-0.00320066,0.670815,9.4203,-1.61195,0.0212799,0.0697818,-0.0970698,0.669644,-9.63603,-0.921593,-0.026311,0.059292,0.0297397,4.13679,-0.799259,8.66247,0.0686214,0.0481745,-0.030551,3.87298,1.6522,9.14898,-0.0208595,0.00726831,0.00867438,7.37498,-1.08576,5.88877,0.181716,-0.161169,0.074474
0.014,-0.195037,9.86572,-0.774246,0.0368469,0.108027,-0.00282909,0.668538,9.4422,-1.60831,0.0208635,0.0705254,-0.0987577,0.698812,-9.65217,-0.933591,-0.0251279,0.0558727,0.0316844,4.12584,-0.798563,8.66292,0.0699205,0.0501659,-0.030512,3.85278,1.66199,9.15619,-0.0193928,0.00682884,0.0114395,7.38079,-1.08718,5.90307,0.186733,-0.161541,0.0779497
0.015,-0.205213,9.85798,-0.786398,0.0380179,0.10748,-0.00299807,0.665337,9.47023,-1.59642,0.0200114,0.0711742,-0.099865,0.7262,-9.67058,-0.954732,-0.0232464,0.0512731,0.0344811,4.10491,-0.799623,8.66911,0.0707531,0.0531957,-0.0305553,3.83903,1.67381,9.16266,-0.0171199,0.006066,0.0149368,7.39026,-1.0834,5.9282,0.193831,-0.162458,0.0809419
0.016,-0.21539,9.85023,-0.79855,0.039189,0.106934,-0.00316705,0.662135,9.49825,-1.58453,0.0191594,0.0718231,-0.100972,0.753589,-9.68899,-0.975874,-0.0213649,0.0466735,0.0372777,4.08397,-0.800683,8.67531,0.0715857,0.0562255,-0.0305985,3.82527,1.68563,9.16913,-0.0148471,0.00530317,0.0184341,7.39972,-1.07963,5.95333,0.200929,-0.163375,0.083934
0.017,-0.225566,9.84248,-0.810702,0.04036,0.106388,-0.00333602,0.658934,9.52628,-1.57265,0.0183074,0.0724719,-0.10208,0.780977,-9.7074,-0.997016,-0.0194833,0.0420739,0.0400744,4.06304,-0.801743,8.6815,0.0724183,0.0592553,-0.0306418,3.81152,1.69745,9.1756,-0.0125743,0.00454033,0.0219314,7.40918,-1.07585,5.97847,0.208028,-0.164293,0.0869261
0.018,-0.240349,9.83861,-0.822687,0.0419741,0.10614,-0.00366946,0.655944,9.54866,-1.56228,0.0174061,0.0732074,-0.103057,0.793286,-9.72779,-1.00945,-0.0174382,0.0376557,0.0429499,4.05352,-0.801687,8.68952,0.0729568,0.0611726,-0.030946,3.79993,1.70369,9.17727,-0.0109682,0.00361386,0.0247904,7.42374,-1.07361,5.9885,0.213791,-0.164474,0.0909172
0.019,-0.271252,9.84827,-0.834088,0.045139,0.106934,-0.00457847,0.653692,9.55127,-1.55721,0.0163321,0.0742459,-0.103576,0.752815,-9.75514,-0.991405,-0.0148204,0.0338722,0.0461016,4.08397,-0.797726,8.70392,0.0724659,0.0591963,-0.0321635,3.79593,1.69041,9.1621,-0.0116958,0.00211465,0.0254154,7.45611,-1.07676,5.94569,0.214881,-0.162077,0.0984047
0.02,-0.302156,9.85794,-0.845488,0.0483038,0.107729,-0.00548748,0.651439,9.55389,-1.55215,0.0152582,0.0752844,-0.104096,0.712343,-9.78249,-0.973361,-0.0122026,0.0300886,0.0492533,4.11441,-0.793765,8.71831,0.0719751,0.05722,-0.033381,3.79192,1.67713,9.14692,-0.0124234,0.000615437,0.0260405,7.48849,-1.07991,5.90289,0.215972,-0.15968,0.105892
0.021,-0.33306,9.86761,-0.856889,0.0514687,0.108523,-0.00639649,0.649187,9.55651,-1.54709,0.0141842,0.076323,-0.104616,0.671872,-9.80984,-0.955317,-0.00958479,0.0263051,0.0524049,4.14486,-0.789804,8.73271,0.0714842,0.0552437,-0.0345984,3.78792,1.66384,9.13175,-0.0131511,-0.000883773,0.0266655,7.52087,-1.08307,5.86008,0.217063,-0.157284,0.113379
