Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0808942,0.0254797,0.0500043,0.059111,0.0721866,0.0429276,0.0402609,0.044686,0.0256784,0.0448904,0.0514362,0.0240268,0.0981451,0.057551,0.051449,0.0905041
0.021,0.0796735,0.00747437,0.0609906,0.034697,0.0740176,0.0499466,0.0390402,0.0401083,0.0357492,0.0427542,0.0758502,0.0402011,0.0990607,0.0609079,0.0398523,0.0612073
0.022,0.0638043,0.0529456,0.058244,0.041716,0.0645572,0.0484207,0.0344626,0.0382773,0.0342233,0.0418387,0.0157306,0.0429477,0.0975348,0.0517526,0.041073,0.0660901
0.023,0.065025,0.150907,0.046037,0.0362228,0.06944,0.0356033,0.0448386,0.051705,0.0531442,0.0366507,0.0114581,0.0450839,0.0911261,0.0468698,0.0517542,0.0538831
0.024,0.058006,0.185697,0.046037,0.0374435,0.0605899,0.0319412,0.0466696,0.0633017,0.0384958,0.0296317,0.0200031,0.0524081,0.0975348,0.0642648,0.058468,0.0880627
0.025,0.0421368,0.210111,0.053056,0.0398849,0.0712711,0.0407913,0.038735,0.0715414,-0.00361847,0.0519095,0.0660846,0.0444736,0.103028,0.0517526,0.0178796,0.0645642
0.026,0.0625836,0.155179,0.0466473,0.0472092,0.0645572,0.0340775,0.0338522,0.0730673,4.36E-05,0.0418387,0.0566241,0.052103,0.0993658,0.0673166,0.0609094,0.0779919
0.027,0.0430524,0.115812,0.040849,0.0301193,0.0428897,0.0615433,0.0298849,0.0657431,0.0320871,0.0262747,0.0660846,0.0527133,0.0557257,0.0630441,0.0438196,0.0712781
0.028,0.0482404,0.0431799,0.0493939,0.0420212,0.0679141,0.0258377,0.0301901,0.0556723,0.035444,0.0461111,0.0612018,0.0475253,0.0426032,0.0416818,0.051449,0.0758557
0.029,0.0430524,-0.000460205,0.0429852,0.0505661,0.0581485,0.0252274,0.0417868,0.0587241,0.0607736,0.045806,0.106368,0.0475253,0.0416876,0.0483957,0.0416833,0.0538831
0.03,0.0515973,0.0251746,0.0481732,0.059111,0.0486881,0.0536087,0.0488058,0.0578085,0.0534494,0.0448904,0.137191,0.0585117,0.052674,0.0300851,0.0404626,0.0645642
0.031,0.0515973,0.0215125,0.0545819,0.0459885,0.0523502,0.0734451,0.0762717,0.0565878,0.0601633,0.037261,0.0785968,0.0505771,0.0685431,0.0581613,0.0483972,0.0587659
0.032,0.0628888,0.0169348,0.0435956,0.0566696,0.0499088,0.0755814,0.0680319,0.0663535,0.0369699,0.0473318,0.0377032,0.0569858,0.0490118,0.0432077,0.0541956,0.0526624
0.033,0.0390851,0.0453162,0.0484784,0.0679611,0.0352603,0.132954,0.069863,0.0803915,0.0433786,0.0583182,0.0178668,0.0609531,0.0612189,0.0618234,0.0694543,0.064259
0.034,0.0348126,0.0413489,0.0295575,0.0368332,0.0615054,0.0984695,0.066506,0.0571982,0.0479562,0.0647269,-0.0327924,0.0493564,0.0383307,0.0511423,0.0560266,0.0587659
0.035,0.0311505,0.0309729,0.0417645,0.0578903,0.0502139,0.0789383,0.064675,0.0520102,0.0574167,0.0488577,-0.0471356,0.057291,0.0426032,0.0535837,0.0398523,0.067616
0.036,0.0509869,0.00686401,0.0387128,0.0633835,0.0514346,0.0743607,0.0527731,0.0593344,0.0482614,0.0516043,-0.155168,0.0502719,0.0438239,0.0404611,0.0670129,0.059071
0.037,0.0488507,-0.015719,0.0399335,0.0627731,0.0529605,0.0551346,0.0176779,0.055062,0.0549753,0.0598441,-0.0144818,0.0536288,0.0435187,0.0499216,0.0407678,0.0523572
0.038,0.065025,-0.0367761,0.0435956,0.0560593,0.064252,0.0121048,0.0423972,0.101754,0.0503976,0.0598441,0.241561,0.0438632,0.061524,0.0438181,0.00689331,0.05724
0.039,0.0604474,-0.0492883,0.0426801,0.0554489,0.0435001,-0.0129196,0.043923,0.0327841,0.0470407,0.0644217,0.180526,0.0441684,0.0453497,0.041987,0.0416833,0.0428967
0.04,0.063194,-0.076449,0.0417645,0.0530075,0.0627261,0.0197342,0.0408713,0.0636069,0.0595529,0.0625906,0.106673,0.0554599,0.0535895,0.0569406,0.0331384,0.0724988
