Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.043,0.0692975,0.0559973,0.0628217,0.0130295,0.0657779,0.166829,-0.163596,0.0428549,0.126692,-0.00973602,-0.500016,0.0441684,0.0502325,0.0548044,0.0316125,0.147267
0.044,0.0903546,0.07797,0.0609906,0.0322556,0.0712711,0.179646,-0.107749,0.0422446,0.0900705,0.0317679,-0.0202802,0.0432529,0.0566412,0.0499216,0.0337488,0.159779
0.045,0.121483,0.0740027,0.0506146,0.0325607,0.062421,0.187276,-0.121787,0.0437704,0.0375803,0.0659476,0.363936,0.0664462,0.0477911,0.0581613,0.051449,0.148182
0.046,0.0998151,0.0721716,0.0493939,0.0493454,0.0676089,0.139058,-0.081199,0.0715414,0.0220163,0.0439749,0.233016,0.0627841,0.0380255,0.0566354,0.0364954,0.161
0.047,0.0241315,0.0657629,0.0435956,0.0679611,0.0554019,0.0673416,-0.00368439,0.0675742,0.0244577,0.107757,-0.0416425,0.0533237,0.0407721,0.0450388,0.0346643,0.157948
0.048,0.092796,0.0254797,0.0463422,0.0661301,0.0517398,0.0252274,0.0341574,0.0797812,-0.00270294,0.138274,0.00504944,0.0389804,0.0581671,0.0453439,0.0429041,0.172291
0.049,0.0766217,0.0361609,0.0469525,0.0844406,0.0526553,-0.0043747,0.0405661,0.0678793,-0.00789093,0.127898,-0.0459149,0.0823154,0.0624396,0.0514474,0.0438196,0.175648
0.05,-0.00241882,0.0166296,0.0539716,0.0789474,0.0444156,-0.0513718,0.049111,0.0773398,-0.0142996,0.166656,0.0630328,0.0377597,0.0654913,0.0328317,0.0432092,0.167714
0.051,-0.0280536,-0.00473267,0.0353558,0.0859665,0.0395328,-0.0507614,0.0381247,0.0837485,0.0146921,0.15628,0.138106,0.0536288,0.0532843,0.0422922,0.0444299,0.162831
0.052,-0.0649799,0.050199,0.0515302,0.0923752,0.0505191,0.0102737,0.0494162,0.0959555,0.0629098,0.20114,0.143294,0.0554599,0.0676276,0.0493112,0.051449,0.157032
