Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.0,4.66135,-4.92629,7.3133,-0.000808529,-0.00376373,0.00350725,-1.04067,9.35961,-2.24838,-0.074039,0.0745929,-0.0628207,-1.48948,9.45991,-2.32012,-0.0603922,0.197463,-0.0141584,-0.417457,-9.78745,-1.3276,0.009585,0.00887854,0.0455301,5.64153,3.20205,7.06229,-0.00724603,0.0109466,-0.00459032,9.75705,-0.132449,0.971422,0.211673,0.038459,0.0799147,-1.22635,-9.8311,-1.48446,-0.00915814,0.0312127,-0.0336531
0.001,4.66022,-4.94486,7.31143,-0.00233688,-0.00335587,0.00345713,-1.04562,9.33618,-2.24021,-0.0735537,0.0736224,-0.0625795,-1.53766,9.41729,-2.33505,-0.0609079,0.196463,-0.013403,-0.385858,-9.80737,-1.32071,0.00967377,0.00694296,0.0447598,5.65247,3.2106,7.07698,-0.00729956,0.00992787,-0.00242091,9.76432,-0.134735,0.965095,0.213138,0.0428907,0.0816141,-1.25472,-9.84848,-1.48329,-0.00763423,0.031714,-0.0328194
0.002,4.65909,-4.96343,7.30956,-0.00386523,-0.00294801,0.00340701,-1.05056,9.31274,-2.23203,-0.0730684,0.0726519,-0.0623384,-1.58584,9.37468,-2.34998,-0.0614236,0.195462,-0.0126476,-0.35426,-9.82729,-1.31381,0.00976253,0.00500738,0.0439896,5.6634,3.21916,7.09167,-0.00735309,0.00890915,-0.000251496,9.77159,-0.13702,0.958768,0.214604,0.0473225,0.0833135,-1.28309,-9.86586,-1.48211,-0.00611031,0.0322153,-0.0319856
0.003,4.65797,-4.982,7.30769,-0.00539358,-0.00254016,0.00335689,-1.0555,9.28931,-2.22386,-0.0725832,0.0716813,-0.0620972,-1.63402,9.33206,-2.36491,-0.0619392,0.194462,-0.0118921,-0.322662,-9.84721,-1.30691,0.0098513,0.0030718,0.0432194,5.67434,3.22771,7.10636,-0.00740662,0.00789043,0.00191792,9.77886,-0.139305,0.952441,0.21607,0.0517543,0.085013,-1.31146,-9.88325,-1.48093,-0.0045864,0.0327166,-0.0311519
0.004,4.65684,-5.00056,7.30582,-0.00692193,-0.0021323,0.00330676,-1.06045,9.26588,-2.21569,-0.0720979,0.0707108,-0.0618561,-1.6822,9.28944,-2.37984,-0.0624549,0.193461,-0.0111367,-0.291063,-9.86714,-1.30001,0.00994007,0.00113622,0.0424492,5.68528,3.23627,7.12105,-0.00746016,0.00687171,0.00408733,9.78612,-0.141591,0.946114,0.217536,0.0561861,0.0867124,-1.33983,-9.90063,-1.47975,-0.00306249,0.0332179,-0.0303182
0.005,4.65124,-5.00303,7.3009,-0.00795272,-0.00229459,0.00275348,-1.07244,9.25884,-2.2069,-0.0718163,0.0698725,-0.0617604,-1.70379,9.27159,-2.36029,-0.0627029,0.194012,-0.0115524,-0.292046,-9.85505,-1.30604,0.0103674,-0.000554218,0.0415437,5.69905,3.22444,7.11634,-0.00701836,0.00630975,0.00567704,9.80842,-0.138914,0.953347,0.216127,0.0607058,0.0886756,-1.36184,-9.89925,-1.47733,-0.00287482,0.0344361,-0.0300939
0.006,4.64207,-4.99262,7.29354,-0.00858546,-0.00291301,0.00179768,-1.09007,9.26492,-2.19762,-0.0716977,0.0691401,-0.0617811,-1.7041,9.27356,-2.31316,-0.0627369,0.195804,-0.0129049,-0.319093,-9.81734,-1.32239,0.0110655,-0.00204854,0.0405301,5.7151,3.1963,7.09612,-0.0061803,0.0061132,0.006803,9.84273,-0.132267,0.971428,0.212417,0.0652959,0.0908499,-1.37875,-9.88286,-1.4739,-0.00375614,0.0362276,-0.0303573
0.007,4.63289,-4.9822,7.28619,-0.0092182,-0.00353143,0.000841878,-1.10769,9.27099,-2.18835,-0.0715791,0.0684076,-0.0618018,-1.70442,9.27553,-2.26602,-0.0627708,0.197596,-0.0142575,-0.34614,-9.77964,-1.33875,0.0117636,-0.00354287,0.0395165,5.73114,3.16815,7.07589,-0.00534223,0.00591665,0.00792896,9.87704,-0.12562,0.989509,0.208708,0.0698859,0.0930241,-1.39566,-9.86647,-1.47048,-0.00463746,0.0380192,-0.0306208
0.008,4.62372,-4.97179,7.27883,-0.00985095,-0.00414985,-0.000113925,-1.12532,9.27707,-2.17907,-0.0714604,0.0676752,-0.0618225,-1.70473,9.27749,-2.21889,-0.0628048,0.199388,-0.01561,-0.373187,-9.74194,-1.3551,0.0124618,-0.0050372,0.0385028,5.74718,3.14001,7.05567,-0.00450417,0.00572009,0.00905491,9.91135,-0.118973,1.00759,0.204999,0.074476,0.0951983,-1.41257,-9.85008,-1.46705,-0.00551877,0.0398108,-0.0308842
0.009,4.61538,-4.96178,7.27212,-0.0102949,-0.00462625,-0.00107256,-1.1439,9.28471,-2.16967,-0.0712847,0.0670852,-0.0618361,-1.705,9.28066,-2.17995,-0.0627051,0.200937,-0.0166881,-0.404711,-9.70826,-1.36634,0.0128822,-0.00612349,0.0376706,5.76225,3.11435,7.03899,-0.0037517,0.00582049,0.0103085,9.94655,-0.1099,1.0237,0.200764,0.0791145,0.0973823,-1.43021,-9.83477,-1.46031,-0.00651935,0.0416279,-0.0311391
