Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z
0.01,4.7417,-5.05113,7.10398,-0.0328423,-0.0142032,0.00552778,-1.67678,9.28836,-2.1059,-0.0112173,0.03408,0.0191414,-2.19894,9.32464,-1.95727,-0.0150365,-0.0724002,0.0266053,-1.02241,-9.72493,-1.19767,0.0261345,0.0206561,-0.0257308,5.7186,2.76129,7.27931,-0.0687858,0.0324008,0.0479799,9.65342,-0.0961007,0.888933,-0.067969,-0.0455588,0.0148648,-1.70143,-9.68729,-1.41157,-0.00162886,0.0602666,0.00200983
0.011,4.7581,-5.0487,7.10267,-0.0316161,-0.0161318,0.00555486,-1.66267,9.2887,-2.08407,-0.0104081,0.03408,0.0199394,-2.19638,9.32983,-1.93496,-0.0137965,-0.0705048,0.0260638,-1.002,-9.72197,-1.19834,0.0253048,0.0199312,-0.0258118,5.70896,2.73088,7.27481,-0.0681559,0.0304173,0.0470737,9.6562,-0.0946253,0.868508,-0.0667822,-0.0462483,0.0167411,-1.70274,-9.68017,-1.43643,-0.00223024,0.0595336,0.00118765
0.012,4.77451,-5.04627,7.10136,-0.0303899,-0.0180603,0.00558194,-1.64857,9.28904,-2.06223,-0.00959892,0.03408,0.0207373,-2.19382,9.33502,-1.91266,-0.0125565,-0.0686094,0.0255223,-0.98159,-9.71901,-1.19901,0.0244751,0.0192062,-0.0258927,5.69933,2.70047,7.27031,-0.067526,0.0284338,0.0461675,9.65898,-0.09315,0.848083,-0.0655954,-0.0469378,0.0186175,-1.70405,-9.67305,-1.4613,-0.00283162,0.0588006,0.000365471
0.013,4.79091,-5.04384,7.10005,-0.0291637,-0.0199888,0.00560901,-1.63446,9.28938,-2.04039,-0.00878973,0.03408,0.0215353,-2.19126,9.34021,-1.89035,-0.0113165,-0.066714,0.0249809,-0.96118,-9.71605,-1.19968,0.0236453,0.0184812,-0.0259737,5.68969,2.67006,7.26581,-0.0668961,0.0264503,0.0452612,9.66177,-0.0916746,0.827657,-0.0644086,-0.0476274,0.0204938,-1.70536,-9.66593,-1.48616,-0.003433,0.0580676,-0.000456707
0.014,4.80479,-5.05102,7.09388,-0.0282635,-0.0202404,0.00486135,-1.64408,9.28708,-2.03002,-0.00886572,0.0339071,0.0217261,-2.17302,9.34377,-1.9027,-0.0113826,-0.065317,0.0243556,-0.947027,-9.71444,-1.21059,0.0243366,0.0168307,-0.0250866,5.68001,2.67478,7.27609,-0.0678222,0.0255224,0.0450842,9.64573,-0.0727212,0.821962,-0.0643114,-0.0488134,0.0200427,-1.70673,-9.66719,-1.49687,-0.00310722,0.0573346,-0.00160785
0.015,4.81742,-5.06302,7.08529,-0.0275262,-0.0196535,0.00372631,-1.66557,9.28346,-2.02537,-0.00938429,0.0336479,0.0216133,-2.14694,9.34652,-1.93239,-0.0121016,-0.0641692,0.0236884,-0.936002,-9.7135,-1.22662,0.0257883,0.0147175,-0.0237155,5.6703,2.69707,7.29375,-0.0695262,0.0251221,0.0452717,9.62027,-0.0450287,0.823631,-0.0647589,-0.0502476,0.0184279,-1.70812,-9.67264,-1.50051,-0.00231786,0.0566016,-0.00292347
0.016,4.83005,-5.07501,7.0767,-0.0267889,-0.0190666,0.00259128,-1.68705,9.27984,-2.02073,-0.00990287,0.0333886,0.0215005,-2.12086,9.34927,-1.96207,-0.0128206,-0.0630214,0.0230213,-0.924977,-9.71255,-1.24265,0.02724,0.0126043,-0.0223444,5.66059,2.71935,7.31141,-0.0712303,0.0247219,0.0454592,9.59482,-0.0173362,0.825301,-0.0652065,-0.0516819,0.016813,-1.70952,-9.6781,-1.50414,-0.0015285,0.0558686,-0.00423908
0.017,4.84267,-5.08701,7.0681,-0.0260516,-0.0184796,0.00145624,-1.70854,9.27622,-2.01608,-0.0104214,0.0331293,0.0213877,-2.09478,9.35202,-1.99176,-0.0135397,-0.0618736,0.0223541,-0.913952,-9.71161,-1.25868,0.0286916,0.010491,-0.0209733,5.65089,2.74164,7.32907,-0.0729344,0.0243217,0.0456467,9.56937,0.0103563,0.82697,-0.0656541,-0.0531161,0.0151982,-1.71091,-9.68355,-1.50777,-0.000739134,0.0551357,-0.0055547
0.018,4.8491,-5.09025,7.06359,-0.0253005,-0.0176342,0.000746767,-1.73167,9.27269,-2.01561,-0.0109814,0.0329376,0.021094,-2.07615,9.35448,-2.01089,-0.0144866,-0.0605487,0.0218382,-0.904417,-9.70905,-1.27391,0.0301402,0.00895811,-0.0200606,5.64628,2.76215,7.33946,-0.0741456,0.0241332,0.0462338,9.55641,0.03007,0.829466,-0.0660036,-0.0539179,0.0139374,-1.71542,-9.68682,-1.50506,-6.78e-05,0.0547587,-0.00678366
0.019,4.8338,-5.06289,7.07336,-0.024501,-0.0158841,0.00152675,-1.76055,9.26945,-2.02977,-0.0116862,0.0329825,0.0201668,-2.0836,9.35594,-1.99305,-0.0162313,-0.058604,0.0218515,-0.900095,-9.70081,-1.28634,0.0315778,0.00945625,-0.0207525,5.65952,2.77643,7.32439,-0.0736317,0.0246856,0.0482192,9.58716,0.0218583,0.834855,-0.0660098,-0.0525059,0.0139155,-1.73084,-9.68247,-1.48013,0.000190584,0.055628,-0.0077093
