Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.043,0.0515973,0.0126624,0.0704511,0.16104,0.00840485,0.0557449,0.0405661,0.0559775,0.0421579,0.0216971,0.0694415,0.0560703,0.0133063,0.0160471,0.0502283,0.0639539
0.044,0.0412213,0.060575,-0.00157043,0.0441574,-0.0129575,0.0728348,0.0381247,0.0663535,0.0482614,0.0711356,0.0856158,0.0197543,0.00628723,0.0169626,0.0502283,0.052052
0.045,0.0503766,0.0175452,0.0295575,0.0404953,0.12193,0.0755814,0.0384299,0.0404135,0.0503976,0.0574026,0.115828,0.0389804,0.0435187,0.0181833,0.0679285,0.0602917
0.046,0.0747906,0.0297522,0.0374921,0.0499557,0.0889712,0.105183,0.0384299,0.0575034,0.0211008,0.0537405,0.0822589,0.0615634,0.0502325,0.0499216,0.0725061,0.0767712
0.047,0.0714337,0.0331091,0.0332196,-0.0315262,-0.0330991,0.10854,0.0616232,0.072457,0.0568063,0.0177298,0.0734088,0.0862827,0.0520636,0.0319162,0.070675,0.0731091
0.048,0.0769269,0.0563025,0.0713666,-0.0718094,-0.0608701,0.0789383,0.0793234,0.0733725,0.0507028,-0.00485321,0.0547931,0.0536288,0.0697638,0.052363,0.0880701,0.129872
0.049,0.0799786,0.045011,0.058244,-0.00619659,0.00352203,0.109761,0.0662009,0.0608603,0.0616891,0.023223,0.00962707,0.0597324,0.0694586,0.0410715,0.0801355,0.104847
0.05,0.0885236,0.0096106,0.0915082,0.183928,0.0596744,0.0920608,0.0738303,0.0388876,0.0574167,0.0790701,0.0102374,0.0383701,0.0706793,0.0422922,0.084408,0.119191
0.051,0.0717389,-0.00961548,0.0893719,0.182402,0.0578433,0.0658157,0.0134055,0.0584189,0.0568063,0.0757132,0.00321838,0.0490512,0.0523688,0.0465646,0.0520593,0.0959973
0.052,0.0638043,-0.0135828,0.0905927,0.0984787,0.0584537,0.100606,0.0176779,0.0636069,0.040632,0.0412283,0.0361774,0.0270786,0.0313116,0.0328317,0.063656,0.128346
0.053,0.08242,0.0382971,0.0207074,0.256865,0.118268,0.0996902,0.00363983,0.0645224,0.0503976,0.0485526,0.0267169,0.0484409,0.0419928,0.0404611,0.0432092,0.107289
0.054,0.0512921,-0.0267053,0.0420697,0.276396,0.114301,0.11617,0.0225607,0.0611655,0.0290353,0.0274954,0.0306842,0.052103,0.0361945,0.00445038,0.0386316,0.106068
0.055,0.0595319,0.0212073,0.0176556,-0.0159622,0.059064,0.107014,0.0478903,0.0773398,0.0644357,0.0717459,0.0404498,0.0658359,0.0575568,0.0178781,0.0477869,0.0935559
0.056,0.0210797,0.175016,0.030473,-0.16031,-0.00197113,0.105489,0.0338522,0.0816122,0.0503976,0.0647269,0.00657532,0.0453891,0.0465704,0.0273386,0.051449,0.133534
0.057,0.0335919,0.161283,0.0475629,-0.196016,0.0251895,0.14211,0.0469748,0.0831381,0.0586374,0.0213919,0.051131,0.0408115,0.0468756,-0.00989288,0.0517542,0.110341
0.058,0.0470197,0.128629,0.0411542,-0.188692,-0.0221127,0.100301,0.0356833,0.0956503,0.0598581,-0.0564279,0.0319049,0.0536288,0.0517584,0.014216,0.0487024,0.124379
0.059,0.0378644,0.0846838,0.0283368,-0.227449,-0.0727719,0.120442,0.0488058,0.0852744,0.0479562,0.047637,0.0496051,0.0566806,0.0374152,0.0105539,0.0642664,0.124989
0.06,0.0427472,0.0437903,0.0466473,-0.171602,-0.0169247,0.0929764,0.0570456,0.0758139,0.0662668,0.0586234,0.0657794,0.0551547,0.042298,0.0340524,0.0581628,0.117665
0.061,0.0241315,0.141141,0.0292523,-0.02939,-0.0239438,0.10732,0.0503317,0.089852,0.0375803,0.068389,0.0215289,0.0377597,-0.0278925,0.0157419,0.0331384,0.132008
0.062,0.04763,0.123441,0.0377972,0.394194,0.0419742,0.104573,0.0268332,0.074288,0.0607736,0.0113211,-0.0471356,0.0063266,-0.0126337,0.0358835,0.0374109,0.102406
0.063,0.0262677,0.0877356,0.0448163,0.416777,0.0267154,0.114034,0.0512473,0.0666586,0.0467355,0.0244437,-0.0388959,0.0273837,-0.0642084,0.0184885,0.0230676,0.121632
