Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0555646,0.05203,0.0765546,0.0630783,0.059064,0.0273636,0.0576559,0.0956503,0.0653513,0.0500784,0.0584552,0.0823154,0.0728156,0.0184885,0.0483972,0.0258069
0.021,0.0409161,0.0263953,0.0554974,0.0386642,0.0404483,0.0304153,0.0280539,0.0874106,0.0565012,0.0485526,0.0538776,0.0505771,0.0484015,0.00841766,0.068844,0.0300793
0.022,0.0454938,0.0523352,0.0445111,0.0188278,0.0270206,-0.0113937,0.0631491,0.105721,0.0717599,0.0409232,0.0480792,0.0221957,0.044129,0.0114694,0.0438196,0.0496106
0.023,0.0638043,0.039823,0.0579388,0.0411057,0.0514346,0.0276688,0.0347678,0.116402,0.0595529,0.0619803,0.0642535,0.0560703,0.0496222,0.0129953,0.0328333,0.064259
0.024,0.0653302,0.0306677,0.051225,0.0700973,0.0456363,0.0111893,0.0515524,0.113961,0.0699289,0.052825,0.0889728,0.0374545,0.0490118,-0.00653595,0.0233728,0.0560193
0.025,0.0311505,0.0227332,0.0417645,0.0444626,0.0419742,-0.0184128,0.0301901,0.109688,0.066572,0.0430594,0.0532672,0.0426425,0.0340582,0.0041452,-0.000736084,0.0621228
0.026,0.0573956,0.0376868,0.0484784,0.0496506,0.041669,0.00935822,0.0198141,0.131051,0.0409372,0.0415335,0.0502155,0.0606479,0.0490118,0.0233713,0.0346643,0.0673108
0.027,0.0482404,0.0712561,0.0695355,0.0585007,0.0526553,0.0221756,0.0713889,0.135628,0.0403268,0.00430206,0.0483844,0.0661411,0.0484015,-0.00531525,0.0380212,0.0703625
0.028,0.0369489,0.0312781,0.0390179,0.05728,0.0471622,0.00142365,0.0332419,0.128304,0.0479562,0.0329886,0.0309894,0.046915,0.0322272,-0.00287384,0.0371057,0.0706677
0.029,0.0363385,0.0523352,0.0570233,0.0581955,0.0303775,0.00508575,0.0451437,0.128914,0.0293405,0.0464163,0.0389239,0.0334872,0.0450446,0.0258127,0.0569421,0.064259
0.03,0.0552594,0.0614905,0.056413,0.086882,0.0554019,0.0151566,0.0390402,0.140206,0.0555856,0.0323782,0.0709674,0.0395908,0.0456549,0.0386301,0.102108,0.0670056
0.031,0.04763,0.057218,0.0451215,0.0438522,0.0276309,0.0191238,0.038735,0.115182,0.0207956,0.00735382,0.0416705,0.0356235,0.0386359,0.0285593,0.0642664,0.0407605
0.032,0.0415265,0.0389075,0.0487836,0.0517868,0.0373965,0.00508575,0.0481955,0.0922934,0.0497873,0.0253592,0.0618121,0.0212802,0.0227667,0.0303903,0.0697595,0.074635
0.033,0.054649,0.0633215,0.0689252,0.0548386,0.0627261,-0.00590057,0.0466696,0.125252,0.0583322,0.0345145,0.0904987,0.0377597,0.0645758,0.0413766,0.0779993,0.0703625
0.034,0.0638043,0.0782751,0.0765546,0.0493454,0.0514346,-0.0214645,0.0597922,0.100533,0.0690134,0.0393973,0.0828693,0.0569858,0.0505377,0.0731149,0.0773889,0.0547986
0.035,0.0656354,0.0389075,0.0506146,0.0316452,0.0547916,-0.0202438,0.0497214,0.0883261,0.0314767,0.0268851,0.0505206,0.101236,0.044129,0.0615182,0.0313074,0.05724
0.036,0.0366437,0.0459265,0.0561078,0.0465988,0.0593692,-0.0132248,0.0451437,0.106942,0.0540598,0.0387869,0.0532672,0.0646152,0.0447394,0.0679269,0.0572473,0.0654797
0.037,0.0668561,0.0492834,0.0515302,0.0523972,0.0529605,0.00264435,0.0411765,0.118844,0.0497873,0.030242,0.0688312,0.0505771,0.0484015,0.0865427,0.0590784,0.0422864
0.038,0.0604474,0.0236487,0.0539716,0.0340866,0.0105411,-0.0263474,0.0500266,0.117928,0.033613,0.0323782,0.0367877,0.0658359,0.0337531,0.0856271,0.0273401,0.0523572
0.039,0.0515973,0.0303625,0.0399335,0.0362228,0.0358707,-0.00406952,0.0481955,0.116402,0.0485666,0.0577078,0.0740192,0.0685825,0.038941,0.0834909,0.0450403,0.0480847
0.04,0.0485455,0.0566077,0.047868,0.0676559,0.0541812,0.0179031,0.0759665,0.127694,0.0589426,0.0461111,0.0706622,0.0878085,0.0429083,0.0831857,0.0355798,0.0697522
