Time,LTibialisAnterior,LSoleus,LGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris,LVastusLateralis,LGluteusMaximus,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,RVastusLateralis,RGluteusMaximus
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.0360333,0.109098,0.0728925,0.0264572,0.0389224,0.017598,0.0729147,-0.00994049,0.0671823,0.0281058,0.0492999,0.0624789,0.0368048,0.0566354,0.0526697,-0.0504871
0.021,0.254539,0.104215,0.0765546,0.00234833,-0.0117368,-0.0141403,0.0329367,-0.0245889,0.0531442,0.0543509,0.0456378,0.00205414,-0.013244,0.0261179,0.0374109,-0.0306506
0.022,0.300621,0.124357,0.0875409,0.036528,-0.00899017,-0.0370285,0.0365988,0.0126425,0.0760324,0.126983,0.0776813,0.0420322,-0.0449823,0.0364938,0.0453455,-0.0272937
0.023,0.186485,0.0883459,0.0722821,-0.00528107,-0.0166196,-0.0409958,0.00730194,-0.00109039,0.061384,0.13156,0.0645587,0.0292148,-0.113647,0.00963837,0.0596887,-0.0443835
0.024,0.10775,0.0871252,0.0731976,0.0514816,0.0340396,-0.00284882,0.0121848,-0.0035318,0.0873239,0.135222,0.0560138,0.0405063,0.00994934,0.0291696,0.0679285,-0.0266833
0.025,0.0879132,0.0996374,0.0612958,0.0090622,0.0401431,-0.0159714,0.0253073,-0.0203165,0.0574167,0.10501,0.0541827,-0.0150357,0.0764777,0.0450388,0.0673181,-0.0379749
0.026,0.231041,0.0770544,0.0469525,0.0179123,0.0419742,-0.0138351,0.0280539,-0.0117715,0.0607736,0.101348,0.0505206,-0.00954254,-0.00927673,0.0581613,0.0743372,-0.0553699
0.027,0.193809,0.0492834,0.0295575,0.059111,0.0663882,0.00355988,-0.000937805,-0.0258096,0.0473459,0.0842581,0.0587604,0.0691928,-0.00530945,0.0514474,0.0538904,-0.0562854
0.028,0.0720441,0.0651526,0.0637372,0.157072,0.111554,0.0191238,0.0173727,0.00623383,0.073591,0.065032,0.0538776,0.153421,0.114625,0.0401559,0.0322229,-0.0773425
0.029,-0.0781024,0.0389075,0.0329144,0.122282,0.10423,0.0447586,-0.0158914,-0.00292145,0.0595529,0.0763235,0.0770709,0.119852,0.194581,0.0355783,0.0581628,-0.046825
0.03,-0.0152362,0.0547766,0.0518353,0.0935959,0.115216,0.0343826,0.0127951,0.0102011,0.0381906,0.0165091,0.0935504,0.0871982,0.101502,0.0676218,0.0560266,-0.0602527
0.031,-0.0164569,0.0645422,0.0741132,0.0594162,0.0761539,0.0426224,0.0216452,-0.00719391,0.0482614,0.0622855,0.075545,0.118936,0.066712,0.062739,0.0929529,-0.0474353
0.032,-0.122963,0.0559973,0.0649579,0.059111,0.0932437,0.0273636,0.0243918,0.0178305,0.0485666,0.0455008,0.0978229,0.057291,0.0438239,0.0215402,0.0413782,-0.0489612
0.033,-0.224892,0.0154089,0.0402386,0.0823044,0.0987369,-0.000102234,0.00791229,0.0166098,0.0507028,0.0339041,0.0749347,0.0362338,0.0578619,-0.0245413,0.0108606,-0.0654407
0.034,-0.0604022,0.000455322,0.0298627,0.127776,0.0846988,0.0307205,0.0384299,0.0230185,0.0409372,0.0479422,0.0691364,0.0624789,0.138428,-0.00653595,0.0114709,-0.0687976
0.035,-0.0802386,0.0324988,0.0161298,0.059111,0.0563174,0.0117996,0.0127951,0.00684418,0.0497873,0.0421439,0.0676105,0.0786533,0.229066,0.0166574,-0.00134644,-0.0376697
0.036,-0.0597919,0.0288367,0.0249799,0.0636887,0.0401431,0.0233963,0.0466696,0.00440277,0.0503976,0.037261,0.0743243,-0.00404938,0.146058,0.0746408,0.034054,-0.0419421
0.037,-0.0884784,0.0135779,-0.00218079,0.0334763,0.0505191,0.0145462,0.0454489,0.00226654,0.0403268,0.0409232,0.0773761,0.0374545,0.129273,0.107295,0.0377161,-0.0303455
0.038,-0.149514,0.0373816,0.0347455,0.0594162,0.0645572,0.0481155,0.0896994,0.0321738,0.0586374,0.0512991,0.0981281,0.119242,0.0795294,0.126826,0.0441248,-0.019054
0.039,-0.147072,0.0550818,0.0323041,0.053923,0.0837833,0.0285843,0.0799338,0.0236288,0.0745065,0.0278006,0.0636432,0.130228,0.100281,0.116145,0.030697,-0.0214954
0.04,0.109581,0.0700354,0.0594647,0.0398849,0.0679141,0.0404861,0.0835959,0.00684418,0.0940378,0.0253592,0.0502155,0.124735,0.0853278,0.152155,0.0691492,-0.0147815
