Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.011,4.95967,-3.88913,7.4876,0.0908406,0.0138422,-0.00511882,7.39839,-8.54482,1.20866,0.494234,-0.831496,-0.437318,-0.875511,9.09986,-3.45791,-0.153378,0.288149,-0.153648,8.93174,0.427112,3.77643,0.298254,0.428618,0.157121,-2.23518,-9.79346,-2.83624,-0.0516875,-0.0317199,-0.0199972,-0.812648,9.22748,-4.29988,0.252206,-0.33095,-0.426776,4.38893,3.51339,8.2449,-0.100472,-0.00325259,0.0802148
0.012,4.93772,-3.87057,7.50538,0.091328,0.0152021,-0.00738655,6.82732,-8.25339,0.597715,0.546345,-0.873307,-0.419406,-0.866992,9.07852,-3.47618,-0.154689,0.282283,-0.149812,8.91924,0.368276,3.73125,0.29253,0.416255,0.160548,-2.29891,-9.73588,-2.73306,-0.0553578,-0.0570426,-0.0239437,-0.815351,9.23243,-4.30204,0.253424,-0.314974,-0.422299,4.39242,3.41386,8.25847,-0.100209,-0.00305365,0.0833665
0.013,4.91576,-3.85202,7.52316,0.0918154,0.016562,-0.00965427,6.25624,-7.96195,-0.013226,0.598457,-0.915117,-0.401494,-0.858473,9.05719,-3.49445,-0.156,0.276417,-0.145976,8.90675,0.309441,3.68607,0.286805,0.403891,0.163975,-2.36263,-9.67829,-2.62989,-0.059028,-0.0823652,-0.0278902,-0.818053,9.23738,-4.30419,0.254642,-0.298998,-0.417823,4.39592,3.31434,8.27204,-0.0999459,-0.00285471,0.0865182
0.014,4.91321,-3.84531,7.51571,0.0925676,0.016812,-0.0118277,5.80718,-7.85572,-0.512469,0.628942,-0.960022,-0.398447,-0.860735,9.03703,-3.49214,-0.155651,0.270195,-0.142157,8.90895,0.27538,3.65309,0.280097,0.388478,0.166483,-2.39285,-9.61502,-2.53578,-0.062061,-0.104786,-0.0323018,-0.813686,9.24065,-4.30112,0.25498,-0.282703,-0.412206,4.40434,3.2409,8.28782,-0.0993179,-0.00290751,0.0877188
0.015,4.92036,-3.84453,7.49566,0.0934522,0.0165069,-0.0139539,5.41913,-7.84208,-0.955863,0.648614,-1.00647,-0.402833,-0.868386,9.01746,-3.47954,-0.154471,0.263796,-0.138348,8.9185,0.253705,3.62622,0.272897,0.37154,0.168532,-2.40632,-9.54889,-2.4462,-0.0647755,-0.125757,-0.0369459,-0.805783,9.24307,-4.29543,0.254878,-0.266249,-0.406017,4.41523,3.18052,8.3047,-0.0985074,-0.00308618,0.0879438
0.016,4.92751,-3.84375,7.4756,0.0943368,0.0162019,-0.0160802,5.03108,-7.82844,-1.39926,0.668285,-1.05293,-0.407219,-0.876038,8.99789,-3.46693,-0.153292,0.257397,-0.134538,8.92805,0.23203,3.59934,0.265697,0.354601,0.170581,-2.41978,-9.48276,-2.35662,-0.06749,-0.146727,-0.0415901,-0.797881,9.24549,-4.28974,0.254776,-0.249794,-0.399829,4.42611,3.12013,8.32158,-0.0976969,-0.00326485,0.0881689
0.017,4.93466,-3.84297,7.45555,0.0952214,0.0158969,-0.0182064,4.64303,-7.8148,-1.84265,0.687957,-1.09938,-0.411604,-0.88369,8.97831,-3.45433,-0.152113,0.250997,-0.130728,8.93761,0.210355,3.57246,0.258497,0.337663,0.17263,-2.43325,-9.41663,-2.26704,-0.0702044,-0.167697,-0.0462342,-0.789979,9.24792,-4.28406,0.254674,-0.23334,-0.393641,4.437,3.05974,8.33846,-0.0968864,-0.00344352,0.088394
0.018,4.93827,-3.84846,7.44084,0.095955,0.015806,-0.019903,4.24209,-7.79065,-2.27689,0.700188,-1.14343,-0.415844,-0.892408,8.95945,-3.44334,-0.150583,0.244336,-0.127374,8.94186,0.189725,3.54239,0.251527,0.320938,0.175198,-2.44906,-9.36529,-2.18293,-0.0731904,-0.188436,-0.0507795,-0.782276,9.25255,-4.27754,0.254,-0.217159,-0.387435,4.44927,3.01194,8.35424,-0.0951399,-0.00372286,0.0878325
0.019,4.9295,-3.87591,7.44487,0.0961601,0.0164643,-0.0200954,3.79607,-7.72971,-2.67905,0.686375,-1.17908,-0.419573,-0.90486,8.94306,-3.43795,-0.147826,0.23676,-0.125614,8.92759,0.172754,3.50113,0.245366,0.30496,0.179579,-2.47308,-9.36573,-2.11798,-0.0771267,-0.208364,-0.0549789,-0.775273,9.26493,-4.26811,0.251325,-0.201934,-0.381168,4.4664,3.00819,8.36615,-0.0901175,-0.00435455,0.0845179
0.02,4.92073,-3.90337,7.44889,0.0963651,0.0171227,-0.0202879,3.35004,-7.66877,-3.08122,0.672562,-1.21474,-0.423302,-0.917313,8.92667,-3.43256,-0.145069,0.229184,-0.123854,8.91331,0.155782,3.45988,0.239206,0.288981,0.18396,-2.49711,-9.36617,-2.05302,-0.081063,-0.228292,-0.0591783,-0.76827,9.2773,-4.25869,0.248651,-0.186709,-0.374901,4.48352,3.00444,8.37805,-0.0850951,-0.00498624,0.0812034
0.021,4.91196,-3.93082,7.45291,0.0965701,0.017781,-0.0204804,2.90401,-7.60783,-3.48339,0.65875,-1.25039,-0.427032,-0.929765,8.91029,-3.42717,-0.142312,0.221608,-0.122094,8.89904,0.138811,3.41862,0.233045,0.273003,0.188341,-2.52113,-9.36661,-1.98806,-0.0849993,-0.248219,-0.0633777,-0.761267,9.28967,-4.24926,0.245976,-0.171484,-0.368633,4.50065,3.00068,8.38996,-0.0800726,-0.00561793,0.0778889
0.022,4.9032,-3.95827,7.45694,0.0967752,0.0184394,-0.0206729,2.45799,-7.54689,-3.88556,0.644937,-1.28604,-0.430761,-0.942217,8.8939,-3.42179,-0.139556,0.214032,-0.120334,8.88477,0.121839,3.37737,0.226884,0.257024,0.192722,-2.54516,-9.36704,-1.92311,-0.0889356,-0.268147,-0.0675771,-0.754265,9.30205,-4.23983,0.243301,-0.156259,-0.362366,4.51777,2.99693,8.40187,-0.0750502,-0.00624962,0.0745744
0.023,4.88987,-3.96152,7.43953,0.0965341,0.0198965,-0.0220962,1.99084,-7.52952,-4.14804,0.603154,-1.31894,-0.430115,-0.929363,8.88688,-3.41709,-0.137437,0.207945,-0.116834,8.82931,0.075317,3.38165,0.220953,0.243562,0.195727,-2.58615,-9.32342,-1.86878,-0.0952277,-0.286673,-0.0706939,-0.757242,9.33173,-4.21713,0.238697,-0.142773,-0.356144,4.53313,2.9889,8.40433,-0.0693933,-0.00787239,0.0712627
0.024,4.87524,-3.95785,7.416,0.0961656,0.0215819,-0.0238711,1.51767,-7.5246,-4.3706,0.553379,-1.35106,-0.42822,-0.909279,8.88253,-3.41258,-0.135502,0.202282,-0.112835,8.76208,0.0203514,3.39893,0.215088,0.230818,0.198338,-2.63198,-9.2672,-1.81748,-0.102193,-0.304797,-0.0735015,-0.76307,9.36635,-4.19064,0.233541,-0.129784,-0.349936,4.54799,2.97965,8.4041,-0.0635551,-0.00977832,0.0679519
0.025,4.86062,-3.95418,7.39247,0.0957972,0.0232673,-0.025646,1.04449,-7.51968,-4.59316,0.503604,-1.38317,-0.426325,-0.889194,8.87819,-3.40808,-0.133566,0.196619,-0.108837,8.69485,-0.0346142,3.41622,0.209222,0.218074,0.20095,-2.67781,-9.21098,-1.76619,-0.109158,-0.322922,-0.076309,-0.768898,9.40098,-4.16414,0.228385,-0.116795,-0.343727,4.56284,2.97039,8.40387,-0.0577168,-0.0116842,0.064641
0.026,4.84599,-3.95051,7.36893,0.0954287,0.0249526,-0.027421,0.571309,-7.51476,-4.81572,0.453829,-1.41529,-0.424429,-0.86911,8.87384,-3.40357,-0.13163,0.190957,-0.104839,8.62762,-0.0895798,3.43351,0.203357,0.20533,0.203561,-2.72364,-9.15476,-1.71489,-0.116123,-0.341046,-0.0791165,-0.774727,9.43561,-4.13765,0.223229,-0.103806,-0.337518,4.57769,2.96114,8.40364,-0.0518786,-0.0135902,0.0613301
