Time,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z
0.0,-0.55021,9.74957,-1.27425,-0.0291607,0.0158905,0.031409,-1.27712,-9.89407,-0.446154,0.0370899,-0.0487418,0.00477775,0.200039,9.82953,-0.413939,0.0311226,-0.0530124,0.174777,-0.392167,-9.99292,-0.930145,-0.0719667,-0.0420151,-0.0578829,5.05954,-2.74855,7.83802,-0.127934,-0.0398041,0.0716224,4.637,2.48222,8.61012,0.0453885,0.0238365,-0.00499573,8.8999,0.953693,2.91788,-0.285242,0.0169688,-0.0286838
0.001,-0.562249,9.7266,-1.26604,-0.0298541,0.00643718,0.0308025,-1.26061,-9.89025,-0.462692,0.0323161,-0.0394635,0.00647561,0.217677,9.8208,-0.402072,0.0297457,-0.0545894,0.176564,-0.412386,-9.97688,-0.937004,-0.0722623,-0.0426114,-0.0570511,5.01484,-2.76585,7.86189,-0.129629,-0.039502,0.0711923,4.6552,2.49637,8.58895,0.0460208,0.0230243,-0.00530944,8.93988,0.964755,2.87841,-0.282842,0.0160176,-0.0276805
0.002,-0.574287,9.70364,-1.25783,-0.0305475,-0.0030161,0.030196,-1.24409,-9.88644,-0.47923,0.0275424,-0.0301853,0.00817347,0.235316,9.81206,-0.390204,0.0283688,-0.0561663,0.178352,-0.432604,-9.96083,-0.943863,-0.0725579,-0.0432078,-0.0562193,4.97014,-2.78315,7.88577,-0.131325,-0.0391999,0.0707622,4.67339,2.51052,8.56778,0.046653,0.0222121,-0.00562315,8.97986,0.975818,2.83893,-0.280443,0.0150664,-0.0266772
0.003,-0.586325,9.68068,-1.24961,-0.0312408,-0.0124694,0.0295894,-1.22757,-9.88262,-0.495768,0.0227687,-0.020907,0.00987132,0.252954,9.80332,-0.378337,0.0269919,-0.0577433,0.180139,-0.452823,-9.94479,-0.950722,-0.0728534,-0.0438041,-0.0553875,4.92543,-2.80046,7.90964,-0.13302,-0.0388978,0.0703321,4.69158,2.52467,8.54661,0.0472852,0.0213999,-0.00593686,9.01985,0.98688,2.79946,-0.278043,0.0141153,-0.025674
0.004,-0.598363,9.65771,-1.2414,-0.0319342,-0.0219227,0.0289829,-1.21105,-9.8788,-0.512306,0.0179949,-0.0116288,0.0115692,0.270592,9.79459,-0.36647,0.025615,-0.0593202,0.181926,-0.473042,-9.92875,-0.957581,-0.073149,-0.0444005,-0.0545558,4.88073,-2.81776,7.93352,-0.134716,-0.0385957,0.069902,4.70978,2.53881,8.52544,0.0479175,0.0205877,-0.00625057,9.05983,0.997942,2.75998,-0.275643,0.0131641,-0.0246707
0.005,-0.596396,9.6433,-1.23128,-0.0324131,-0.0304642,0.0293994,-1.19497,-9.86998,-0.505015,0.0152304,-0.00355985,0.0133127,0.289905,9.79755,-0.369659,0.02554,-0.0602879,0.181263,-0.470233,-9.90817,-0.95949,-0.0736652,-0.0449125,-0.054122,4.87014,-2.83574,7.93194,-0.136292,-0.0398789,0.0689338,4.72664,2.54947,8.51888,0.0471087,0.02108,-0.00577994,9.07306,1.01028,2.75367,-0.273965,0.0126576,-0.0233342
0.006,-0.583224,9.63573,-1.21962,-0.0327206,-0.0382763,0.0306344,-1.17923,-9.85714,-0.47866,0.0140732,0.00354164,0.0150927,0.310558,9.80987,-0.384894,0.0265065,-0.0607682,0.178639,-0.449001,-9.88395,-0.957439,-0.0743579,-0.045357,-0.0540065,4.88683,-2.85425,7.91002,-0.137773,-0.0424304,0.0675351,4.74243,2.55734,8.524,0.0451472,0.0226158,-0.00468182,9.06489,1.02364,2.7739,-0.272864,0.0125069,-0.0217309
0.007,-0.570052,9.62816,-1.20797,-0.033028,-0.0460885,0.0318694,-1.1635,-9.84431,-0.452306,0.0129159,0.0106431,0.0168727,0.331211,9.8222,-0.400128,0.0274729,-0.0612485,0.176014,-0.427769,-9.85974,-0.955389,-0.0750506,-0.0458015,-0.0538911,4.90352,-2.87277,7.88809,-0.139254,-0.0449818,0.0661364,4.75823,2.56522,8.52911,0.0431857,0.0241516,-0.0035837,9.05672,1.037,2.79413,-0.271763,0.0123561,-0.0201277
0.008,-0.55688,9.62059,-1.19631,-0.0333354,-0.0539006,0.0331044,-1.14776,-9.83147,-0.425951,0.0117587,0.0177446,0.0186528,0.351864,9.83452,-0.415363,0.0284393,-0.0617288,0.17339,-0.406538,-9.83552,-0.953338,-0.0757433,-0.046246,-0.0537757,4.92022,-2.89128,7.86617,-0.140734,-0.0475332,0.0647377,4.77402,2.57309,8.53423,0.0412241,0.0256874,-0.00248558,9.04855,1.05037,2.81435,-0.270661,0.0122053,-0.0185245
0.009,-0.545088,9.61467,-1.18436,-0.0336245,-0.0616525,0.0340828,-1.12892,-9.82026,-0.396963,0.0109624,0.0244461,0.0202244,0.373182,9.84433,-0.431862,0.0294022,-0.0620939,0.170988,-0.387305,-9.81607,-0.951871,-0.0763292,-0.0466165,-0.0535945,4.93501,-2.90827,7.84668,-0.142333,-0.0498341,0.0635504,4.78564,2.57874,8.53849,0.0396469,0.0268117,-0.00136836,9.03967,1.06375,2.83113,-0.269781,0.0122301,-0.0171466
0.01,-0.54434,9.62198,-1.16997,-0.0337681,-0.0689226,0.0330085,-1.08521,-9.82197,-0.346907,0.013053,0.0279472,0.0201285,0.399816,9.83409,-0.458473,0.030336,-0.0615368,0.170361,-0.384058,-9.83474,-0.955072,-0.076061,-0.0463947,-0.0528878,4.93464,-2.9131,7.84672,-0.144874,-0.0501309,0.0640546,4.76385,2.56662,8.53587,0.0411441,0.024643,-9.83e-05,9.02505,1.0773,2.82027,-0.270668,0.0136598,-0.0175712
0.011,-0.543592,9.6293,-1.15558,-0.0339116,-0.0761927,0.0319341,-1.0415,-9.82369,-0.296851,0.0151436,0.0314482,0.0200327,0.42645,9.82386,-0.485085,0.0312699,-0.0609798,0.169733,-0.380811,-9.85341,-0.958272,-0.0757927,-0.0461728,-0.0521811,4.93426,-2.91792,7.84677,-0.147415,-0.0504276,0.0645587,4.74206,2.55451,8.53325,0.0426413,0.0224743,0.00117178,9.01044,1.09086,2.80941,-0.271555,0.0150896,-0.0179959
0.012,-0.542843,9.63661,-1.14119,-0.0340552,-0.0834628,0.0308598,-0.997795,-9.8254,-0.246795,0.0172342,0.0349493,0.0199369,0.453085,9.81362,-0.511697,0.0322038,-0.0604228,0.169106,-0.377564,-9.87208,-0.961473,-0.0755245,-0.045951,-0.0514744,4.93388,-2.92274,7.84681,-0.149956,-0.0507243,0.0650628,4.72027,2.54239,8.53062,0.0441384,0.0203057,0.00244185,8.99583,1.10442,2.79855,-0.272442,0.0165193,-0.0184205
0.013,-0.542095,9.64392,-1.12681,-0.0341987,-0.0907329,0.0297854,-0.954088,-9.82712,-0.196738,0.0193248,0.0384504,0.0198411,0.479719,9.80338,-0.538308,0.0331377,-0.0598657,0.168479,-0.374318,-9.89076,-0.964674,-0.0752562,-0.0457292,-0.0507677,4.93351,-2.92757,7.84685,-0.152496,-0.0510211,0.065567,4.69848,2.53028,8.528,0.0456356,0.018137,0.00371192,8.98122,1.11798,2.78769,-0.273329,0.0179491,-0.0188452
0.014,-0.543416,9.65399,-1.10168,-0.037179,-0.0997196,0.0301534,-0.911125,-9.84997,-0.176193,0.0198211,0.0399051,0.020171,0.497804,9.78372,-0.549248,0.0339553,-0.0614285,0.168408,-0.368367,-9.9027,-0.955474,-0.076228,-0.0432091,-0.0497239,4.93252,-2.94389,7.84377,-0.154239,-0.0490657,0.0662195,4.68186,2.51233,8.52981,0.0463108,0.0177615,0.00380932,8.98241,1.11079,2.77223,-0.273553,0.0189863,-0.0207934
0.015,-0.545772,9.66542,-1.07119,-0.0415777,-0.109565,0.0312426,-0.868535,-9.88339,-0.170403,0.0195203,0.0403365,0.0207136,0.511614,9.75936,-0.552353,0.0347146,-0.0640511,0.168615,-0.361064,-9.91129,-0.940074,-0.0778198,-0.0395398,-0.0485117,4.93124,-2.96596,7.83912,-0.155583,-0.0459842,0.0669461,4.66784,2.49147,8.53384,0.0465749,0.0182825,0.00332039,8.99151,1.09324,2.75448,-0.273445,0.0198272,-0.0235034
0.016,-0.548129,9.67686,-1.0407,-0.0459764,-0.11941,0.0323318,-0.825944,-9.91681,-0.164613,0.0192196,0.040768,0.0212563,0.525425,9.735,-0.555457,0.035474,-0.0666737,0.168823,-0.35376,-9.91988,-0.924675,-0.0794115,-0.0358705,-0.0472994,4.92995,-2.98803,7.83447,-0.156927,-0.0429028,0.0676728,4.65381,2.47061,8.53787,0.046839,0.0188036,0.00283145,9.0006,1.07569,2.73672,-0.273337,0.0206681,-0.0262135
