Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.01,5.00489,-2.26004,8.01255,-0.0121306,0.00570592,-0.00439591,-0.0432128,9.64807,-1.01204,-0.0587006,0.00286278,-0.02727,-0.578415,9.5264,1.13972,-0.0238904,-0.142995,-0.0133088,4.84744,1.41201,8.62066,-0.00957301,0.00615216,0.00703614,-1.65442,-9.55339,-1.30521,-0.0509521,-0.0180518,0.0294607,9.4786,-0.826539,2.2989,-0.069303,0.00760126,-0.0136467,-0.145566,-9.90245,-1.61546,-0.0777047,0.0320756,0.0162674
0.011,5.01255,-2.26568,8.01482,-0.0138645,0.00562086,-0.00563266,-0.0429188,9.64148,-1.02143,-0.05746,0.00435222,-0.0260621,-0.594041,9.53377,1.13177,-0.0231925,-0.142112,-0.0117139,4.8441,1.41226,8.63004,-0.0105207,0.00590401,0.00857617,-1.64145,-9.57146,-1.30614,-0.0512499,-0.0197999,0.0284033,9.49009,-0.814983,2.30845,-0.0657084,0.00750728,-0.0152725,-0.140795,-9.92939,-1.60682,-0.0773096,0.0320661,0.017489
0.012,5.02021,-2.27132,8.0171,-0.0155984,0.00553581,-0.00686941,-0.0426248,9.63489,-1.03081,-0.0562194,0.00584166,-0.0248542,-0.609667,9.54114,1.12383,-0.0224945,-0.141229,-0.0101189,4.84075,1.41251,8.63943,-0.0114684,0.00565587,0.0101162,-1.62849,-9.58952,-1.30707,-0.0515477,-0.0215479,0.027346,9.50159,-0.803427,2.318,-0.0621138,0.0074133,-0.0168983,-0.136024,-9.95632,-1.59817,-0.0769145,0.0320566,0.0187106
0.013,5.02788,-2.27696,8.01937,-0.0173323,0.00545075,-0.00810616,-0.0423308,9.6283,-1.04019,-0.0549788,0.00733111,-0.0236463,-0.625293,9.5485,1.11589,-0.0217965,-0.140347,-0.00852399,4.8374,1.41276,8.64882,-0.0124161,0.00540772,0.0116562,-1.61553,-9.60758,-1.308,-0.0518455,-0.023296,0.0262886,9.51308,-0.79187,2.32755,-0.0585192,0.00731932,-0.0185241,-0.131252,-9.98325,-1.58953,-0.0765193,0.0320471,0.0199323
0.014,5.02848,-2.27064,8.0236,-0.0171979,0.00524804,-0.00817263,-0.0509223,9.62446,-1.03942,-0.0548817,0.0090497,-0.0231764,-0.621636,9.54843,1.1113,-0.0217076,-0.139084,-0.00838565,4.84575,1.40594,8.6603,-0.0125691,0.00548684,0.0121677,-1.6038,-9.62039,-1.30421,-0.0517306,-0.0225045,0.02572,9.51065,-0.793709,2.33907,-0.0553539,0.00703736,-0.0185521,-0.12415,-9.98306,-1.58259,-0.0774121,0.0316628,0.0197664
0.015,5.02556,-2.25836,8.0288,-0.0161293,0.0049865,-0.00765394,-0.0639565,9.62198,-1.03358,-0.0553563,0.0108829,-0.0230755,-0.608337,9.54464,1.10839,-0.0219232,-0.137631,-0.0089756,4.85994,1.39558,8.67282,-0.0123246,0.00572959,0.0121649,-1.59269,-9.63057,-1.29807,-0.0514093,-0.0204432,0.0253957,9.50127,-0.802246,2.35158,-0.0524031,0.00666141,-0.0177813,-0.115882,-9.9693,-1.5765,-0.0789488,0.031091,0.0189067
0.016,5.02264,-2.24607,8.03401,-0.0150608,0.00472496,-0.00713526,-0.0769907,9.61951,-1.02773,-0.0558309,0.012716,-0.0229747,-0.595037,9.54084,1.10549,-0.0221389,-0.136179,-0.00956555,4.87413,1.38522,8.68535,-0.0120801,0.00597235,0.0121621,-1.58158,-9.64075,-1.29192,-0.0510881,-0.0183819,0.0250715,9.49189,-0.810783,2.36409,-0.0494523,0.00628546,-0.0170105,-0.107614,-9.95555,-1.57042,-0.0804855,0.0305192,0.018047
0.017,5.01972,-2.23378,8.03922,-0.0139923,0.00446342,-0.00661658,-0.0900249,9.61704,-1.02189,-0.0563056,0.0145492,-0.0228738,-0.581738,9.53705,1.10258,-0.0223545,-0.134726,-0.0101555,4.88831,1.37486,8.69788,-0.0118356,0.0062151,0.0121593,-1.57047,-9.65093,-1.28577,-0.0507668,-0.0163206,0.0247472,9.48251,-0.819319,2.37659,-0.0465016,0.00590951,-0.0162398,-0.0993458,-9.94179,-1.56433,-0.0820222,0.0299474,0.0171873
0.018,5.01845,-2.22506,8.04709,-0.0133148,0.00429988,-0.00591611,-0.101194,9.61644,-1.01704,-0.0566086,0.0160954,-0.0233194,-0.56913,9.53485,1.0994,-0.0224611,-0.133344,-0.0109492,4.89745,1.36773,8.70503,-0.0114379,0.00629074,0.011705,-1.56074,-9.66152,-1.27967,-0.050536,-0.0148624,0.0248323,9.47267,-0.822094,2.38312,-0.0442202,0.00583747,-0.0152278,-0.0892574,-9.92625,-1.55705,-0.0831065,0.0297468,0.016191
0.019,5.02293,-2.22881,8.06432,-0.0140059,0.00447933,-0.00457941,-0.105835,9.62239,-1.01571,-0.056311,0.0166374,-0.0256778,-0.558943,9.53823,1.09529,-0.0221861,-0.132205,-0.0124559,4.88892,1.37189,8.69337,-0.010504,0.00578149,0.00967062,-1.55584,-9.67354,-1.27377,-0.0506218,-0.015515,0.0263502,9.46124,-0.804703,2.36873,-0.0442817,0.00682914,-0.0133716,-0.0727975,-9.90442,-1.54562,-0.082607,0.030845,0.0147166
0.02,5.0274,-2.23257,8.08154,-0.014697,0.00465878,-0.0032427,-0.110476,9.62835,-1.01437,-0.0560135,0.0171794,-0.0280362,-0.548755,9.5416,1.09117,-0.0219111,-0.131066,-0.0139625,4.88039,1.37604,8.68172,-0.00957013,0.00527224,0.00763624,-1.55095,-9.68557,-1.26787,-0.0507076,-0.0161677,0.0278682,9.44981,-0.787311,2.35434,-0.0443432,0.00782081,-0.0115155,-0.0563376,-9.8826,-1.53419,-0.0821076,0.0319432,0.0132422
