Time,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z
0.0,5.03739,-1.69032,8.22162,-0.101177,0.0511197,0.0532551,-0.115166,9.76803,-0.721337,0.125919,-0.263762,0.247873,0.542829,9.45084,-0.507035,-0.115847,-0.0596204,-0.57037,4.81952,1.11574,8.68631,-0.0319642,0.0114476,0.0173074,-1.73935,-9.56763,-2.40882,-0.105918,0.276293,0.393803,9.19434,-2.15104,3.97168,0.177524,-0.216966,0.0483902,1.03578,-9.88528,-0.780032,0.00825082,0.0840901,0.0240747
0.001,5.03175,-1.70429,8.17155,-0.102593,0.0508696,0.0570564,-0.0800471,9.72183,-0.706253,0.126332,-0.259016,0.248393,0.556362,9.4394,-0.504368,-0.113855,-0.03344,-0.575148,4.81432,1.13079,8.68612,-0.0327011,0.0120548,0.0167002,-1.74313,-9.58767,-2.39469,-0.099636,0.282646,0.394018,9.20853,-2.1076,3.96291,0.182511,-0.218829,0.04668,1.02654,-9.89675,-0.789262,0.0085338,0.0823281,0.0250316
0.002,5.0261,-1.71826,8.12149,-0.10401,0.0506196,0.0608577,-0.044928,9.67563,-0.691168,0.126745,-0.254269,0.248913,0.569894,9.42796,-0.5017,-0.111864,-0.00725965,-0.579925,4.80912,1.14585,8.68592,-0.0334379,0.0126621,0.0160929,-1.74691,-9.60771,-2.38055,-0.0933536,0.289,0.394232,9.22273,-2.06416,3.95414,0.187498,-0.220693,0.0449698,1.01731,-9.90822,-0.798492,0.00881679,0.0805662,0.0259885
0.003,5.02046,-1.73222,8.07142,-0.105426,0.0503695,0.0646591,-0.00980884,9.62943,-0.676084,0.127158,-0.249522,0.249433,0.583427,9.41652,-0.499032,-0.109873,0.0189207,-0.584703,4.80392,1.1609,8.68573,-0.0341747,0.0132694,0.0154856,-1.7507,-9.62775,-2.36641,-0.0870711,0.295353,0.394446,9.23692,-2.02073,3.94538,0.192485,-0.222556,0.0432596,1.00807,-9.91969,-0.807721,0.00909977,0.0788042,0.0269455
0.004,5.01481,-1.74619,8.02135,-0.106842,0.0501194,0.0684604,0.0253103,9.58323,-0.661,0.127571,-0.244776,0.249953,0.596959,9.40508,-0.496364,-0.107881,0.0451011,-0.58948,4.79872,1.17596,8.68553,-0.0349116,0.0138766,0.0148784,-1.75448,-9.6478,-2.35228,-0.0807887,0.301706,0.394661,9.25111,-1.97729,3.93661,0.197471,-0.224419,0.0415494,0.998832,-9.93116,-0.816951,0.00938275,0.0770422,0.0279024
0.005,4.99922,-1.75045,8.02708,-0.106389,0.0494787,0.068567,0.0724185,9.58112,-0.678184,0.128146,-0.240881,0.249681,0.60243,9.4017,-0.516277,-0.105023,0.071812,-0.593313,4.79819,1.18334,8.68303,-0.0358023,0.0144478,0.0149248,-1.75219,-9.64664,-2.33187,-0.0755699,0.305943,0.393238,9.25968,-1.97253,3.92291,0.20174,-0.224632,0.0395686,0.996729,-9.92996,-0.82697,0.00959155,0.0759481,0.0278615
0.006,4.97566,-1.74695,8.07744,-0.104442,0.0485256,0.0657179,0.129118,9.61427,-0.721182,0.12885,-0.237669,0.248776,0.601452,9.40477,-0.554254,-0.101472,0.0989472,-0.59639,4.80138,1.18458,8.67868,-0.0368162,0.0149901,0.0154941,-1.74505,-9.62851,-2.30643,-0.0712018,0.308487,0.390504,9.26375,-1.99872,3.90527,0.205433,-0.223525,0.0373712,1.00033,-9.91864,-0.837619,0.009741,0.0753884,0.0270223
0.007,4.9521,-1.74345,8.1278,-0.102494,0.0475724,0.0628687,0.185818,9.64743,-0.764181,0.129554,-0.234456,0.247871,0.600474,9.40783,-0.592232,-0.0979205,0.126082,-0.599468,4.80458,1.18582,8.67433,-0.0378302,0.0155325,0.0160634,-1.7379,-9.61039,-2.281,-0.0668338,0.311031,0.387771,9.26782,-2.0249,3.88763,0.209126,-0.222419,0.0351738,1.00394,-9.90732,-0.848268,0.00989045,0.0748286,0.0261831
0.008,4.92854,-1.73995,8.17817,-0.100546,0.0466192,0.0600195,0.242517,9.68058,-0.807179,0.130259,-0.231243,0.246966,0.599496,9.41089,-0.630209,-0.0943692,0.153218,-0.602545,4.80778,1.18706,8.66999,-0.0388441,0.0160748,0.0166327,-1.73075,-9.59227,-2.25557,-0.0624658,0.313575,0.385037,9.27189,-2.05109,3.86998,0.21282,-0.221312,0.0329764,1.00754,-9.896,-0.858918,0.0100399,0.0742689,0.0253439
0.009,4.90699,-1.73547,8.22432,-0.0985533,0.0457382,0.0574695,0.299547,9.7102,-0.843591,0.130836,-0.228194,0.246366,0.601173,9.41573,-0.663071,-0.0904688,0.180381,-0.60548,4.81153,1.19104,8.666,-0.0395125,0.0163808,0.0172048,-1.72553,-9.57778,-2.2291,-0.058179,0.31586,0.382259,9.27605,-2.0728,3.85375,0.216526,-0.220278,0.0304606,1.01126,-9.88739,-0.869552,0.0100367,0.0737255,0.0244889
0.01,4.90151,-1.72309,8.23679,-0.0962011,0.0454341,0.0573125,0.359221,9.71146,-0.827316,0.130394,-0.226453,0.248199,0.624092,9.43477,-0.65501,-0.083775,0.207766,-0.607273,4.81977,1.21689,8.66489,-0.0374173,0.0147958,0.0177985,-1.73571,-9.59236,-2.19438,-0.0545423,0.316069,0.379128,9.28099,-2.05872,3.84881,0.220335,-0.219834,0.0253974,1.01583,-9.90049,-0.88007,0.00881258,0.0733128,0.0235072
0.011,4.89603,-1.71071,8.24927,-0.093849,0.04513,0.0571554,0.418894,9.71272,-0.811041,0.129952,-0.224712,0.250033,0.647012,9.45381,-0.64695,-0.0770812,0.235152,-0.609065,4.828,1.24275,8.66378,-0.0353221,0.0132108,0.0183923,-1.74588,-9.60694,-2.15965,-0.0509056,0.316279,0.375998,9.28593,-2.04464,3.84387,0.224144,-0.219389,0.0203342,1.02041,-9.91358,-0.890587,0.00758845,0.0729,0.0225256
0.012,4.89055,-1.69833,8.26174,-0.0914968,0.0448259,0.0569984,0.478568,9.71399,-0.794766,0.12951,-0.222971,0.251867,0.669931,9.47285,-0.638889,-0.0703874,0.262538,-0.610858,4.83624,1.2686,8.66267,-0.0332269,0.0116258,0.0189861,-1.75606,-9.62152,-2.12493,-0.047269,0.316488,0.372867,9.29087,-2.03057,3.83894,0.227953,-0.218945,0.015271,1.02499,-9.92667,-0.901105,0.00636431,0.0724873,0.0215439
0.013,4.88507,-1.68595,8.27422,-0.0891446,0.0445218,0.0568413,0.538242,9.71525,-0.77849,0.129068,-0.221231,0.253701,0.69285,9.49188,-0.630829,-0.0636936,0.289923,-0.612651,4.84447,1.29445,8.66156,-0.0311317,0.0100408,0.0195799,-1.76624,-9.6361,-2.0902,-0.0436323,0.316698,0.369736,9.2958,-2.01649,3.834,0.231762,-0.218501,0.0102077,1.02956,-9.93976,-0.911622,0.00514017,0.0720746,0.0205622
0.014,4.87926,-1.70854,8.27459,-0.0881511,0.0430909,0.0582868,0.542943,9.7192,-0.805899,0.1275,-0.215444,0.255287,0.713933,9.49236,-0.61828,-0.0579559,0.315128,-0.615277,4.84215,1.29655,8.67624,-0.031678,0.00984088,0.0193368,-1.77874,-9.64135,-2.05755,-0.0411145,0.315584,0.366275,9.2833,-2.01116,3.84799,0.234743,-0.217263,0.00859607,1.02809,-9.94144,-0.89943,0.00475214,0.0714613,0.0219607
0.015,4.87328,-1.74862,8.26892,-0.0878368,0.0410966,0.0605336,0.520159,9.72449,-0.855151,0.12537,-0.207634,0.256749,0.734098,9.48355,-0.603487,-0.0526963,0.339241,-0.61832,4.83455,1.28677,8.69881,-0.0335451,0.0103334,0.0186752,-1.7924,-9.64195,-2.02592,-0.0391562,0.313808,0.362649,9.26206,-2.01021,3.87144,0.237311,-0.215629,0.00871018,1.02359,-9.9374,-0.875882,0.00478215,0.0707477,0.0245493
0.016,4.8673,-1.7887,8.26324,-0.0875226,0.0391023,0.0627804,0.497375,9.72978,-0.904402,0.123239,-0.199824,0.258211,0.754262,9.47475,-0.588694,-0.0474366,0.363355,-0.621363,4.82695,1.27698,8.72138,-0.0354121,0.010826,0.0180137,-1.80606,-9.64255,-1.99429,-0.0371979,0.312032,0.359024,9.24083,-2.00925,3.8949,0.239878,-0.213995,0.00882429,1.0191,-9.93336,-0.852335,0.00481216,0.0700341,0.0271379
0.017,4.86132,-1.82878,8.25756,-0.0872083,0.037108,0.0650272,0.474591,9.73507,-0.953653,0.121109,-0.192014,0.259673,0.774426,9.46595,-0.573902,-0.042177,0.387468,-0.624405,4.81935,1.2672,8.74395,-0.0372791,0.0113185,0.0173522,-1.81972,-9.64315,-1.96267,-0.0352396,0.310257,0.355398,9.2196,-2.0083,3.91836,0.242446,-0.212361,0.0089384,1.0146,-9.92932,-0.828788,0.00484218,0.0693205,0.0297265
0.018,4.85818,-1.86238,8.25067,-0.0865334,0.0360041,0.0663608,0.445152,9.73778,-1.00662,0.119654,-0.184695,0.260922,0.784685,9.45422,-0.560915,-0.0370674,0.411991,-0.626433,4.8131,1.25436,8.7585,-0.0389146,0.0118849,0.0170532,-1.83202,-9.64498,-1.93219,-0.0337339,0.308283,0.351737,9.20322,-2.00573,3.93818,0.244261,-0.210837,0.00908559,1.01253,-9.92472,-0.808843,0.0052594,0.068294,0.0321764
0.019,4.86494,-1.87327,8.23949,-0.0845959,0.0380166,0.0644985,0.392424,9.73148,-1.07262,0.120565,-0.179095,0.261422,0.760272,9.43225,-0.554251,-0.0324829,0.437945,-0.624909,4.81157,1.2308,8.74499,-0.0397394,0.0127096,0.0180232,-1.83954,-9.6511,-1.90571,-0.0338124,0.305618,0.347949,9.20386,-1.99748,3.94529,0.243443,-0.209701,0.00934854,1.01897,-9.91816,-0.801506,0.00703183,0.0661719,0.0341407
